Téléconseiller	position
H/F	O
MSX	company
International	company
-	O
Nanterre	city
-LRB-	O
92	postal_code
-RRB-	O
CDI	contract_type
MSX	company
International	company
est	O
le	O
leader	O
mondial	O
des	O
prestations	O
de	O
services	O
externalisées	O
pour	O
l'industrie	O
automobile	O
dans	O
plus	O
de	O
80	O
pays	O
-LRB-	O
6000	O
collaborateurs	O
dans	O
le	O
monde	O
,	O
500	O
en	O
France	country
,	O
CA	O
français	O
supérieur	O
à	O
50M	O
$	O
-RRB-	O
.	O
Nos	O
solutions	O
combinent	O
technologie	O
,	O
expertise	O
et	O
processus	O
,	O
tout	O
en	O
s	O
`	O
appuyant	O
sur	O
les	O
meilleures	O
pratiques	O
de	O
l'industrie	O
automobile	O
et	O
sur	O
une	O
expérience	O
éprouvée	O
en	O
matière	O
d'externalisation	O
.	O
Le	O
succès	O
de	O
notre	O
entreprise	O
est	O
défini	O
par	O
les	O
personnes	O
que	O
nous	O
recrutons	O
.	O
En	O
nous	O
rejoignant	O
,	O
vous	O
travaillerez	O
auprès	O
des	O
leaders	O
et	O
des	O
nouveaux	O
acteurs	O
de	O
l'industrie	O
automobile	O
.	O
MSX	company
International	company
vous	O
offrira	O
de	O
belles	O
opportunités	O
de	O
carrières	O
et	O
un	O
excellent	O
environnement	O
de	O
travail	O
.	O
Vos	O
Missions	O
:	O
Au	O
sein	O
d'une	O
plateforme	O
de	O
relations	O
clientèles	O
dédiée	O
à	O
un	O
grand	O
constructeur	O
automobile	O
,	O
vous	O
prenez	hard_skills
contact	hard_skills
avec	hard_skills
les	hard_skills
clients	hard_skills
particuliers	hard_skills
ayant	hard_skills
précédemment	hard_skills
acheté	hard_skills
un	hard_skills
véhicule	hard_skills
afin	hard_skills
de	hard_skills
leur	hard_skills
proposer	hard_skills
différentes	hard_skills
offres	hard_skills
:	hard_skills
Contrôle	hard_skills
technique	hard_skills
Extension	hard_skills
de	hard_skills
garantie	hard_skills
Révision	hard_skills
L'objectif	hard_skills
est	hard_skills
d'inciter	hard_skills
les	hard_skills
clients	hard_skills
particuliers	hard_skills
à	hard_skills
se	hard_skills
rendre	hard_skills
en	hard_skills
concession	hard_skills
pour	hard_skills
profiter	hard_skills
des	hard_skills
services	hard_skills
d'après-vente	hard_skills
.	O
Votre	O
Profil	O
:	O
De	O
formation	experience
Bac	experience
ou	experience
Bac	experience
+	experience
2	experience
,	experience
vous	experience
justifiez	experience
d'une	experience
expérience	experience
réussie	experience
dans	experience
la	experience
téléprospection	experience
,	experience
le	experience
porte	experience
à	experience
porte	experience
ou	experience
le	experience
démarchage	experience
.	O
Vous	O
êtes	hard_skills
à	hard_skills
l'aise	hard_skills
au	hard_skills
téléphone	hard_skills
et	O
vous	O
êtes	O
reconnu	O
-LRB-	O
e	O
-RRB-	O
pour	O
votre	O
persévérance	soft_skills
et	soft_skills
détermination	soft_skills
.	O
Nos	O
avantages	O
:	O
36h	O
par	O
semaine	O
,	O
du	O
Lundi	O
au	O
Vendredi	O
Rémunération	O
sur	O
13	O
mois	O
Prime	O
vacance	O
annuelle	O
6	O
semaines	O
de	O
congés	O
payés	O
par	O
an	O
Mutuelle	O
et	O
prévoyance	O
collectives	O
Tickets	O
Restaurants	O
50	O
%	O
titre	O
de	O
transport	O
remboursé	O
Comité	O
d'Entreprise	O
Le	O
challenge	O
vous	O
tente	O
?	O
N'hésitez	O
plus	O
,	O
Postulez	O
!	O
Type	O
d'emploi	O
:	O
CDI	contract_type
