Serveur	position
Le	company
Génie	company
sous	company
les	company
Etoiles	company
-	O
Paris	city
11e	postal_code
-LRB-	O
75	postal_code
-RRB-	O
Restaurant	O
&	O
Bar	O
à	O
cocktails	O
Le	company
Génie	company
Sous	company
Les	company
Etoiles	company
15	O
rue	O
Bréguet	O
75011	postal_code
PARIS	city
Design	O
Stella	O
Cadente	O
-	O
nouvellement	O
ouvert	O
Carte	O
de	O
plats	O
Fait	O
maison	O
,	O
type	O
bistronomique	O
-	O
Potager	O
sur	O
le	O
toit	O
-	O
Cocktails	O
création	O
Recrute	O
H/F	O
1	O
serveur	O
Tes	O
atouts	O
:	O
ta	O
personnalité	soft_skills
et	O
ton	O
envie	soft_skills
Rejoins	O
nous	O
au	O
Génie	company
Sous	company
les	company
Etoiles	company
Type	company
d'emploi	O
:	O
Temps	contract_type
plein	contract_type
