Serveur/Serveuse	position
Borriquito	company
Loco	company
-	O
Toulouse	localisation
-LRB-	O
31	O
-RRB-	O
CDI	contract_type
Borriquito	O
Loco	O
-	O
Tantina	O
de	O
Burgos	O
Restaurants	O
-	O
Bars	O
Tapas	O
Toulouse	O
en	O
Centre	O
ville	O
recrutent	O
:	O
-	O
1	O
serveur	O
-LRB-	O
se	O
-RRB-	O
H/F	O
temps	O
partiel	O
du	O
jeudi	O
au	O
samedi	O
inclus	O
contrat	O
CDI	O
service	O
soir	O
-	O
1	O
serveur	O
-LRB-	O
se	O
-RRB-	O
H/F	O
temps	O
plein	O
du	O
mardi	O
au	O
samedi	O
inclus	O
contrat	O
CDI	O
service	O
soir	O
Horaires	O
:	O
de	O
17H30	O
à	O
3H	O
en	O
semaine	O
,	O
jusqu	O
'	O
à	O
4H	O
le	O
samedi	O
.	O
Type	O
d'emploi	O
:	O
CDI	O
