Technicien	position
-LRB-	O
ne	O
-RRB-	O
hotline	O
IT	category
-	O
Retail	O
-LRB-	O
H/F	O
-RRB-	O
Mi9	company
Retail	company
-	O
Saint-Germain-en-Laye	O
-LRB-	O
78	O
-RRB-	O
2	salary
0	salary
$	salary
-	salary
3	salary
0	salary
$	salary
par	O
mois	O
-	O
CDI	contract_type
En	O
contact	O
direct	O
avec	O
les	O
utilisateurs	O
magasin	O
et	O
centrale	O
de	O
nos	O
clients	O
nationaux	O
et	O
internationaux	O
,	O
vous	O
assurez	O
le	O
support	O
opérationnel	O
de	O
nos	O
solutions	O
et	O
leurs	O
environnements	O
techniques	O
.	O
Naturellement	O
rassurant	O
-LRB-	O
e	O
-RRB-	O
dans	O
votre	O
approche	O
,	O
vous	O
saurez	O
vous	O
adapter	O
à	O
votre	O
interlocuteur	O
et	O
saurez	O
faire	O
face	O
à	O
ses	O
problématiques	O
de	O
manière	O
efficace	O
.	O
Vous	O
aurez	O
à	O
tenir	O
compte	O
des	O
actions	O
menées	O
à	O
nos	O
clients	O
de	O
manière	O
concise	O
et	O
précise	O
.	O
Votre	O
expérience	O
vous	O
permettra	O
d'échanger	O
facilement	O
avec	O
les	O
Directions	O
des	O
systèmes	O
d'information	O
de	O
nos	O
clients	O
.	O
La	O
plage	O
de	O
fonctionnement	O
du	O
service	O
étant	O
du	O
lundi	O
au	O
dimanche	O
et	O
de	O
9h	O
à	O
19h	O
,	O
vous	O
serez	O
amené	O
-LRB-	O
e	O
-RRB-	O
à	O
travailler	O
samedi	O
,	O
dimanche	O
et	O
jour	O
fériés	O
de	O
façon	O
régulière	O
en	O
rotation	O
avec	O
les	O
autres	O
membres	O
de	O
l'équipe	O
.	O
Vous	O
avez	O
une	O
formation	O
technique	O
supérieure	O
en	O
informatique	experience
.	O
Idéalement	O
,	O
vous	O
avez	O
une	O
expérience	O
réussie	O
dans	O
l'univers	O
du	O
Retail	experience
,	O
en	O
magasin	experience
et/ou	O
en	O
service	O
informatique	O
support	O
.	O
Vous	O
êtes	O
bilingue	O
Anglais	hard_skills
.	O
Type	O
d'emploi	O
:	O
CDI	O
Salaire	O
:	O
2	O
0	O
$	O
à	O
3	O
0	O
$	O
/	O
mois	O
Localisation	O
du	O
poste	O
:	O
78100	postal_code
Saint-Germain-en-Laye	city
Formation	O
-LRB-	O
s	O
-RRB-	O
exigée	O
-LRB-	O
s	O
-RRB-	O
:	O
DEUG	experience
,	O
DUT	experience
,	O
BTS	experience
Langue	O
exigée	O
:	O
anglais	hard_skills
