Graphiste/Illustrateur	position
H/F	O
FNAC	company
SA	company
-	O
Paris	city
1er	postal_code
-LRB-	O
75	postal_code
-RRB-	O
1	salary
700	salary
$	salary
-	salary
2	salary
0	salary
$	salary
par	salary
mois	salary
-	O
CDD	contract_type
Entité	O
de	O
rattachement	O
Envie	O
de	O
challenge	O
?	O
Intégrez	O
une	O
entreprise	O
innovante	O
:	O
rejoignez	O
le	O
groupe	O
Fnac	O
,	O
leader	O
sur	O
ses	O
marchés	O
avec	O
3,9	O
milliards	O
de	O
CA	O
,	O
199	O
magasins	O
présents	O
dans	O
8	O
pays	O
et	O
fnac.com	O
,	O
deuxième	O
site	O
retail	O
en	O
France	country
avec	O
12	O
millions	O
de	O
visiteurs	O
par	O
mois	O
.	O
Par	O
le	O
déploiement	O
de	O
sa	O
stratégie	O
omnicanale	O
,	O
le	O
développement	O
de	O
nouveaux	O
formats	O
de	O
magasins	O
,	O
et	O
son	O
expertise	O
reconnue	O
,	O
la	O
Fnac	O
crée	O
une	O
expérience	O
client	O
unique	O
et	O
renforce	O
sa	O
position	O
de	O
leader	O
.	O
L'innovation	O
est	O
votre	O
moteur	O
et	O
le	O
challenge	O
votre	O
leitmotiv	O
?	O
Rejoignez	O
les	O
14500	O
collaborateurs	O
du	O
groupe	O
qui	O
,	O
chaque	O
jour	O
,	O
inventent	O
la	O
plus	O
belle	O
des	O
relations	O
clients	O
!	O
Description	O
du	O
poste	O
Dans	O
le	O
cadre	O
du	O
développement	O
de	O
notre	O
activité	O
,	O
la	O
FNAC	company
recherche	O
actuellement	O
un	O
Graphiste	O
H/F	O
pour	O
contribuer	O
à	O
la	O
réussite	O
de	O
nos	O
différents	O
projets	O
.	O
Rejoins	O
ainsi	O
une	O
équipe	O
jeune	O
et	O
ambitieuse	O
qui	O
laissera	O
libre	O
court	O
à	O
ton	O
imagination	O
tout	O
en	O
développant	O
tes	O
compétences	O
en	O
graphisme	O
MISSIONS	O
:	O
Travaillant	soft_skills
en	soft_skills
équipe	soft_skills
mais	O
relativement	O
autonome	soft_skills
,	O
tu	O
devras	O
:	O
Participer	hard_skills
à	hard_skills
la	hard_skills
conception	hard_skills
et	hard_skills
à	hard_skills
la	hard_skills
réalisation	hard_skills
de	hard_skills
différents	hard_skills
illustrations	hard_skills
graphiques	hard_skills
tels	hard_skills
que	hard_skills
des	hard_skills
bannières	hard_skills
-LRB-	O
types	hard_skills
CSP	hard_skills
-RRB-	O
,	hard_skills
des	hard_skills
sites	hard_skills
web	hard_skills
,	hard_skills
des	hard_skills
interfaces	hard_skills
utilisateurs	hard_skills
,	hard_skills
et	hard_skills
des	hard_skills
logos	hard_skills
";"	O
Faire	soft_skills
preuve	soft_skills
de	soft_skills
proactivité	soft_skills
et	soft_skills
d'imagination	soft_skills
en	soft_skills
fonction	soft_skills
des	soft_skills
différents	soft_skills
projets	soft_skills
menés	soft_skills
";"	O
Trouver	hard_skills
les	hard_skills
solutions	hard_skills
efficaces	hard_skills
aux	hard_skills
différentes	hard_skills
demandes	hard_skills
tout	hard_skills
en	hard_skills
respectant	hard_skills
le	hard_skills
planning	hard_skills
imposé	hard_skills
.	O
PROFIL	O
:	O
Plus	O
qu'un	O
véritable	O
expert	O
en	O
graphisme	O
,	O
c’est	O
ta	O
passion	soft_skills
et	O
ta	O
personnalité	soft_skills
qui	O
feront	O
la	O
différence	O
pour	O
ce	O
poste	O
!	O
Le	O
bac	experience
en	O
poche	O
,	O
tu	O
es	O
actuellement	O
dans	O
une	O
école	experience
de	experience
graphisme	experience
-LRB-	O
idéalement	experience
au	experience
moins	experience
en	experience
2e	experience
année	experience
-RRB-	O
,	O
