Cuisiniers	position
H/F	O
PARIS	company
AIR	company
CATERING	company
établissement	company
Ouest	company
-	O
Aéroport	localisation
Paris-Roissy-Charles-de-Gaulle	localisation
-LRB-	O
95	O
-RRB-	O
1	salary
823	salary
$	salary
par	O
mois	O
-	O
CDD	contract_type
Paris	O
Air	O
Catering	O
établissement	O
Ouest	O
est	O
une	O
filiale	O
de	O
Servair	O
.	O
Servair	O
est	O
la	O
première	O
entreprise	O
française	O
de	O
restauration	O
aérienne	O
et	O
de	O
nettoyage	O
cabine	O
et	O
le	O
premier	O
caterer	O
en	O
Afrique	O
avec	O
21	O
implantations	O
dans	O
18	O
pays	O
.	O
Partenaire	O
des	O
plus	O
grands	O
chefs	O
,	O
SERVAIR	O
a	O
placé	O
l'identité	O
culinaire	O
au	O
cœur	O
de	O
sa	O
stratégie	O
depuis	O
sa	O
création	O
en	O
1971	O
.	O
En	O
janvier	O
2017	O
,	O
SERVAIR	O
a	O
rejoint	O
gategroup	O
,	O
leader	O
mondial	O
de	O
l'industrie	O
des	O
produits	O
et	O
services	O
aux	O
compagnies	O
aériennes	O
.	O
Avec	O
un	O
réseau	O
mondial	O
couvrant	O
six	O
continents	O
,	O
gategroup	O
fournit	O
300	O
compagnies	O
aériennes	O
dans	O
plus	O
de	O
200	O
sites	O
dans	O
60	O
pays	O
et	O
emploie	O
39	O
0	O
collaborateurs	O
.	O
CUISINIERS	O
H/F	O
Dans	O
le	O
respect	O
des	O
règles	O
d'hygiène	O
et	O
de	O
sécurité	O
alimentaire	O
,	O
vous	O
assurez	O
la	O
réalisation	O
de	O
préparations	O
culinaires	O
.	O
A	O
ce	O
titre	O
,	O
vous	O
serez	O
amené	O
à	O
effectuer	O
les	O
missions	O
suivantes	O
:	O
Préparer	O
des	O
recettes	O
,	O
Réaliser	O
des	O
opérations	O
de	O
découpe	O
et	O
de	O
cuisson	O
,	O
Dresser	O
les	O
plats	O
,	O
Vérifier	O
le	O
niveau	O
des	O
stocks	O
journaliers	O
et	O
alerter	O
le	O
cas	O
échéant	O
,	O
Laver	O
et	O
éplucher	O
les	O
aliments	O
,	O
Réceptionner	O
et/ou	O
contrôler	O
les	O
livraisons	O
,	O
Réaliser	O
les	O
inventaires	O
,	O
Procéder	O
au	O
nettoyage	O
et	O
au	O
rangement	O
.	O
Profil	O
:	O
Titulaire	O
d'un	O
CAP	experience
cuisine	experience
,	O
vous	O
disposez	O
d'une	O
expérience	O
significative	O
sur	O
un	O
poste	O
similaire	O
-LRB-	O
minimum	O
2	experience
ans	experience
-RRB-	O
.	O
Dynamique	soft_skills
,	O
rigoureux	soft_skills
et	O
autonome	soft_skills
dans	O
votre	O
travail	O
,	O
vous	O
êtes	O
sensible	O
à	O
la	O
satisfaction	O
du	O
client	O
.	O
Disponibilité	soft_skills
,	O
sens	O
de	O
l'organisation	O
et	O
esprit	soft_skills
d'équipe	soft_skills
sont	O
des	O
qualités	O
indispensables	O
pour	O
le	O
poste	O
.	O
Vous	O
maîtrisez	O
les	O
procédures	O
et	O
règles	O
de	O
sécurité	hard_skills
alimentaire	hard_skills
,	O
hygiène	hard_skills
et	O
qualité	hard_skills
.	O
Informations	O
complémentaires	O
:	O
Postes	O
à	O
pourvoir	O
dès	O
que	O
possible	O
,	O
basés	O
à	O
Roissy	O
CDG	O
Travail	O
en	O
horaires	O
décalés	O
,	O
week-end	O
et	O
jours	O
fériés	O
Type	O
d'emploi	O
:	O
CDD	O
Salaire	O
:	O
1	O
822,78	O
$	O
/	O
mois	O
Expérience	O
exigée	O
:	O
cuisine	O
:	O
2	O
ans	O
