Téléconseiller	position
La	company
Mutuelle	company
Generale	company
-	O
Le	O
Kremlin-Bicêtre	localisation
-LRB-	O
94	O
-RRB-	O
22	salary
0	salary
$	salary
-	salary
23	salary
0	salary
$	salary
par	O
an	O
-	O
CDD	contract_type
Acteur	O
majeur	O
de	O
l'économie	O
sociale	O
,	O
La	O
Mutuelle	O
Générale	O
protège	O
près	O
de	O
1,5	O
million	O
de	O
personnes	O
.	O
Partenaire	O
des	O
groupes	O
La	O
poste	O
et	O
Orange	O
depuis	O
70	O
ans	O
,	O
elle	O
intervient	O
sur	O
le	O
marché	O
des	O
particuliers	O
et	O
des	O
entreprises	O
,	O
en	O
santé	O
et	O
prévoyance	O
.	O
Son	O
expérience	O
dans	O
la	O
gestion	O
des	O
régimes	O
obligatoires	O
comme	O
complémentaires	O
lui	O
confère	O
une	O
expertise	O
globale	O
des	O
métiers	O
de	O
l'assurance	O
santé	O
.	O
Dans	O
le	O
cadre	O
du	O
renforcement	O
des	O
équipes	O
du	O
Département	O
Adhésions	O
Cotisations	O
Recouvrement	O
,	O
de	O
la	O
cellule	O
téléphonique	O
,	O
nous	O
recherchons	O
des	O
Téléconseillers	O
-	O
H/F	O
en	O
CDD	O
pour	O
une	O
durée	O
de	O
4	O
à	O
18	O
mois	O
à	O
temps	O
plein	O
,	O
pour	O
assurer	O
les	O
missions	O
suivantes	O
:	O
Accueil	O
téléphonique	O
des	O
adhérents	O
et	O
réponses	O
personnalisées	O
,	O
Orientation	O
et	O
conseil	O
pour	O
toutes	O
les	O
questions	O
relatives	O
aux	O
cotisations	O
et	O
aux	O
garanties	O
Traite	O
les	O
réclamations	O
Emission	O
d'appel	O
pour	O
effectuer	O
le	O
suivi	O
ou	O
la	O
mise	O
à	O
jour	O
des	O
dossiers	O
,	O
Suivi	O
de	O
l'activité	O
sur	O
notre	O
outil	O
interne	O
,	O
via	O
la	O
rédaction	O
de	O
compte	O
rendus	O
-LRB-	O
dits	O
GRC	O
-RRB-	O
Vous	O
justifiez	O
soit	O
d'une	O
formation	O
,	O
type	O
BAC	O
2	O
/	O
3	O
minimum	O
,	O
en	O
gestion	O
ou	O
assurance	O
,	O
soit	O
d'une	O
expérience	O
au	O
sein	O
d'une	O
mutuelle	O
,	O
CPAM	O
ou	O
compagnie	O
d'assurances	O
.	O
Vous	O
maîtrisez	O
la	O
relation	O
client	O
par	O
téléphone	O
,	O
possédez	O
une	O
très	O
bonne	O
aisance	soft_skills
relationnelle	soft_skills
,	O
faites	O
preuve	O
de	O
réactivité	soft_skills
et	O
d'écoute	soft_skills
.	O
Type	O
d'emploi	O
:	O
CDD	O
Salaire	O
:	O
22	O
0	O
$	O
à	O
23	O
0	O
$	O
/	O
an	O
Expérience	O
exigée	O
:	O
assurance	experience
:	O
1	experience
an	experience
