Audioprothésiste	poqition
-	O
H/F	O
Mutualité	company
Française	company
Bourguignonne	company
SSAM	company
-	O
Dijon	city
-LRB-	O
21	code_postal
-RRB-	O
CDI	contrat_type
Avec	O
140	O
établissements	O
et	O
plus	O
de	O
4000	O
salariés	O
,	O
la	company
Mutualité	company
Française	company
Bourguignonne	company
,	O
-	O
Services	O
de	O
Soins	O
et	O
d'Accompagnement	O
Mutualiste	O
est	O
un	O
acteur	O
majeur	O
de	O
l'Economie	O
Sociale	O
et	O
Solidaire	O
.	O
Nous	O
offrons	O
de	O
nombreux	O
services	O
en	O
établissement	O
et	O
à	O
domicile	O
,	O
de	O
l'enfance	O
au	O
grand	O
âge	O
,	O
garantissant	O
un	O
accès	O
aux	O
soins	O
au	O
plus	O
grand	O
nombre	O
.	O
Intégré	O
-LRB-	O
e	O
-RRB-	O
au	O
sein	O
du	O
Pôle	O
Santé	O
notamment	O
représenté	O
sur	O
le	O
secteur	O
de	O
l'audition	O
avec	O
13	O
centres	O
Audio	O
répartis	O
sur	O
3	O
départements	O
-LRB-	O
Côte	O
d'Or	O
,	O
Yonne	O
et	O
Nièvre	O
-RRB-	O
,	O
nous	O
recherchons	O
des	position
:	O
AUDIOPROTHESISTE	position
--	O
H/F	O
Missions	O
principales	O
:	O
Vous	hard_skills
avez	hard_skills
en	hard_skills
charge	hard_skills
le	hard_skills
développement	hard_skills
de	hard_skills
l'activité	hard_skills
et	hard_skills
le	hard_skills
suivi	hard_skills
de	hard_skills
la	hard_skills
clientèle	hard_skills
du	hard_skills
centre	hard_skills
,	O
Vous	hard_skills
réalisez	hard_skills
les	hard_skills
tests	hard_skills
audiométriques	hard_skills
,	O
les	hard_skills
prises	hard_skills
d'empreintes	hard_skills
et	hard_skills
les	hard_skills
différents	hard_skills
réglages	hard_skills
des	hard_skills
appareils	hard_skills
,	O
Vous	hard_skills
conseillez	hard_skills
les	hard_skills
patients	hard_skills
dans	hard_skills
le	hard_skills
choix	hard_skills
,	O
l'utilisation	hard_skills
et	hard_skills
l'entretien	hard_skills
de	hard_skills
l'appareillage	hard_skills
,	O
Vous	hard_skills
réalisez	hard_skills
l'entretien	hard_skills
et	hard_skills
la	hard_skills
vérification	hard_skills
des	hard_skills
appareillages	hard_skills
réalisés	hard_skills
,	O
Vous	hard_skills
êtes	hard_skills
responsable	hard_skills
de	hard_skills
la	hard_skills
gestion	hard_skills
des	hard_skills
stocks	hard_skills
et	hard_skills
des	hard_skills
commandes	hard_skills
de	hard_skills
votre	hard_skills
centre	hard_skills
,	O
Poste	O
en	O
CDI	contrat_type
à	O
pourvoir	O
dès	O
que	O
possible	O
.	O
Tous	O
nos	O
centres	O
sont	O
équipés	O
avec	O
du	O
matériel	O
de	O
pointe	O
:	O
chaîne	O
de	O
mesure	O
dernière	O
génération	O
,	O
audiométrie	O
aux	O
inserts	O
,	O
matériel	O
de	O
mesure	O
équipé	O
de	O
la	O
technologie	O
in	O
vivo	O
,	O
Tous	O
nos	O
centres	O
sont	O
engagés	O
dans	O
une	O
démarche	O
de	O
certification	O
qualité	O
,	O
Vous	O
bénéficiez	O
d'un	O
statut	O
salarié	O
cadre	O
de	O
27	O
jours	O
de	O
congés	O
payés	O
ainsi	O
que	O
de	O
23	O
jours	O
de	O
RTT	O
,	O
Vous	O
disposez	O
d'une	O
voiture	O
de	O
fonction	O
,	O
Statut	O
cadre	O
--	O
Rémunération	O
selon	O
profil	O
et	O
expérience	O
Vous	hard_skills
travaillez	hard_skills
en	hard_skills
autonomie	hard_skills
au	hard_skills
sein	hard_skills
d'un	hard_skills
centre	hard_skills
d'audition	hard_skills
disposant	hard_skills
d'équipements	hard_skills
techniques	hard_skills
performants	hard_skills
,	O
Vous	hard_skills
bénéficiez	hard_skills
du	hard_skills
support	hard_skills
d'une	hard_skills
Assistante	hard_skills
audio	hard_skills
ainsi	hard_skills
que	hard_skills
du	hard_skills
support	hard_skills
administratif	hard_skills
et	hard_skills
technique	hard_skills
du	hard_skills
pôle	hard_skills
.	O
Profil	O
recherché	O
:	O
Vous	O
êtes	O
impérativement	O
titulaire	experience
du	experience
Diplôme	experience
d'Etat	experience
d'Audioprothésiste	experience
,	O
Vous	experience
avez	experience
une	experience
première	experience
expérience	experience
pratique	experience
et	experience
maitrisez	experience
les	experience
techniques	experience
de	experience
moulage	experience
,	O
de	experience
réglage	experience
et	experience
d'ajustage	experience
des	experience
appareils	experience
auditifs	experience
,	O
Vous	soft_skills
avez	soft_skills
le	soft_skills
sens	soft_skills
du	soft_skills
service	soft_skills
et	soft_skills
possédez	soft_skills
une	soft_skills
certaine	soft_skills
aisance	soft_skills
relationnelle	soft_skills
,	O
Vous	soft_skills
appréciez	soft_skills
le	soft_skills
travail	soft_skills
en	soft_skills
équipe	soft_skills
et	soft_skills
vous	soft_skills
vous	soft_skills
retrouvez	soft_skills
dans	soft_skills
les	soft_skills
valeurs	soft_skills
mutualistes	soft_skills
,	O
à	O
savoir	O
l'accès	O
pour	O
TOUS	O
à	O
des	O
soins	O
de	O
qualité	O
,	O
Rejoignez-nous	O
!	O
Type	O
d'emploi	O
:	O
CDI	contrat_type
