Pâtissier	position
H/F	O
LE	company
PARFUM	company
DU	company
PAIN	company
-	O
Gières	city
-LRB-	O
38	code_postal
-RRB-	O
1	salary
747	salary
$	salary
par	salary
mois	salary
Vous	hard_skills
fabriquez	hard_skills
les	hard_skills
patisseries	hard_skills
pour	hard_skills
le	hard_skills
magasin	hard_skills
et	hard_skills
sur	hard_skills
commande	hard_skills
.	O
Vous	hard_skills
pouvez	hard_skills
avoir	hard_skills
un	hard_skills
peu	hard_skills
de	hard_skills
polyvalence	hard_skills
dans	hard_skills
l'établissement	hard_skills
.	O
Horaires	hard_skills
5h30	hard_skills
-	O
13h	hard_skills
du	hard_skills
mardi	hard_skills
au	hard_skills
samedi	hard_skills
et	hard_skills
le	hard_skills
dimanche	hard_skills
de	hard_skills
manière	hard_skills
occasionnelle	hard_skills
.	O
Prise	O
de	O
poste	O
le	O
1er	O
décembre	O
2017	O
.	O
CDI	contrat_type
37.5	O
h	O
Expérience	O
souhaitée	O
,	O
2	experience
ans	experience
après	experience
le	experience
CAP	experience
Type	O
d'emploi	O
:	O
Temps	contrat_type
plein	contrat_type
Salaire	O
:	O
1	salary
747	salary
$	salary
/	O
mois	salary
Expérience	O
exigée	O
:	O
tant	experience
que	experience
patissier	experience
qualifié	experience
:	O
2	experience
ans	experience
