Coiffeur	position
/	O
coiffeuse	O
cdi	contract_type
temps	O
plein	O
angers	city
-LRB-	O
H/F	O
-RRB-	O
PASCAL	company
COSTE	company
COIFFURE	company
-	O
Angers	O
-LRB-	O
49	O
-RRB-	O
Type	O
de	O
contrat	O
CDI	O
Expérience	O
5	experience
ans	experience
et	O
plus	O
Travail	O
à	O
Temps	O
plein	O
Description	O
:	O
Pascal	O
Coste	O
coiffure	O
centre	O
commercial	O
Auchan	O
avrillé	O
-LRB-	O
près	O
d'angers	O
-RRB-	O
recrute	O
coiffeur	O
-LRB-	O
euse	O
-RRB-	O
en	O
CDI	O
temps	O
plein	O
.	O
Expérience	O
de	O
5	O
ans	O
minimum	O
sur	O
le	O
poste	O
.	O
D'esprit	soft_skills
ouvert	soft_skills
et	O
motivé	soft_skills
-LRB-	O
e	O
-RRB-	O
,	O
doté	O
-LRB-	O
e	O
-RRB-	O
d'un	O
très	O
bon	O
relationnel	soft_skills
,	O
vous	O
avez	O
le	O
sens	O
du	O
service	O
et	O
aimez	O
le	O
travailen	soft_skills
équipe	soft_skills
.	O
Vous	O
maîtrisez	O
l'ensembledes	O
prestations	O
coiffure	O
.	O
Nous	O
proposons	O
de	O
nombreuses	O
formations	O
et	O
unerémunération	O
selon	O
votre	O
expérience	O
avec	O
des	O
primes	O
bonus	O
.	O
Tres	O
gros	O
potentiel	O
pour	O
candidat	O
-LRB-	O
e	O
-RRB-	O
motivée	O
.	O
Possibilité	O
de	O
plan	O
de	O
carrière	O
.	O
Se	O
présenter	O
au	O
salon	O
ou	O
envoyer	O
cv	O
par	O
mail	O
.	O
Type	O
d'emploi	O
:	O
Temps	O
plein	O
Expérience	O
exigée	O
:	O
Coiffure	O
:	O
1	experience
an	experience
