Audioprothésiste	position
-	O
H/F	O
Mutualité	company
Française	company
Bourguignonne	company
SSAM	company
-	O
Dijon	city
-LRB-	O
21	postal_code
-RRB-	O
CDI	contract_type
Avec	O
140	O
établissements	O
et	O
plus	O
de	O
4000	O
salariés	O
,	O
la	O
Mutualité	company
Française	company
Bourguignonne	company
,	O
-	O
Services	O
de	O
Soins	O
et	O
d'Accompagnement	O
Mutualiste	O
est	O
un	O
acteur	O
majeur	O
de	O
l'Economie	O
Sociale	O
et	O
Solidaire	O
.	O
Nous	O
offrons	O
de	O
nombreux	O
services	O
en	O
établissement	O
et	O
à	O
domicile	O
,	O
de	O
l'enfance	O
au	O
grand	O
âge	O
,	O
garantissant	O
un	O
accès	O
aux	O
soins	O
au	O
plus	O
grand	O
nombre	O
.	O
Intégré	O
-LRB-	O
e	O
-RRB-	O
au	O
sein	O
du	O
Pôle	O
Santé	O
notamment	O
représenté	O
sur	O
le	O
secteur	O
de	O
l'audition	O
avec	O
13	O
centres	O
Audio	O
répartis	O
sur	O
3	O
départements	O
-LRB-	O
Côte	O
d'Or	O
,	O
Yonne	O
et	O
Nièvre	O
-RRB-	O
,	O
nous	O
recherchons	O
des	O
:	O
AUDIOPROTHESISTE	company
--	O
H/F	O
Missions	O
principales	O
:	O
Vous	O
avez	O
en	O
charge	hard_skills
le	hard_skills
développement	hard_skills
de	hard_skills
l'activité	hard_skills
et	hard_skills
le	hard_skills
suivi	hard_skills
de	hard_skills
la	hard_skills
clientèle	hard_skills
du	hard_skills
centre	hard_skills
,	O
Vous	O
réalisez	hard_skills
les	hard_skills
tests	hard_skills
audiométriques	hard_skills
,	hard_skills
les	hard_skills
prises	hard_skills
d'empreintes	hard_skills
et	hard_skills
les	hard_skills
différents	hard_skills
réglages	hard_skills
des	hard_skills
appareils	hard_skills
,	O
Vous	O
conseillez	hard_skills
les	hard_skills
patients	hard_skills
dans	hard_skills
le	hard_skills
choix	hard_skills
,	hard_skills
l'utilisation	hard_skills
et	hard_skills
l'entretien	hard_skills
de	hard_skills
l'appareillage	hard_skills
,	O
Vous	O
réalisez	hard_skills
l'entretien	hard_skills
et	hard_skills
la	hard_skills
vérification	hard_skills
des	hard_skills
appareillages	hard_skills
réalisés	hard_skills
,	O
Vous	O
êtes	O
responsable	hard_skills
de	hard_skills
la	hard_skills
gestion	hard_skills
des	hard_skills
stocks	hard_skills
et	hard_skills
des	hard_skills
commandes	hard_skills
de	hard_skills
votre	hard_skills
centre	hard_skills
,	O
Poste	O
en	O
CDI	contract_type
à	O
pourvoir	O
dès	O
que	O
possible	O
.	O
Tous	O
nos	O
centres	O
sont	O
équipés	O
avec	O
du	O
matériel	O
de	O
pointe	O
:	O
chaîne	O
de	O
mesure	O
dernière	O
génération	O
,	O
audiométrie	O
aux	O
inserts	O
,	O
matériel	O
de	O
mesure	O
équipé	O
de	O
la	O
technologie	O
in	O
vivo	O
,	O
Tous	O
nos	O
centres	O
sont	O
engagés	O
dans	O
une	O
démarche	O
de	O
certification	O
qualité	O
,	O
Vous	O
bénéficiez	O
d'un	O
statut	O
salarié	O
cadre	O
de	O
27	O
jours	O
de	O
congés	O
payés	O
ainsi	O
que	O
de	O
23	O
jours	O
de	O
RTT	O
,	O
Vous	O
disposez	O
d'une	O
voiture	O
de	O
fonction	O
,	O
Statut	O
cadre	O
--	O
Rémunération	O
selon	O
profil	O
et	O
expérience	O
Vous	O
travaillez	O
en	O
autonomie	soft_skills
au	O
sein	O
d'un	O
centre	O
d'audition	O
disposant	O
d'équipements	O
techniques	O
performants	O
,	O
Vous	O
bénéficiez	O
du	O
support	O
d'une	O
Assistante	O
audio	O
ainsi	O
que	O
du	O
support	O
administratif	O
et	O
technique	O
du	O
pôle	O
.	O
Profil	O
recherché	O
:	O
Vous	O
êtes	O
impérativement	O
titulaire	O
du	O
Diplôme	experience
d'Etat	experience
d'Audioprothésiste	experience
,	O
Vous	O
avez	O
une	O
première	experience
expérience	experience
pratique	experience
et	O
maitrisez	hard_skills
les	hard_skills
techniques	hard_skills
de	hard_skills
moulage	hard_skills
,	hard_skills
de	hard_skills
réglage	hard_skills
et	hard_skills
d'ajustage	hard_skills
des	hard_skills
appareils	hard_skills
auditifs	hard_skills
,	O
Vous	O
avez	O
le	O
sens	soft_skills
du	soft_skills
service	soft_skills
et	soft_skills
possédez	O
une	O
certaine	O
aisance	soft_skills
relationnelle	soft_skills
,	O
Vous	O
appréciez	O
le	O
travail	soft_skills
en	soft_skills
équipe	soft_skills
et	O
vous	O
vous	O
retrouvez	O
dans	O
les	O
valeurs	O
mutualistes	O
,	O
à	O
savoir	O
l'accès	O
pour	O
TOUS	O
à	O
des	O
soins	O
de	O
qualité	O
,	O
Rejoignez-nous	O
!	O
Type	O
d'emploi	O
:	O
CDI	contract_type
