Audioprothésiste	position
-	O
H/F	O
Mutualité	company
Française	company
Bourguignonne	company
SSAM	company
-	O
Dijon	localisation
-LRB-	O
21	O
-RRB-	O
CDI	contract_type
Avec	O
140	O
établissements	O
et	O
plus	O
de	O
4000	O
salariés	O
,	O
la	O
Mutualité	O
Française	O
Bourguignonne	O
,	O
-	O
Services	O
de	O
Soins	O
et	O
d'Accompagnement	O
Mutualiste	O
est	O
un	O
acteur	O
majeur	O
de	O
l'Economie	O
Sociale	O
et	O
Solidaire	O
.	O
Nous	O
offrons	O
de	O
nombreux	O
services	O
en	O
établissement	O
et	O
à	O
domicile	O
,	O
de	O
l'enfance	O
au	O
grand	O
âge	O
,	O
garantissant	O
un	O
accès	O
aux	O
soins	O
au	O
plus	O
grand	O
nombre	O
.	O
Intégré	O
-LRB-	O
e	O
-RRB-	O
au	O
sein	O
du	O
Pôle	O
Santé	O
notamment	O
représenté	O
sur	O
le	O
secteur	O
de	O
l'audition	O
avec	O
13	O
centres	O
Audio	O
répartis	O
sur	O
3	O
départements	O
-LRB-	O
Côte	O
d'Or	O
,	O
Yonne	O
et	O
Nièvre	O
-RRB-	O
,	O
nous	O
recherchons	O
des	O
:	O
AUDIOPROTHESISTE	O
--	O
H/F	O
Missions	O
principales	O
:	O
Vous	O
avez	O
en	O
charge	O
le	O
développement	O
de	O
l'activité	O
et	O
le	O
suivi	O
de	O
la	O
clientèle	O
du	O
centre	O
,	O
Vous	O
réalisez	O
les	O
tests	O
audiométriques	O
,	O
les	O
prises	O
d'empreintes	O
et	O
les	O
différents	O
réglages	O
des	O
appareils	O
,	O
Vous	O
conseillez	O
les	O
patients	O
dans	O
le	O
choix	O
,	O
l'utilisation	O
et	O
l'entretien	O
de	O
l'appareillage	O
,	O
Vous	O
réalisez	O
l'entretien	O
et	O
la	O
vérification	O
des	O
appareillages	O
réalisés	O
,	O
Vous	O
êtes	O
responsable	O
de	O
la	O
gestion	O
des	O
stocks	O
et	O
des	O
commandes	O
de	O
votre	O
centre	O
,	O
Poste	O
en	O
CDI	O
à	O
pourvoir	O
dès	O
que	O
possible	O
.	O
Tous	O
nos	O
centres	O
sont	O
équipés	O
avec	O
du	O
matériel	O
de	O
pointe	O
:	O
chaîne	O
de	O
mesure	O
dernière	O
génération	O
,	O
audiométrie	O
aux	O
inserts	O
,	O
matériel	O
de	O
mesure	O
équipé	O
de	O
la	O
technologie	O
in	O
vivo	O
,	O
Tous	O
nos	O
centres	O
sont	O
engagés	O
dans	O
une	O
démarche	O
de	O
certification	O
qualité	O
,	O
Vous	O
bénéficiez	O
d'un	O
statut	O
salarié	O
cadre	O
de	O
27	O
jours	O
de	O
congés	O
payés	O
ainsi	O
que	O
de	O
23	O
jours	O
de	O
RTT	O
,	O
Vous	O
disposez	O
d'une	O
voiture	O
de	O
fonction	O
,	O
Statut	O
cadre	O
--	O
Rémunération	O
selon	O
profil	O
et	O
expérience	O
Vous	O
travaillez	O
en	O
autonomie	soft_skills
au	O
sein	O
d'un	O
centre	O
d'audition	O
disposant	O
d'équipements	O
techniques	O
performants	O
,	O
Vous	O
bénéficiez	O
du	O
support	O
d'une	O
Assistante	O
audio	O
ainsi	O
que	O
du	O
support	O
administratif	O
et	O
technique	O
du	O
pôle	O
.	O
Profil	O
recherché	O
:	O
Vous	O
êtes	O
impérativement	O
titulaire	O
du	O
Diplôme	experience
d'Etat	experience
d'Audioprothésiste	experience
,	O
Vous	O
avez	O
une	O
première	O
expérience	O
pratique	O
et	O
maitrisez	O
les	O
techniques	O
de	O
moulage	hard_skills
,	O
de	O
réglage	hard_skills
et	O
d'ajustage	O
des	O
appareils	O
auditifs	O
,	O
Vous	O
avez	O
le	O
sens	O
du	O
service	O
et	O
possédez	O
une	O
certaine	O
aisance	O
relationnelle	O
,	O
Vous	O
appréciez	O
le	O
travail	O
en	O
équipe	O
et	O
vous	O
vous	O
retrouvez	O
dans	O
les	O
valeurs	O
mutualistes	O
,	O
à	O
savoir	O
l'accès	O
pour	O
TOUS	O
à	O
des	O
soins	O
de	O
qualité	O
,	O
Rejoignez-nous	O
!	O
Type	O
d'emploi	O
:	O
CDI	O
