Vendeur	position
-LRB-	O
h/f	O
-RRB-	O
-	O
Caen	city
-	O
CDI	contract_type
Temps	contract_type
Partiel	contract_type
THE	company
KOOPLES	company
-	O
Caen	city
-LRB-	O
14	postal_code
-RRB-	O
Temps	contract_type
partiel	contract_type
Description	O
du	O
poste	O
Sous	O
la	O
direction	O
du	O
responsable	O
du	O
point	O
de	O
vente	O
,	O
vous	O
participez	O
à	O
la	O
réalisation	O
des	O
objectifs	O
commerciaux	O
de	O
la	O
boutique	O
.	O
Véritable	O
ambassadeur	O
de	O
la	O
Maison	O
The	company
Kooples	company
,	O
vos	O
missions	O
principales	O
seront	O
les	O
suivantes	O
:	O
1	O
/	O
Faire	hard_skills
vivre	hard_skills
à	hard_skills
nos	hard_skills
clients	hard_skills
l'expérience	hard_skills
unique	hard_skills
The	company
Kooples	company
:	O
Accueillir	hard_skills
et	hard_skills
accompagner	hard_skills
le	hard_skills
client	hard_skills
tout	hard_skills
au	hard_skills
long	hard_skills
de	hard_skills
son	hard_skills
parcours	hard_skills
shopping	hard_skills
en	hard_skills
assurant	hard_skills
un	hard_skills
service	hard_skills
personnalisé	hard_skills
";"	O
Conseiller	hard_skills
le	hard_skills
client	hard_skills
en	hard_skills
valorisant	hard_skills
notre	hard_skills
savoir-faire	hard_skills
traditionnel	hard_skills
et	hard_skills
les	hard_skills
caractéristiques	hard_skills
de	hard_skills
nos	hard_skills
produits	hard_skills
grâce	hard_skills
à	hard_skills
un	hard_skills
argumentaire	hard_skills
maîtrisé	hard_skills
";"	O
Fidéliser	hard_skills
et	hard_skills
garantir	hard_skills
la	hard_skills
satisfaction	hard_skills
de	hard_skills
notre	hard_skills
clientèle	hard_skills
.	O
2	O
/	O
Contribuer	hard_skills
au	hard_skills
développement	hard_skills
du	hard_skills
chiffre	hard_skills
d'affaires	hard_skills
de	hard_skills
votre	hard_skills
point	hard_skills
de	hard_skills
vente	hard_skills
:	O
Maitriser	hard_skills
et	hard_skills
optimiser	hard_skills
les	hard_skills
indicateurs	hard_skills
de	hard_skills
performance	hard_skills
";"	O
Assurer	hard_skills
le	hard_skills
suivi	hard_skills
des	hard_skills
stocks	hard_skills
et	hard_skills
en	hard_skills
garantir	hard_skills
la	hard_skills
fiabilité	hard_skills
";"	O
Réceptionner	hard_skills
les	hard_skills
marchandises	hard_skills
et	hard_skills
effectuer	hard_skills
le	hard_skills
réassort	hard_skills
.	hard_skills
3	O
/	O
Mettre	hard_skills
en	hard_skills
avant	hard_skills
nos	hard_skills
collections	hard_skills
à	hard_skills
travers	hard_skills
un	hard_skills
visuel	hard_skills
merchandising	hard_skills
inspirant	hard_skills
:	O
Réaliser	hard_skills
le	hard_skills
visuel	hard_skills
merchandising	hard_skills
dans	hard_skills
le	hard_skills
respect	hard_skills
des	hard_skills
directives	hard_skills
de	hard_skills
notre	hard_skills
Maison	hard_skills
";"	O
Veillez	hard_skills
à	hard_skills
la	hard_skills
bonne	hard_skills
tenue	hard_skills
de	hard_skills
point	hard_skills
de	hard_skills
vente	hard_skills
.	O
Profil	O
recherché	O
De	O
formation	experience
commerciale	experience
Bac	experience
à	experience
Bac	experience
2	experience
,	O
vous	O
justifiez	O
d'une	O
première	experience
expérience	experience
dans	experience
la	experience
vente	experience
,	O
idéalement	O
dans	O
le	O
secteur	O
du	O
prêt	O
à	O
porter	O
ou	O
du	O
service	O
haut	O
de	O
gamme	O
.	O
Passionné	soft_skills
par	O
la	O
mode	O
,	O
vous	O
disposez	O
d'une	O
forte	O
sensibilité	soft_skills
produit	soft_skills
et	O
avez	O
de	O
bonnes	soft_skills
connaissances	soft_skills
du	O
secteur	soft_skills
et	O
de	O
ses	O
tendances	O
.	O
D'un	O
tempérament	soft_skills
commercial	soft_skills
développé	soft_skills
,	O
vous	O
avez	O
la	O
culture	soft_skills
du	O
résultat	soft_skills
et	O
le	O
goût	O
du	O
travail	soft_skills
en	soft_skills
équipe	soft_skills
.	O
La	O
maîtrise	hard_skills
du	hard_skills
pack	hard_skills
Office	hard_skills
et	O
de	O
l'anglais	hard_skills
est	O
fortement	O
appréciée	O
.	O
La	O
pratique	O
d'une	O
autre	O
langue	O
constituerait	O
un	O
véritable	O
atout	O
-LRB-	O
mandarin	hard_skills
,	O
arabe	hard_skills
littéraire	hard_skills
,	O
russe	hard_skills
-RRB-	O
.	O
Type	O
d'emploi	O
:	O
Temps	contract_type
partiel	contract_type
Localisation	O
du	O
poste	O
:	O
Caen	city
Expérience	O
exigée	O
:	O
vente	O
:	O
1	experience
an	O
