Secrétaire	position
H/F	O
SOS	company
OXYGENE	company
-	O
Nice	city
-LRB-	O
6	O
-RRB-	O
1	salary
740	salary
$	salary
-	salary
1	salary
850	salary
$	salary
par	O
mois	O
-	O
CDI	contract_type
Au	O
service	O
de	O
ses	O
patients	O
,	O
SOS	O
Oxygène	O
œuvre	O
depuis	O
25	O
ans	O
dans	O
le	O
domaine	O
de	O
l'oxygénothérapie	O
,	O
l'assistance	O
respiratoire	O
,	O
la	O
nutrition	O
artificielle	O
et	O
l'insulinothérapie	O
.	O
Le	O
groupe	O
compte	O
aujourd	O
'	O
hui	O
près	O
de	O
1500	O
collaborateurs	O
spécialisés	O
,	O
au	O
service	O
des	O
patients	O
et	O
des	O
professionnels	O
de	O
santé	O
,	O
répartis	O
au	O
sein	O
de	O
ses	O
65	O
établissements	O
en	O
France	O
.	O
Rejoindre	O
SOS	O
Oxygène	O
c’est	O
prendre	O
part	O
à	O
la	O
vie	O
d'une	O
entreprise	O
familiale	O
,	O
à	O
l'écoute	O
et	O
proche	O
de	O
ses	O
collaborateurs	O
dans	O
l'objectif	O
de	O
fournir	O
un	O
service	O
de	O
qualité	O
à	O
ses	O
patients	O
Dans	O
le	O
cadre	O
de	O
son	O
expansion	O
et	O
pour	O
faire	O
face	O
à	O
l'augmentation	O
du	O
volume	O
de	O
dossiers	O
à	O
traiter	O
,	O
notre	O
entreprise	O
recherche	O
plusieurs	O
Secrétaires	O
H/F	O
.	O
Vous	O
aurez	O
pour	O
principales	O
missions	O
:	O
La	O
tenue	O
et	O
la	O
bonne	O
gestion	O
des	O
dossiers	O
administratifs	O
de	O
nos	O
patients	O
";"	O
La	O
gestion	O
de	O
la	O
facturation	O
et	O
des	O
télétransmissions	O
";"	O
La	O
gestion	O
des	O
flux	O
téléphoniques	O
";"	O
La	O
rédaction	O
de	O
divers	O
courriers	O
auprès	O
des	O
organismes	O
payeurs	O
.	O
Vous	O
avez	O
idéalement	O
un	O
Bac	O
2	O
et	O
une	O
expérience	O
dans	O
le	O
domaine	O
du	O
secrétariat	O
.	O
Bonne	O
utilisation	O
des	O
outils	hard_skills
numériques	hard_skills
,	O
rigueur	soft_skills
,	O
autonomie	soft_skills
et	O
esprit	soft_skills
d'équipe	soft_skills
sont	O
vos	O
atouts	O
pour	O
réussir	O
à	O
ce	O
poste	O
.	O
Type	O
d'emploi	O
:	O
CDI	O
Salaire	O
:	O
1	O
740	O
$	O
à	O
1	O
850	O
$	O
/	O
mois	O
