Téléconseiller	position
-LRB-	O
H/F	O
-RRB-	O
Interflora	company
-	O
Lyon	city
3e	postal_code
-LRB-	O
69	postal_code
-RRB-	O
1	salary
480	salary
$	salary
par	salary
mois	salary
-	O
CDI	contract_type
Pour	O
notre	O
service	O
clients	O
,	O
vous	O
assurerez	O
les	O
missions	O
suivantes	O
:	O
-	O
Réception	hard_skills
des	hard_skills
appels	hard_skills
clients	hard_skills
BtoC	hard_skills
pour	hard_skills
la	hard_skills
prise	hard_skills
de	hard_skills
commande	hard_skills
,	hard_skills
-	hard_skills
Suivi	hard_skills
des	hard_skills
commande	hard_skills
du	hard_skills
site	hard_skills
internet	hard_skills
,	hard_skills
-	hard_skills
Traitement	hard_skills
des	hard_skills
courriels	hard_skills
,	hard_skills
-	hard_skills
Réception	hard_skills
des	hard_skills
appels	hard_skills
fleuristes	hard_skills
pour	hard_skills
les	hard_skills
livraisons	hard_skills
,	hard_skills
-	hard_skills
Traduction	hard_skills
des	hard_skills
commandes	hard_skills
internationales	hard_skills
.	O
Compétences	O
:	O
Maîtrise	hard_skills
de	hard_skills
l'écrit	hard_skills
/	hard_skills
mails	hard_skills
>	O
cette	O
compétence	O
est	O
indispensable	O
Conseiller	hard_skills
un	hard_skills
client	hard_skills
Principes	hard_skills
de	hard_skills
la	hard_skills
relation	hard_skills
client	hard_skills
Présenter	hard_skills
ou	hard_skills
identifier	hard_skills
l'objet	hard_skills
de	hard_skills
l'appel	hard_skills
-LRB-	hard_skills
commande	hard_skills
,	hard_skills
vente	hard_skills
,	hard_skills
information	hard_skills
,	hard_skills
réclamation	hard_skills
,	hard_skills
assistance	hard_skills
,	hard_skills
...	hard_skills
-RRB-	hard_skills
Réaliser	hard_skills
un	hard_skills
suivi	hard_skills
d'appel	hard_skills
Techniques	hard_skills
de	hard_skills
vente	hard_skills
par	hard_skills
téléphone	hard_skills
Formation	O
BAC	experience
-	experience
commerce	experience
Vous	O
êtes	O
polyvalent	soft_skills
-LRB-	O
e	soft_skills
-RRB-	O
et	O
vous	O
démontrez	O
une	O
forte	soft_skills
motivation	soft_skills
commerciale	soft_skills
.	O
Vous	O
maîtrisez	hard_skills
l'écrit	hard_skills
et	hard_skills
l'orthographe	hard_skills
.	O
Expérience	experience
souhaitée	experience
d'un	experience
mois	experience
,	experience
en	experience
relation	experience
clients	experience
chez	experience
l'annonceur	experience
ou	experience
chez	experience
un	experience
prestataire	experience
.	O
Horaire	O
selon	O
un	O
planning	O
tournant	O
:	O
35h	O
hebdomadaire	O
réparti	O
sur	O
6	O
jours	O
du	O
lundi	O
au	O
dimanche	O
.	O
Plateau	O
ouvert	O
de	O
8h	O
à	O
19h	O
.	O
Rémunération	O
à	O
1480,27	salary
$	salary
avec	O
épargne	O
salariale	O
équivalente	O
en	O
moyenne	O
à	O
3	O
mois	O
de	O
salaire	O
.	O
Interflora	company
est	O
le	O
leader	O
Français	O
de	O
la	O
transmission	O
florale	O
avec	O
un	O
réseau	O
de	O
plus	O
de	O
5200	O
fleuristes	O
partenaires	O
en	O
France	country
et	O
plus	O
de	O
45	O
0	O
à	O
travers	O
le	O
monde	O
.	O
Notre	O
marque	O
est	O
en	O
évolution	O
constante	O
,	O
avec	O
sans	O
cesse	O
de	O
nouveaux	O
projets	O
,	O
développement	O
et	O
innovation	O
.	O
Type	O
d'emploi	O
:	O
CDI	contract_type
