Vendeur	position
-LRB-	O
h/f	O
-RRB-	O
-	O
Caen	city
-	O
CDI	contrat_type
Temps	O
Partiel	O
THE	company
KOOPLES	company
-	O
Caen	city
-LRB-	O
14	code_postal
-RRB-	O
Temps	O
partiel	O
Description	O
du	O
poste	O
Sous	O
la	O
direction	O
du	O
responsable	O
du	O
point	O
de	O
vente	O
,	O
vous	hard_skills
participez	hard_skills
à	hard_skills
la	hard_skills
réalisation	hard_skills
des	hard_skills
objectifs	hard_skills
commerciaux	hard_skills
de	hard_skills
la	hard_skills
boutique	hard_skills
.	O
Véritable	hard_skills
ambassadeur	hard_skills
de	hard_skills
la	hard_skills
Maison	hard_skills
The	hard_skills
Kooples	hard_skills
,	O
vos	hard_skills
missions	hard_skills
principales	hard_skills
seront	hard_skills
les	hard_skills
suivantes	hard_skills
:	hard_skills
1	hard_skills
/	O
Faire	hard_skills
vivre	hard_skills
à	hard_skills
nos	hard_skills
clients	hard_skills
l'expérience	hard_skills
unique	hard_skills
The	hard_skills
Kooples	hard_skills
:	O
Accueillir	hard_skills
et	hard_skills
accompagner	hard_skills
le	hard_skills
client	hard_skills
tout	hard_skills
au	hard_skills
long	hard_skills
de	hard_skills
son	hard_skills
parcours	hard_skills
shopping	hard_skills
en	hard_skills
assurant	hard_skills
un	hard_skills
service	hard_skills
personnalisé	hard_skills
";"	O
Conseiller	hard_skills
le	hard_skills
client	hard_skills
en	hard_skills
valorisant	hard_skills
notre	hard_skills
savoir-faire	hard_skills
traditionnel	hard_skills
et	hard_skills
les	hard_skills
caractéristiques	hard_skills
de	hard_skills
nos	hard_skills
produits	hard_skills
grâce	hard_skills
à	hard_skills
un	hard_skills
argumentaire	hard_skills
maîtrisé	hard_skills
";"	O
Fidéliser	hard_skills
et	hard_skills
garantir	hard_skills
la	hard_skills
satisfaction	hard_skills
de	hard_skills
notre	hard_skills
clientèle	hard_skills
.	O
2	hard_skills
/	O
Contribuer	hard_skills
au	hard_skills
développement	hard_skills
du	hard_skills
chiffre	hard_skills
d'affaires	hard_skills
de	hard_skills
votre	hard_skills
point	hard_skills
de	hard_skills
vente	hard_skills
:	O
Maitriser	hard_skills
et	hard_skills
optimiser	hard_skills
les	hard_skills
indicateurs	hard_skills
de	hard_skills
performance	hard_skills
";"	O
Assurer	hard_skills
le	hard_skills
suivi	hard_skills
des	hard_skills
stocks	hard_skills
et	hard_skills
en	hard_skills
garantir	hard_skills
la	hard_skills
fiabilité	hard_skills
";"	O
Réceptionner	hard_skills
les	hard_skills
marchandises	hard_skills
et	hard_skills
effectuer	hard_skills
le	hard_skills
réassort	hard_skills
.	O
3	hard_skills
/	O
Mettre	hard_skills
en	hard_skills
avant	hard_skills
nos	hard_skills
collections	hard_skills
à	hard_skills
travers	hard_skills
un	hard_skills
visuel	hard_skills
merchandising	hard_skills
inspirant	hard_skills
:	O
Réaliser	hard_skills
le	hard_skills
visuel	hard_skills
merchandising	hard_skills
dans	hard_skills
le	hard_skills
respect	hard_skills
des	hard_skills
directives	hard_skills
de	hard_skills
notre	hard_skills
Maison	hard_skills
";"	O
Veillez	hard_skills
à	hard_skills
la	hard_skills
bonne	hard_skills
tenue	hard_skills
de	hard_skills
point	hard_skills
de	hard_skills
vente	hard_skills
.	O
Profil	O
recherché	O
De	experience
formation	experience
commerciale	experience
Bac	experience
à	experience
Bac	experience
2	experience
,	O
vous	experience
justifiez	experience
d'une	experience
première	experience
expérience	experience
dans	experience
la	experience
vente	experience
,	O
idéalement	experience
dans	experience
le	experience
secteur	experience
du	experience
prêt	experience
à	experience
porter	experience
ou	experience
du	experience
service	experience
haut	experience
de	experience
gamme	experience
.	O
Passionné	soft_skills
par	soft_skills
la	soft_skills
mode	soft_skills
,	O
vous	soft_skills
disposez	soft_skills
d'une	soft_skills
forte	soft_skills
sensibilité	soft_skills
produit	soft_skills
et	soft_skills
avez	soft_skills
de	soft_skills
bonnes	soft_skills
connaissances	soft_skills
du	soft_skills
secteur	soft_skills
et	soft_skills
de	soft_skills
ses	soft_skills
tendances	soft_skills
.	O
D'un	soft_skills
tempérament	soft_skills
commercial	soft_skills
développé	soft_skills
,	O
vous	soft_skills
avez	soft_skills
la	soft_skills
culture	soft_skills
du	soft_skills
résultat	soft_skills
et	soft_skills
le	soft_skills
goût	soft_skills
du	soft_skills
travail	soft_skills
en	soft_skills
équipe	soft_skills
.	O
La	hard_skills
maîtrise	hard_skills
du	hard_skills
pack	hard_skills
Office	hard_skills
et	hard_skills
de	hard_skills
l'anglais	hard_skills
est	hard_skills
fortement	hard_skills
appréciée	hard_skills
.	O
La	hard_skills
pratique	hard_skills
d'une	hard_skills
autre	hard_skills
langue	hard_skills
constituerait	hard_skills
un	hard_skills
véritable	hard_skills
atout	hard_skills
-LRB-	O
mandarin	hard_skills
,	O
arabe	hard_skills
littéraire	hard_skills
,	O
russe	hard_skills
-RRB-	O
.	O
Type	O
d'emploi	O
:	O
Temps	contrat_type
partiel	contrat_type
Localisation	O
du	O
poste	O
:	O
Caen	city
Expérience	O
exigée	O
:	O
vente	experience
:	O
1	experience
an	experience
