Esthéticienne	position
à	O
temps	O
partiel	O
VILLA	company
MARIE	company
PAULINE	company
-	O
Paris	localisation
8e	localisation
-LRB-	O
75	O
-RRB-	O
Temps	O
partiel	O
Nous	O
recherchons	O
une	O
esthéticienne	O
-LRB-	O
H/F	O
-RRB-	O
à	O
temps	O
partiel	O
-LRB-	O
20h	O
-RRB-	O
en	O
CDI	O
.	O
Minimum	O
5	experience
ans	experience
d'expérience	O
en	O
Institut	O
.	O
Compétences	O
souhaitées	O
:	O
toutes	O
épilation	hard_skills
,	O
soins	hard_skills
du	hard_skills
visage	hard_skills
,	O
soins	O
du	O
corps	hard_skills
,	O
manucure	hard_skills
et	O
beauté	O
des	O
pieds.	O
Dynamique	soft_skills
,	O
souriante	soft_skills
,	O
excellente	O
présentation	soft_skills
et	O
à	O
l'écoute	O
de	O
la	O
clientèle	O
seront	O
vos	O
points	O
forts	O
.	O
Venez	O
rejoindre	O
notre	O
équipe	O
à	O
taille	O
humaine	O
située	O
dans	O
les	O
beaux	O
quartiers	O
de	O
Paris	O
.	O
Anglais	hard_skills
souhaité	O
Type	O
d'emploi	O
:	O
Temps	O
partiel	O
Localisation	O
du	O
poste	O
:	O
75008	postal_code
Paris	O
8e	O
Expérience	O
exigée	O
:	O
Esthétique	O
:	O
3	experience
ans	experience
Langue	O
exigée	O
:	O
anglais	hard_skills
Certificat	O
ou	O
accréditation	O
exigés	O
:	O
CAP	experience
ESTHETIQUE	experience
