Serveur	position
H/F	O
CDI	O
Temps	O
partiel	O
Boulettes	company
Chef	company
Comptoir	company
75002	postal_code
-	O
Paris	city
-LRB-	O
75	O
-RRB-	O
9,52	salary
$	salary
par	O
heure	O
-	O
Temps	contract_type
partiel	contract_type
Employé	O
polyvalent	O
,	O
chargé	O
autant	O
de	O
l'accueil	O
des	O
clients	O
,	O
que	O
de	O
conseil	O
,	O
vous	O
veillez	O
à	O
leur	O
satisfaction	O
durant	O
leur	O
repas	O
,	O
débarrasser	O
et	O
redresser	O
les	O
tables	O
afin	O
de	O
permettre	O
un	O
second	O
service	O
.	O
Vous	O
assurez	O
l'entretient	O
des	O
lieux	O
.	O
Vous	O
êtes	O
étudiant	experience
et	O
recherchez	O
un	O
revenu	O
complémentaire	O
pendant	O
l'année	O
scolaire	O
2017-2018	O
.	O
Vous	O
êtes	O
disponible	O
entre	O
12h	O
et	O
15h	O
du	O
lundi	O
au	O
vendredi	O
ou	O
samedi	O
.	O
Vous	O
êtes	O
autonome	soft_skills
et	O
sérieux	soft_skills
,	O
le	O
garant	O
de	O
l'image	O
de	O
marque	O
du	O
restaurant	O
,	O
l'interlocuteur	O
privilégié	O
de	O
la	O
clientèle	O
,	O
toujours	O
courtois	soft_skills
et	O
souriant	soft_skills
,	O
aux	O
qualités	O
relationnelles	O
et	O
à	O
la	O
présentation	O
excellente	O
.	O
La	O
maitrise	O
de	O
l'anglais	O
sera	O
un	O
atout	O
de	O
poids	O
.	O
Type	O
d'emploi	O
:	O
Temps	O
partiel	O
/	O
CDI	O
Salaire	O
:	O
9,52	O
$	O
/	O
heure	O
Type	O
d'emploi	O
:	O
Temps	O
partiel	O
Salaire	O
:	O
9,52	O
$	O
/	O
heure	O
