Vendeur	position
en	O
Temps	O
partiel	O
Samedi	O
et	O
Dimanche	O
-LRB-	O
H/F	O
-RRB-	O
Maison	company
Kayser	company
PARIS	company
-	O
Paris	localisation
12e	localisation
-LRB-	O
75	O
-RRB-	O
Temps	contract_type
partiel	contract_type
,	O
CDI	O
La	O
Maison	O
Kayser	O
,	O
renommée	O
depuis	O
1996	O
pour	O
la	O
qualité	O
de	O
ses	O
produits	O
,	O
pains	O
et	O
pâtisseries	O
fines	O
,	O
regroupe	O
aujourd	O
'	O
hui	O
plus	O
de	O
23	O
boutiques	O
sur	O
Paris	O
.	O
Précurseur	O
de	O
tendances	O
,	O
Eric	O
Kayser	O
a	O
créé	O
des	O
lieux	O
inédits	O
et	O
de	O
nouveaux	O
codes	O
gastronomiques	O
.	O
Dans	O
le	O
cadre	O
de	O
son	O
fort	O
développement	O
,	O
nous	O
recrutons	O
en	O
CDI	O
des	O
:	O
VENDEURS	O
TEMPS	O
PARTIEL	O
H/F	O
En	O
relation	O
directe	O
avec	O
le	O
Responsable	O
de	O
Magasin	O
et	O
son	O
Adjoint	O
,	O
vos	O
missions	O
seront	O
:	O
1	O
/	O
Vente	O
-	O
Accueillir	O
la	O
clientèle	O
selon	O
les	O
standards	O
de	O
la	O
Maison	O
-	O
Mettre	O
en	O
œuvre	O
les	O
techniques	O
de	O
vente	O
de	O
la	O
Maison	O
-	O
Répondre	O
aux	O
besoins	O
de	O
la	O
clientèle	O
-	O
Présenter	O
les	O
produits	O
et	O
conseiller	O
la	O
clientèle	O
-	O
Développer	O
les	O
ventes	O
en	O
étant	O
force	O
de	O
proposition	O
-	O
Gérer	O
les	O
opérations	O
d'encaissement	O
2	O
/	O
Exploitation	O
-	O
Garantir	O
l'image	O
,	O
la	O
qualité	O
des	O
produits	O
et	O
de	O
l'accueil	O
-	O
Connaître	O
et	O
mettre	O
en	O
valeur	O
les	O
produits	O
de	O
la	O
Maison	O
-	O
Réassortir	O
les	O
produits	O
en	O
boutique	O
,	O
-	O
Réaliser	O
le	O
nettoyage	O
de	O
la	O
boutique	O
3	O
*	O
*	O
/	O
Hygiène	O
--	O
sécurité	O
-	O
Respecter	O
et	O
garantir	O
les	O
règles	O
d'hygiène	O
et	O
de	O
sécurité	O
Profil	O
Vous	O
êtes	O
de	O
nature	O
dynamique	soft_skills
,	O
souriante	soft_skills
,	O
rigoureuse	soft_skills
avec	O
un	O
sens	O
du	O
relationnel	O
très	O
développé	O
alors	O
venez	O
rejoindre	O
un	O
groupe	O
en	O
pleine	O
croissance	O
pour	O
vous	O
investir	O
dans	O
une	O
mission	O
passionnante	O
.	O
Bonne	O
présentation	O
et	O
bonne	O
élocution	O
indispensables	O
.	O
Poste	O
à	O
pourvoir	O
en	O
CDI	O
TEMPS	O
PARTIEL	O
:	O
Samedi	O
et	O
dimanche	O
:	O
12h30	O
-	O
22h00	O
Type	O
d'emploi	O
:	O
CDI	O
