Paysagiste	position
-LRB-	O
h/f	O
-RRB-	O
ATRIA	company
Conseil	company
-	O
Vienne	city
-LRB-	O
38	code_postal
-RRB-	O
1	salary
700	salary
$	salary
-	O
2	salary
500	salary
$	salary
par	salary
mois	salary
-	O
CDI	contrat_type
Vous	hard_skills
travaillerez	hard_skills
dans	hard_skills
une	hard_skills
société	hard_skills
familiale	hard_skills
et	hard_skills
très	hard_skills
dynamique	hard_skills
de	hard_skills
23	hard_skills
salariés	hard_skills
ayant	hard_skills
des	hard_skills
double	hard_skills
ou	hard_skills
triple	hard_skills
compétence	hard_skills
-LRB-	O
maçonnerie	hard_skills
paysagère	hard_skills
+	O
horticulture	hard_skills
+	O
entretien	hard_skills
espace	hard_skills
vert	hard_skills
-RRB-	O
Vous	O
serez	O
sélectionné	O
même	O
si	O
vous	O
n'avez	O
qu'une	O
seule	O
de	O
ces	O
3	O
compétences	O
.	O
Ce	O
qui	O
fera	O
votre	O
force	O
sera	O
votre	soft_skills
motivation	soft_skills
et	soft_skills
votre	soft_skills
capacité	soft_skills
à	soft_skills
apprendre	soft_skills
des	soft_skills
autres	soft_skills
.	O
Type	O
d'emploi	O
:	O
CDI	contrat_type
Salaire	O
:	O
1	salary
700	salary
$	salary
à	O
2	salary
500	salary
$	salary
/	O
mois	salary
Expérience	O
exigée	O
:	O
Taille	experience
tonte	experience
ou	O
création	experience
:	O
4	experience
ans	experience
