Fleuriste	position
-LRB-	O
H/F	O
-RRB-	O
LES	company
JARDINS	company
D'ILHAN	company
-	O
Paris	localisation
12e	localisation
-LRB-	O
75	O
-RRB-	O
1	salary
890	salary
$	O
par	O
mois	O
Recherche	O
fleuriste	O
qualifié	O
-LRB-	O
e	O
-RRB-	O
,	O
avec	O
expérience	O
sachant	O
réaliser	O
bouquet	hard_skills
rond	hard_skills
et	O
compositions	hard_skills
florales	hard_skills
.	O
Préparation	O
des	O
commandes	O
.	O
Accueil	O
et	O
ventes	O
à	O
la	O
clientèle	O
.	O
Type	O
de	O
contrat	O
CDI	contract_type
Secteur	O
d'activité	O
Commerce/Distribution	O
Fonction	O
Ouvrier/Artisan	O
Expérience	O
2	experience
à	experience
5	experience
ans	experience
Type	O
d'emploi	O
:	O
Temps	O
plein	O
Salaire	O
:	O
1	O
890	O
$	O
/	O
mois	O
Expérience	O
exigée	O
:	O
poste	O
similaire	O
:	O
2	O
ans	O
