Vendeur	position
-LRB-	O
h/f	O
-RRB-	O
-	O
Caen	localisation
-	O
CDI	contract_type
Temps	O
Partiel	O
THE	company
KOOPLES	c
-	O
Caen	O
-LRB-	O
14	O
-RRB-	O
Temps	O
partiel	O
Description	O
du	O
poste	O
Sous	O
la	O
direction	O
du	O
responsable	O
du	O
point	O
de	O
vente	O
,	O
vous	O
participez	O
à	O
la	O
réalisation	O
des	O
objectifs	O
commerciaux	O
de	O
la	O
boutique	O
.	O
Véritable	O
ambassadeur	O
de	O
la	O
Maison	O
The	O
Kooples	O
,	O
vos	O
missions	O
principales	O
seront	O
les	O
suivantes	O
:	O
1	O
/	O
Faire	O
vivre	O
à	O
nos	O
clients	O
l'expérience	O
unique	O
The	O
Kooples	O
:	O
Accueillir	O
et	O
accompagner	O
le	O
client	O
tout	O
au	O
long	O
de	O
son	O
parcours	O
shopping	O
en	O
assurant	O
un	O
service	O
personnalisé	O
";"	O
Conseiller	O
le	O
client	O
en	O
valorisant	O
notre	O
savoir-faire	O
traditionnel	O
et	O
les	O
caractéristiques	O
de	O
nos	O
produits	O
grâce	O
à	O
un	O
argumentaire	O
maîtrisé	O
";"	O
Fidéliser	O
et	O
garantir	O
la	O
satisfaction	O
de	O
notre	O
clientèle	O
.	O
2	O
/	O
Contribuer	O
au	O
développement	O
du	O
chiffre	O
d'affaires	O
de	O
votre	O
point	O
de	O
vente	O
:	O
Maitriser	O
et	O
optimiser	O
les	O
indicateurs	O
de	O
performance	O
";"	O
Assurer	O
le	O
suivi	O
des	O
stocks	O
et	O
en	O
garantir	O
la	O
fiabilité	O
";"	O
Réceptionner	O
les	O
marchandises	O
et	O
effectuer	O
le	O
réassort	O
.	O
3	O
/	O
Mettre	O
en	O
avant	O
nos	O
collections	O
à	O
travers	O
un	O
visuel	O
merchandising	O
inspirant	O
:	O
Réaliser	O
le	O
visuel	O
merchandising	O
dans	O
le	O
respect	O
des	O
directives	O
de	O
notre	O
Maison	O
";"	O
Veillez	O
à	O
la	O
bonne	O
tenue	O
de	O
point	O
de	O
vente	O
.	O
Profil	O
recherché	O
De	O
formation	O
commerciale	O
Bac	O
à	O
Bac	experience
2	experience
,	O
vous	O
justifiez	O
d'une	O
première	O
expérience	O
dans	O
la	O
vente	O
,	O
idéalement	O
dans	O
le	O
secteur	O
du	O
prêt	O
à	O
porter	O
ou	O
du	O
service	O
haut	O
de	O
gamme	O
.	O
Passionné	O
par	O
la	O
mode	O
,	O
vous	O
disposez	O
d'une	O
forte	O
sensibilité	O
produit	O
et	O
avez	O
de	O
bonnes	O
connaissances	O
du	O
secteur	O
et	O
de	O
ses	O
tendances	O
.	O
D'un	O
tempérament	O
commercial	O
développé	O
,	O
vous	O
avez	O
la	O
culture	O
du	O
résultat	O
et	O
le	O
goût	O
du	O
travail	O
en	O
équipe	O
.	O
La	O
maîtrise	O
du	O
pack	hard_skills
Office	O
et	O
de	O
l'anglais	hard_skills
est	O
fortement	O
appréciée	O
.	O
La	O
pratique	O
d'une	O
autre	O
langue	O
constituerait	O
un	O
véritable	O
atout	O
-LRB-	O
mandarin	O
,	O
arabe	O
littéraire	O
,	O
russe	O
-RRB-	O
.	O
Type	O
d'emploi	O
:	O
Temps	O
partiel	O
Localisation	O
du	O
poste	O
:	O
Caen	O
Expérience	O
exigée	O
:	O
vente	O
:	O
1	experience
an	experience
