Magasinier	position
EARL	company
OF	company
SANDWICH	company
-	O
DISNEY	company
VILLAGE	company
-	O
Chessy	localisation
-LRB-	O
77	O
-RRB-	O
1	salary
480	salary
$	salary
par	O
mois	O
EARL	O
OF	O
SANDWICH	O
®	O
DISNEYLAND	O
PARIS	O
RECRUTE	O
URGENT	O
Nous	O
recherchons	O
afin	O
de	O
renforcer	O
les	O
équipes	O
de	O
notre	O
établissement	O
du	O
Disney	O
®	O
Village	O
-LRB-	O
à	O
côté	O
de	O
la	O
Montgolfière	O
-RRB-	O
des	O
:	O
>>	O
>	O
MAGASINIER	O
-LRB-	O
H/F	O
-RRB-	O
--	O
RECEPTION	O
DES	O
MARCHANDISES	O
<	O
CDI	contract_type
Temps	O
plein	O
-	O
35h	O
par	O
semaine	O
--	O
Débutant	O
-LRB-	O
e	O
-RRB-	O
accepté	O
-LRB-	O
e	O
-RRB-	O
La	O
mission	O
principale	O
qui	O
vous	O
sera	O
donnée	O
sur	O
ce	O
poste	O
sera	O
de	O
réceptionner	O
quotidiennement	O
nos	O
marchandises	O
Notre	O
enseigne	O
EARL	O
OF	O
SANDWICH	O
®	O
a	O
été	O
imaginée	O
par	O
un	O
descendant	O
direct	O
du	O
navigateur	O
et	O
inventeur	O
du	O
sandwich	O
,	O
John	O
Montagu	O
,	O
en	O
collaboration	O
avec	O
le	O
fondateur	O
des	O
restaurants	O
à	O
thèmes	O
Planet	O
Hollywood	O
®	O
.	O
Ils	O
ont	O
choisi	O
de	O
baser	O
notre	O
restaurant	O
au	O
sein	O
du	O
Disney	O
Village	O
à	O
proximité	O
immédiate	O
des	O
parcs	O
Disneyland	O
Paris	O
®	O
.	O
Profil	O
recherché	O
:	O
Autonome	soft_skills
Rapide	soft_skills
Esprit	soft_skills
d'équipe	soft_skills
Connaissance	O
des	O
règles	O
d'hygiènes	O
et	O
de	O
sécurité	O
Savoir	O
travailler	O
en	O
utilisant	O
les	O
bons	O
gestes	O
et	O
postures	O
Vous	O
serez	O
amené	O
-LRB-	O
e	O
-RRB-	O
à	O
débuter	O
votre	O
travail	O
dans	O
l'entreprise	O
à	O
partir	O
de	O
06h00	O
du	O
matin	O
et	O
devrez	O
donc	O
être	O
en	O
capacité	O
de	O
vous	O
déplacer	O
vers	O
notre	O
restaurant	O
en	O
toute	O
autonomie	O
pour	O
pouvoir	O
être	O
ponctuel	O
.	O
Envoyez-nous	O
votre	O
CV	O
et	O
votre	O
lettre	O
de	O
motivation	O
et	O
venez	O
participer	O
avec	O
nous	O
à	O
la	O
création	O
du	O
meilleur	O
sandwich	O
chaud	O
du	O
monde	O
!!!	O
Vous	O
pouvez	O
aussi	O
passez	O
nous	O
voir	O
directement	O
au	O
restaurant	O
.	O
Dans	O
ce	O
cas	O
,	O
demandez	O
à	O
rencontrer	O
un	O
Manager	O
.	O
Stock	O
marchandise	O
cariste	O
transpalette	O
chariot	O
rangement	O
bon	O
de	O
livraison	O
bl	O
réception	O
matière	O
première	O
produits	O
frais	O
chambre	O
froide	O
respect	O
de	O
la	O
chaîne	O
du	O
froid	O
Equipière	O
polyvalente	O
Equipier	O
polyvalent	O
Cuisine	O
Préparation	O
Homme	O
Femme	O
Fast	O
food	O
creation	O
production	O
cuisinier	O
cuisinière	O
Type	O
d'emploi	O
:	O
Temps	O
plein	O
Salaire	O
:	O
1	O
480,27	O
$	O
/	O
mois	O
Localisation	O
du	O
poste	O
:	O
Chessy	O
-LRB-	O
77	O
-RRB-	O
