Technico-Commercial	position
-LRB-	O
H/F	O
-RRB-	O
--	O
Ouest	company
Praxion	company
-	O
Nantes	city
-LRB-	O
44	postal_code
-RRB-	O
50	salary
0	salary
$	salary
-	O
60	salary
0	salary
$	salary
par	salary
an	salary
-	O
CDI	contrat_type
Depuis	O
plus	O
de	O
15	O
ans	O
auprès	O
des	O
distributeurs	O
et	O
centrales	O
d'achats	O
pour	O
les	O
professionnels	O
des	O
réseaux	O
plomberie	O
,	O
chauffage	O
,	O
irrigation	O
...	O
.	O
cette	O
filiale	O
d'un	O
industriel	O
européen	O
commercialise	O
en	O
France	O
les	O
produits	O
et	O
composants	O
issus	O
de	O
4	O
usines	O
spécialisées	O
dans	O
le	O
travail	O
des	O
métaux	O
non	O
ferreux	O
et	O
dans	O
la	O
plasturgie	O
.	O
Fabricant	O
à	O
capitaux	O
familiaux	O
et	O
de	O
taille	O
humaine	O
,	O
il	O
fait	O
preuve	O
d'innovations	O
,	O
maitrise	O
qualité	O
et	O
coûts	O
,	O
dispose	O
de	O
moyens	O
conséquents	O
.	O
Responsable	O
technico-commercial	O
de	O
la	O
zone	O
Ouest	O
,	O
vous	hard_skills
agissez	hard_skills
selon	hard_skills
un	hard_skills
plan	hard_skills
d'actions	hard_skills
que	hard_skills
vous	hard_skills
aurez	hard_skills
défini	hard_skills
.	O
Vous	hard_skills
donnez	hard_skills
l'envie	hard_skills
de	hard_skills
la	hard_skills
m	hard_skills
arque	hard_skills
,	O
conseillez	hard_skills
,	O
animez	hard_skills
,	O
formez	hard_skills
,	O
suivez	hard_skills
et	hard_skills
développez	hard_skills
la	hard_skills
clientèle	hard_skills
existante	hard_skills
,	O
prospectez	hard_skills
en	hard_skills
vue	hard_skills
d'augmenter	hard_skills
les	hard_skills
points	hard_skills
de	hard_skills
référencement	hard_skills
,	O
les	hard_skills
implantations	hard_skills
.	O
Une	soft_skills
forte	soft_skills
autonomie	soft_skills
,	O
peu	hard_skills
de	hard_skills
contraintes	hard_skills
administratives	hard_skills
,	O
de	hard_skills
forts	hard_skills
appuis	hard_skills
en	hard_skills
back-office	hard_skills
,	O
un	hard_skills
panel	hard_skills
clients	hard_skills
large	hard_skills
,	O
vous	hard_skills
pourrez	hard_skills
vous	hard_skills
consacrez	hard_skills
pleinement	hard_skills
au	hard_skills
métier	hard_skills
que	hard_skills
vous	hard_skills
aimez	hard_skills
:	O
commercer	hard_skills
.	O
Bien	hard_skills
évidemment	hard_skills
,	O
participation	hard_skills
active	hard_skills
à	hard_skills
la	hard_skills
veille	hard_skills
technique	hard_skills
et	hard_skills
marketing	hard_skills
,	O
au	hard_skills
commercial	hard_skills
de	hard_skills
toute	hard_skills
l'entreprise	hard_skills
.	O
A	experience
compter	experience
de	experience
3	experience
ans	experience
d'expérience	experience
et	experience
plus	experience
,	O
vous	O
habitez	O
le	O
secteur	O
Ouest	O
,	O
vous	soft_skills
savez	soft_skills
développer	soft_skills
une	soft_skills
activité	soft_skills
en	soft_skills
vous	soft_skills
fondant	soft_skills
sur	soft_skills
des	soft_skills
relations	soft_skills
de	soft_skills
confiance	soft_skills
et	soft_skills
des	soft_skills
efforts	soft_skills
à	soft_skills
moyens	soft_skills
termes	soft_skills
.	O
Vous	O
êtes	O
domicilié	O
dans	O
les	O
départements	O
14,72	O
,	O
17	O
...	O
Type	O
d'emploi	O
:	O
CDI	contrat_type
Salaire	O
:	O
50	salary
0	salary
$	salary
à	O
60	salary
0	salary
$	salary
/	O
an	salary
