Serveur	position
H/F	O
CDI	contrat_type
Temps	O
partiel	O
Boulettes	company
Chef	O
Comptoir	O
75002	O
-	O
Paris	city
-LRB-	O
75	code_postal
-RRB-	O
9,52	salary
$	salary
par	salary
heure	salary
-	O
Temps	O
partiel	O
Employé	hard_skills
polyvalent	hard_skills
,	O
chargé	hard_skills
autant	hard_skills
de	hard_skills
l'accueil	hard_skills
des	hard_skills
clients	hard_skills
,	O
que	hard_skills
de	hard_skills
conseil	hard_skills
,	O
vous	hard_skills
veillez	hard_skills
à	hard_skills
leur	hard_skills
satisfaction	hard_skills
durant	hard_skills
leur	hard_skills
repas	hard_skills
,	O
débarrasser	hard_skills
et	hard_skills
redresser	hard_skills
les	hard_skills
tables	hard_skills
afin	hard_skills
de	hard_skills
permettre	hard_skills
un	hard_skills
second	hard_skills
service	hard_skills
.	O
Vous	hard_skills
assurez	hard_skills
l'entretient	hard_skills
des	hard_skills
lieux	hard_skills
.	O
Vous	O
êtes	O
étudiant	O
et	O
recherchez	O
un	O
revenu	O
complémentaire	O
pendant	O
l'année	O
scolaire	O
2017-2018	O
.	O
Vous	soft_skills
êtes	soft_skills
disponible	soft_skills
entre	O
12h	O
et	O
15h	O
du	O
lundi	O
au	O
vendredi	O
ou	O
samedi	O
.	O
Vous	soft_skills
êtes	soft_skills
autonome	soft_skills
et	soft_skills
sérieux	soft_skills
,	O
le	soft_skills
garant	soft_skills
de	soft_skills
l'image	soft_skills
de	soft_skills
marque	soft_skills
du	soft_skills
restaurant	soft_skills
,	O
l'interlocuteur	soft_skills
privilégié	soft_skills
de	soft_skills
la	soft_skills
clientèle	soft_skills
,	O
toujours	soft_skills
courtois	soft_skills
et	soft_skills
souriant	soft_skills
,	O
aux	soft_skills
qualités	soft_skills
relationnelles	soft_skills
et	soft_skills
à	soft_skills
la	soft_skills
présentation	soft_skills
excellente	soft_skills
.	O
La	hard_skills
maitrise	hard_skills
de	hard_skills
l'anglais	hard_skills
sera	O
un	O
atout	O
de	O
poids	O
.	O
Type	O
d'emploi	O
:	O
Temps	O
partiel	O
/	O
CDI	contrat_type
Salaire	O
:	O
9,52	salary
$	salary
/	O
heure	salary
Type	O
d'emploi	O
:	O
Temps	O
partiel	O
Salaire	O
:	O
9,52	salary
$	salary
/	O
heure	salary
