TÉLÉCONSEILLER	position
VIVA	company
DOUCHE	company
-	O
Boulogne-Billancourt	localisation
-LRB-	O
92	O
-RRB-	O
19	salary
0	salary
$	salary
-	salary
24	salary
0	salary
$	salary
par	O
an	O
-	O
CDI	contract_type
Acteur	O
de	O
la	O
Silver	O
Economy	O
,	O
nous	O
sommes	O
spécialisés	O
dans	O
le	O
marché	O
en	O
plein	O
essor	O
de	O
l'aménagement	O
du	O
domicile	O
des	O
Seniors	O
.	O
Notre	O
croissance	O
soutenue	O
nous	O
amène	O
à	O
renforcer	O
nos	O
équipes	O
.	O
Ainsi	O
,	O
nous	O
recherchons	O
un	O
TELECONSEILLER	O
H/F	O
MISSIONS	O
:	O
traitement	O
des	O
contacts	O
entrant	O
et	O
prise	O
de	O
RDV	O
pour	O
les	O
commerciaux	O
suivi	O
des	O
dossiers	O
clients	O
gestion	O
des	O
plannings	O
,	O
gestion	O
des	O
stocks	O
facturation	O
appels	O
,	O
mails	O
et	O
courriers	O
divers	O
Développement	O
commercial	O
et	O
recherche	O
de	O
partenariats	O
...	O
COMPETENCES	O
ET	O
EXPERIENCE	O
:	O
Expérience	O
réussie	O
en	O
tant	O
que	O
téléconseiller	O
/	O
conseiller	O
clientèle	O
à	O
distance	O
/	O
prise	O
de	O
RDV	O
par	O
téléphone	O
Très	O
bonne	O
élocution	O
,	O
aisance	O
téléphonique	O
,	O
sens	O
du	O
service	O
client	O
Rigueur	soft_skills
,	O
organisation	soft_skills
et	O
autonomie	soft_skills
Goût	O
marqué	O
pour	O
le	O
challenge	O
commercial	O
et	O
la	O
performance	O
Maîtrise	O
des	O
outils	hard_skills
informatiques	hard_skills
La	O
connaissance	O
du	O
web	hard_skills
marketing	hard_skills
est	O
un	O
plus	O
Idéalement	O
de	O
niveau	O
Bac	experience
2	experience
en	O
Négociation	O
et	O
Relation	O
Client	O
ou	O
équivalent	O
Plus	O
qu'un	O
diplôme	O
,	O
ce	O
sont	O
surtout	O
vos	O
compétences	O
et	O
votre	O
expérience	O
qui	O
feront	O
la	O
différence	O
Formation	O
interne	O
assurée	O
Possibilité	O
d'évolution	O
Salaire	O
:	O
fixe	O
+	O
primes	O
Envoyer	O
CV	O
+	O
Photo	O
+	O
LM	O
par	O
mail	O
poste	O
à	O
pourvoir	O
dès	O
que	O
possible	O
--	O
assistante	O
administrative	O
et	O
commerciale	O
-	O
conseiller	O
clientèle	O
à	O
distance	O
-	O
chargé	O
de	O
clientèle	O
à	O
distance	O
-	O
assistante	O
commerciale	O
-	O
télévente	O
-	O
télévendeur	O
-	O
téléconseiller	O
-	O
téléconseillère	O
-	O
conseiller	O
clientèle	O
à	O
distance	O
-	O
téléacteur	O
-	O
téléactrice	O
-	O
chargé	O
Type	O
d'emploi	O
:	O
CDI	O
Salaire	O
:	O
19	O
0	O
$	O
à	O
24	O
0	O
$	O
/	O
an	O
Localisation	O
du	O
poste	O
:	O
92100	postal_code
Boulogne-Billancourt	O
Formation	O
-LRB-	O
s	O
-RRB-	O
exigée	O
-LRB-	O
s	O
-RRB-	O
:	O
DEUG	O
,	O
DUT	O
,	O
BTS	O
Expérience	O
exigée	O
:	O
assistante	O
administrative	O
et	O
commerciale	O
-	O
conseiller	O
client	O
:	O
1	experience
an	experience
