Animateur	position
Polyvalent	soft_skills
H/F	O
CDD	contract_type
fin	O
d'année	O
PLAYMOBIL	company
FUNPARK	company
-	O
Fresnes	city
-LRB-	O
94	postal_code
-RRB-	O
9,86	salary
$	salary
par	salary
heure	salary
Vous	O
êtes	O
passionné	soft_skills
-LRB-	O
e	soft_skills
-RRB-	O
par	soft_skills
l'univers	soft_skills
de	soft_skills
l'enfance	soft_skills
et	soft_skills
avez	soft_skills
le	soft_skills
sens	soft_skills
de	soft_skills
l'accueil	soft_skills
?	O
Intégrez	O
notre	O
équipe	O
d'animateurs	O
au	O
PLAYMOBIL	company
FunPark	company
!	O
Le	O
Playmobil	company
FunPark	company
,	O
c’est	O
la	O
salle	O
de	O
jeu	O
géante	O
avec	O
tous	O
les	O
PLAYMOBIL	company
!	O
Au	O
PLAYMOBIL	company
FunPark	company
,	O
les	O
enfants	O
accompagnés	O
de	O
leurs	O
parents	O
vont	O
pouvoir	O
jouer	O
et	O
s	O
'	O
émerveiller	O
dans	O
les	O
décors	O
géants	O
de	O
leurs	O
PLAYMOBIL	company
,	O
comme	O
le	O
château	O
de	O
princesse	O
ou	O
encore	O
celui	O
des	O
chevaliers	O
.	O
Ouvert	O
en	O
1999	O
,	O
le	O
Playmobil	company
FunPark	company
accueille	O
chaque	O
année	O
plus	O
de	O
350	O
0	O
visiteurs	O
.	O
Vous	O
aurez	O
à	O
cœur	O
d'accueillir	hard_skills
avec	hard_skills
enthousiasme	hard_skills
et	hard_skills
dynamisme	hard_skills
les	hard_skills
visiteurs	hard_skills
sur	hard_skills
notre	hard_skills
parc	hard_skills
.	O
Vous	O
animerez	hard_skills
les	hard_skills
différents	hard_skills
événements	hard_skills
ponctuels	hard_skills
organisés	hard_skills
sur	hard_skills
le	hard_skills
parc	hard_skills
et	hard_skills
les	hard_skills
anniversaires	hard_skills
en	hard_skills
favorisant	hard_skills
l'amusement	hard_skills
,	hard_skills
la	hard_skills
participation	hard_skills
de	hard_skills
nos	hard_skills
visiteurs	hard_skills
tout	hard_skills
en	hard_skills
assurant	hard_skills
la	hard_skills
sécurité	hard_skills
des	hard_skills
enfants	hard_skills
.	O
Vous	O
animerez	hard_skills
de	hard_skills
façon	hard_skills
conviviale	hard_skills
un	hard_skills
ou	hard_skills
plusieurs	hard_skills
espaces	hard_skills
de	hard_skills
jeux	hard_skills
:	hard_skills
Remise	hard_skills
en	hard_skills
état	hard_skills
des	hard_skills
aires	hard_skills
de	hard_skills
jeux	hard_skills
et	hard_skills
des	hard_skills
jouets	hard_skills
Playmobil	hard_skills
,	hard_skills
respect	hard_skills
des	hard_skills
règles	hard_skills
...	O
Vous	O
serez	hard_skills
également	hard_skills
amené	hard_skills
-LRB-	hard_skills
e	hard_skills
-RRB-	hard_skills
à	hard_skills
travailler	hard_skills
au	hard_skills
sein	hard_skills
de	hard_skills
nos	hard_skills
différents	hard_skills
services	hard_skills
-LRB-	hard_skills
Billetterie	hard_skills
,	hard_skills
caisse	hard_skills
,	hard_skills
cafétéria	hard_skills
,	hard_skills
boutique	hard_skills
Playmobil	hard_skills
,	O
...	O
-RRB-	O
Profil	O
:	O
Vous	O
avez	O
une	experience
expérience	experience
dans	experience
l'animation	experience
ou	experience
toute	experience
activité	experience
en	experience
lien	experience
avec	experience
un	experience
public	experience
d'enfants	experience
-LRB-	experience
Le	experience
BAFA	experience
est	O
un	O
plus	O
-RRB-	O
Vous	O
êtes	O
capable	soft_skills
de	soft_skills
créer	soft_skills
une	soft_skills
relation	soft_skills
de	soft_skills
divertissement	soft_skills
avec	soft_skills
le	soft_skills
public	soft_skills
et	soft_skills
vous	soft_skills
avez	soft_skills
l'esprit	soft_skills
d'équipe	soft_skills
Nous	O
recherchons	O
actuellement	O
des	O
contrats	O
saisonniers	O
à	O
temps	O
complet	O
pour	O
les	O
vacances	O
scolaires	O
de	O
fin	O
d'année	O
-LRB-	O
23/12/2017	O
au	O
07/01/2018	O
-RRB-	O
.	O
Alors	O
n'hésitez	O
plus	O
et	O
envoyez	O
nous	O
votre	O
CV	O
accompagné	O
d'une	O
lettre	O
de	O
motivation	O
avec	O
vos	O
disponibilités	O
.	O
Type	O
d'emploi	O
:	O
Temps	contract_type
plein	contract_type
Salaire	O
:	O
9,86	salary
$	salary
/	salary
heure	salary
