INVENTORISTE	position
-LRB-	O
H/F	O
-RRB-	O
CODISUD	company
-	O
Montpellier	localisation
-LRB-	O
34	O
-RRB-	O
19	salary
200	salary
$	salary
par	O
an	O
-	O
CDI	contract_type
Description	O
:	O
Gérer	O
des	O
opérations	O
d'inventaires	O
dans	O
le	O
cadre	O
de	O
contrôles	O
ou	O
cessions	O
de	O
magasins	O
de	O
la	O
société	O
-	O
Faire	O
des	O
opérations	O
de	O
saisie	O
à	O
l'aide	O
de	O
terminaux	O
-	O
S'assurer	O
de	O
la	O
fiabilité	O
et	O
de	O
la	O
qualité	O
de	O
l'inventaire	O
-	O
Représenter	O
la	O
société	O
auprès	O
des	O
gérants	O
-	O
Participer	O
ponctuellement	O
aux	O
opérations	O
de	O
remodling	O
en	O
magasins	O
Profil	O
du	O
candidat	O
:	O
-	O
Tempérament	O
commercial	O
,	O
aimant	O
le	O
contact	O
clients	O
-	O
Sens	O
de	O
la	O
gestion	O
des	O
priorités	O
et	O
de	O
l'organisation	O
-	O
Expérience	O
de	O
la	O
distribution	O
serait	O
en	O
plus	O
35	O
heures	O
-	O
mutuelle	O
entreprise	O
-	O
prime	O
de	O
vacances	O
-LRB-	O
selon	O
date	O
d'entrée	O
entreprise	O
-RRB-	O
-	O
Horaires	O
aménagés	O
en	O
fonction	O
des	O
impératifs	O
professionnels	O
-	O
Prévoir	O
nombreux	O
déplacements	O
-	O
véhicule	O
de	O
service	O
-	O
frais	O
de	O
déplacements	O
pris	O
en	O
charge	O
.	O
Type	O
d'emploi	O
:	O
CDI	O
Salaire	O
:	O
19	O
200	O
$	O
/	O
an	O
