Vendeur	position
H/F	O
-	O
35	O
H	O
Multimédia	O
Boulanger	O
Electroménager	O
et	O
Multimédia	O
-	O
Claye-Souilly	location
-LRB-	O
77	O
-RRB-	O
CDI	contract_type
Au	O
contact	O
permanent	O
du	O
client	O
,	O
tu	O
identifies	O
ses	O
besoins	O
et	O
lui	O
proposes	O
une	O
solution	O
complète	O
.	O
Ton	O
objectif	O
:	O
Satisfaire	O
chaque	O
client	O
!	O
Tu	O
gagnes	O
sa	O
confiance	O
en	O
l'aidant	O
à	O
bien	O
choisir	O
:	O
-	O
Tu	O
développes	O
les	O
ventes	O
de	O
ton	O
univers	O
``	O
produits	O
''	O
par	O
une	O
écoute	O
attentive	O
des	O
besoins	O
clients	O
,	O
un	O
conseil	O
personnalisé	O
et	O
la	O
consolidation	O
d'une	O
solution	O
optimale	O
.	O
-	O
Tu	O
maintiens	O
un	O
espace	O
de	O
vie	O
agréable	O
,	O
attractif	O
et	O
commercial	O
.	O
-	O
Tu	O
assures	O
la	O
satisfaction	O
durable	O
de	O
chaque	O
client	O
par	O
le	O
suivi	O
de	O
ses	O
ventes	O
:	O
livraisons	O
,	O
installations	O
,	O
suivi	O
téléphonique	O
...	O
Ton	O
Profil	O
:	O
De	O
formation	O
bac	O
à	O
Bac	O
2	O
,	O
tu	O
as	O
une	O
première	O
expérience	O
de	O
la	O
vente	experience
:	O
tu	O
es	O
généreux	O
dans	O
le	O
contact	O
humain	O
,	O
tu	O
aimes	O
rendre	O
service	O
et	O
trouver	O
des	O
solutions	O
astucieuses	O
.	O
Tu	O
es	O
passionné	O
par	O
les	O
produits	O
vendus	O
chez	O
Boulanger	O
.	O
Ce	O
qu'on	O
aime	O
chez	O
toi	O
:	O
naturellement	O
accrocheur	O
et	O
persuasif	soft_skills
,	O
tu	O
sais	O
écouter	soft_skills
et	O
convaincre	hard_skills
.	O
Type	O
d'emploi	O
:	O
CDI	O
