chef	position
de	o
réception	o
H/F	O
SARL	company
HOTEL	company
EDEN	company
-	O
Cannes	localisation
-LRB-	O
6	O
-RRB-	O
2	salary
300	salary
$	salary
par	O
mois	O
-	O
CDI	contract_type
L'EDEN	O
HOTEL	O
&	O
SPA	O
,	O
4	O
étoiles	O
à	O
Cannes	O
,	O
ville	O
phare	O
du	O
tourisme	O
français	O
-	O
117	O
chambres	O
,	O
un	O
restaurant	O
,	O
un	O
spa	O
et	O
5	O
salles	O
de	O
réunions	O
,	O
recrute	O
un	O
Chef	O
de	O
réception	O
/	O
Front	O
office	O
manager	O
H/F	O
Vous	O
êtes	O
animé	O
par	O
un	O
objectif	O
prioritaire	O
de	O
qualité	O
de	O
l'accueil	O
et	O
de	O
satisfaction	O
de	O
nos	O
clients	O
.	O
Vous	O
êtes	O
passionné	O
-LRB-	O
e	O
-RRB-	O
par	O
l'hôtellerie	O
et	O
possédé	O
une	O
expérience	O
en	O
hôtellerie	O
haut	O
de	O
gamme	O
.	O
Rattaché	O
-LRB-	O
e	O
-RRB-	O
à	O
la	O
Direction	O
,	O
vous	O
assurerez	O
notamment	O
les	O
missions	O
suivantes	O
:	O
-	O
Recrutement	O
,	O
Formation	O
et	O
Management	O
d'une	O
équipe	O
de	O
8	O
personnes	O
en	O
saison	O
-	O
Organisation	O
du	O
travail	O
,	O
élaboration	O
du	O
planning	O
de	O
personnel	O
-	O
Supervision	O
et	O
coordination	O
de	O
l'ensemble	O
des	O
opérations	O
quotidiennes	O
de	O
la	O
réception	O
-	O
Création	O
,	O
mise	O
en	O
œuvre	O
et	O
suivi	O
des	O
procédures	O
de	O
votre	O
service	O
-	O
Optimisation	O
du	O
chiffre	O
d'affaires	O
en	O
lien	O
avec	O
la	O
Direction	O
commerciale	O
PROFIL	O
RECHERCHE	O
:	O
Issue	O
d'une	O
formation	O
hôtelière	categoty
au	O
minimum	O
BAC	experience
2	experience
,	O
vous	O
avez	O
une	O
expérience	O
significative	O
d'au	O
moins	O
2	experience
ans	experience
dans	O
un	O
poste	O
d'encadrement	O
en	O
réception	O
d'une	O
équipe	O
d'un	O
hôtel	O
de	O
moyenne	O
à	O
grosse	O
capacité	O
.	O
Vous	O
avez	O
de	O
réelles	O
aptitudes	O
au	O
management	hard_skills
.	O
D'excellente	soft_skills
présentation	soft_skills
,	O
vous	O
êtes	O
dynamique	soft_skills
,	O
perfectionniste	soft_skills
,	O
rigoureux	soft_skills
.	O
Vous	O
faites	O
preuve	O
d'aisance	O
relationnelle	O
et	O
vous	O
êtes	O
fortement	O
orientée	O
vers	O
la	O
satisfaction	O
client	O
.	O
Vous	O
vous	O
exprimez	O
parfaitement	O
en	O
anglais	hard_skills
à	O
l'oral	O
et	O
à	O
l'écrit	O
et	O
idéalement	O
vous	O
pratiquez	O
l'italien	O
.	O
Vous	O
maitrisez	O
l'outil	O
informatique	hard_skills
et	O
différents	O
logiciels	O
hôteliers	O
.	O
La	O
connaissance	O
de	O
Protel	O
serait	O
un	O
plus	O
.	O
Vous	O
êtes	O
extrêmement	O
motivé	O
pour	O
vous	O
investir	O
dans	O
un	O
projet	O
visant	O
à	O
tirer	O
vers	O
le	O
haut	O
la	O
qualité	O
de	O
l'accueil	O
réservée	O
à	O
notre	O
clientèle	O
.	O
CONDITIONS	O
:	O
Contrat	O
à	O
durée	O
indéterminée	O
Mutuelle	O
prise	O
en	O
charge	O
à	O
100	O
%	O
par	O
l'entreprise	O
Statut	O
:	O
Agent	O
de	O
maîtrise	O
Durée	O
du	O
travail	O
:	O
39	O
heures	O
par	O
semaine	O
Rémunération	O
Brute	O
:	O
2300	O
Euros	O
par	O
mois	O
Poste	O
à	O
pourvoir	O
courant	O
novembre	O
Type	O
d'emploi	O
:	O
CDI	O
Type	O
d'emploi	O
:	O
CDI	O
Langue	O
exigée	O
:	O
anglais	O
