Automaticien	position
H/F	O
ETS	company
REVERDY	company
-	O
Chassant	city
-LRB-	O
28	postal_code
-RRB-	O
35	salary
0	salary
$	salary
-	salary
42	salary
0	salary
$	salary
par	salary
an	salary
-	O
CDI	contract_type
Au	O
sein	O
du	O
bureau	O
d'études	O
,	O
vous	O
êtes	O
en	O
charge	hard_skills
de	hard_skills
l'automatisme	hard_skills
et	hard_skills
de	hard_skills
la	hard_skills
programmation	hard_skills
des	hard_skills
machines	hard_skills
et	hard_skills
des	hard_skills
schémas	hard_skills
électriques	hard_skills
.	O
Vos	O
missions	O
seront	O
les	O
suivantes	O
:	O
-	O
Analyse	hard_skills
fonctionnelle	hard_skills
à	hard_skills
partir	hard_skills
d'un	hard_skills
CDC	hard_skills
-	hard_skills
Réalisation	hard_skills
et/ou	hard_skills
modification	hard_skills
des	hard_skills
programmes	hard_skills
automates	hard_skills
-	hard_skills
Réalisation	hard_skills
des	hard_skills
essais	hard_skills
,	hard_skills
de	hard_skills
la	hard_skills
mise	hard_skills
au	hard_skills
point	hard_skills
et	hard_skills
de	hard_skills
la	hard_skills
mise	hard_skills
en	hard_skills
services	hard_skills
des	hard_skills
machines	hard_skills
-	hard_skills
Assistance	hard_skills
des	hard_skills
utilisateurs	hard_skills
lors	hard_skills
de	hard_skills
la	hard_skills
prise	hard_skills
en	hard_skills
main	hard_skills
Vous	O
pourriez	O
également	O
avoir	O
à	O
intervenir	hard_skills
en	hard_skills
électricité	hard_skills
,	hard_skills
en	hard_skills
réglage	hard_skills
de	hard_skills
mise	hard_skills
en	hard_skills
service	hard_skills
des	hard_skills
dispositifs	hard_skills
et	hard_skills
instruments	hard_skills
commandés	hard_skills
-LRB-	O
vérin	hard_skills
,	hard_skills
moteur	hard_skills
,	hard_skills
distribution	hard_skills
,	hard_skills
capteurs	hard_skills
,	hard_skills
régulateurs	hard_skills
,	O
...	O
-RRB-	O
.	O
Pour	O
ce	O
poste	O
vous	O
devez	O
être	O
issu	O
d'une	O
formation	O
BAC	experience
2	experience
minimum	experience
en	experience
``	experience
Automatismes	experience
Industriels	experience
''	experience
et	O
disposez	O
d'une	O
expérience	O
de	experience
5	experience
ans	experience
minimum	experience
dans	experience
le	experience
domaine	experience
de	experience
la	experience
machine	experience
spéciale	experience
.	O
La	O
connaissance	hard_skills
des	hard_skills
automates	hard_skills
et	hard_skills
interfaces	hard_skills
de	hard_skills
programmation	hard_skills
suivantes	O
est	O
nécessaire	O
:	O
-	O
Siemens	hard_skills
,	O
Shneider	hard_skills
,	O
Rockwelle	hard_skills
et	O
Proface	hard_skills
Ce	O
poste	O
nécessite	O
de	O
l'autonomie	soft_skills
de	O
la	O
polyvalent	soft_skills
et	O
une	O
aisance	soft_skills
relationnelle	soft_skills
.	O
Type	O
d'emploi	O
:	O
CDI	company
Salaire	O
:	O
35	salary
0	salary
$	salary
à	salary
42	salary
0	salary
$	salary
/	salary
an	salary
