Pâtissier	position
H/F	O
LE	company
FOURNIL	company
DE	company
SALON	company
-	O
Salon-de-Provence	city
-LRB-	O
13	postal_code
-RRB-	O
2	salary
400	salary
$	salary
-	O
2	salary
600	salary
$	salary
par	salary
mois	salary
-	O
CDI	contrat_type
Assurer	hard_skills
la	hard_skills
confection	hard_skills
de	hard_skills
l'ensemble	hard_skills
des	hard_skills
pâtisseries	hard_skills
,	O
viennoiseries	hard_skills
,	O
tarteries	hard_skills
-LRB-	O
quiches	hard_skills
,	O
pizzas	hard_skills
et	hard_skills
autres	hard_skills
feuilletés	hard_skills
-RRB-	O
.	O
Assurer	hard_skills
le	hard_skills
nettoyage	hard_skills
du	hard_skills
laboratoire	hard_skills
.	O
Passer	hard_skills
les	hard_skills
commandes	hard_skills
,	O
contrôler	hard_skills
les	hard_skills
stocks	hard_skills
et	hard_skills
les	hard_skills
bons	hard_skills
de	hard_skills
livraisons	hard_skills
CDI	contrat_type
42	O
H	O
hebdomadaire	O
Salaire	O
de	O
2400	salary
$	salary
à	O
2600	salary
$	salary
Brut	salary
à	O
négocier	O
selon	O
expérience	O
Contact	O
:	O
06/12/1936	O
/	O
85/61	O
Type	O
d'emploi	O
:	O
CDI	contrat_type
Salaire	O
:	O
2	salary
400	salary
$	salary
à	O
2	salary
600	salary
$	salary
/	O
mois	salary
Expérience	O
exigée	O
:	O
Boulangerie	experience
:	O
3	experience
ans	experience
