INVENTORISTE	position
-LRB-	O
H/F	O
-RRB-	O
CODISUD	company
-	O
Montpellier	city
-LRB-	O
34	postal_code
-RRB-	O
19	salary
200	salary
$	salary
par	salary
an	salary
-	O
CDI	contrat_type
Description	O
:	O
Gérer	hard_skills
des	hard_skills
opérations	hard_skills
d'inventaires	hard_skills
dans	hard_skills
le	hard_skills
cadre	hard_skills
de	hard_skills
contrôles	hard_skills
ou	hard_skills
cessions	hard_skills
de	hard_skills
magasins	hard_skills
de	hard_skills
la	hard_skills
société	hard_skills
-	O
Faire	hard_skills
des	hard_skills
opérations	hard_skills
de	hard_skills
saisie	hard_skills
à	hard_skills
l'aide	hard_skills
de	hard_skills
terminaux	hard_skills
-	O
S'assurer	hard_skills
de	hard_skills
la	hard_skills
fiabilité	hard_skills
et	hard_skills
de	hard_skills
la	hard_skills
qualité	hard_skills
de	hard_skills
l'inventaire	hard_skills
-	O
Représenter	hard_skills
la	hard_skills
société	hard_skills
auprès	hard_skills
des	hard_skills
gérants	hard_skills
-	O
Participer	hard_skills
ponctuellement	hard_skills
aux	hard_skills
opérations	hard_skills
de	hard_skills
remodling	hard_skills
en	hard_skills
magasins	hard_skills
Profil	O
du	O
candidat	O
:	O
-	O
Tempérament	soft_skills
commercial	soft_skills
,	O
aimant	soft_skills
le	soft_skills
contact	soft_skills
clients	soft_skills
-	O
Sens	soft_skills
de	soft_skills
la	soft_skills
gestion	soft_skills
des	soft_skills
priorités	soft_skills
et	soft_skills
de	soft_skills
l'organisation	soft_skills
-	O
Expérience	experience
de	experience
la	experience
distribution	experience
serait	experience
en	experience
plus	experience
35	O
heures	O
-	O
mutuelle	O
entreprise	O
-	O
prime	O
de	O
vacances	O
-LRB-	O
selon	O
date	O
d'entrée	O
entreprise	O
-RRB-	O
-	O
Horaires	O
aménagés	O
en	O
fonction	O
des	O
impératifs	O
professionnels	O
-	O
Prévoir	O
nombreux	O
déplacements	O
-	O
véhicule	O
de	O
service	O
-	O
frais	O
de	O
déplacements	O
pris	O
en	O
charge	O
.	O
Type	O
d'emploi	O
:	O
CDI	contrat_type
Salaire	O
:	O
19	salary
200	salary
$	salary
/	O
an	salary
