Pâtissier	position
H/F	O
Auberge	company
du	company
Poids	company
Public	company
-	O
Saint-Félix-Lauragais	localisation
-LRB-	O
31	O
-RRB-	O
1	salary
900	salary
$	salary
par	O
mois	O
-	O
CDI	contract_type
Bonjour	O
L'Auberge	O
du	O
Poids	O
Public	O
recherche	O
un	O
pâtissier	O
-LRB-	O
H/F	O
-RRB-	O
,	O
pour	O
compléter	O
son	O
équipe	O
en	O
cuisine	O
.	O
Diplômé	O
de	O
la	O
restauration	category
traditionnelle	O
et	O
gastronomique	O
ou	O
titulaire	O
de	O
compétences	O
en	O
pâtisserie	hard_skills
,	O
vous	O
assisterez	O
un	O
chef	O
pâtissier	O
pour	O
la	O
mise	O
en	O
place	O
du	O
poste	O
de	O
travail	O
,	O
l'envoi	O
et	O
le	O
dressage	O
des	O
desserts	O
à	O
l'assiette	O
dans	O
un	O
restaurant	O
gastronomique	O
.	O
Motivation	soft_skills
,	O
sérieux	soft_skills
,	O
rigueur	soft_skills
,	O
envie	O
d'apprendre	O
,	O
seront	O
des	O
qualités	O
indispensables	O
pour	O
le	O
-LRB-	O
la	O
-RRB-	O
candidat	O
-LRB-	O
e	O
-RRB-	O
.	O
Formation	O
au	O
poste	O
assurée	O
.	O
La	O
maitrise	O
des	O
règles	hard_skills
d'hygiène	hard_skills
et	O
de	O
HACCP	hard_skills
sont	O
également	O
indispensable	O
.	O
Poste	O
évolutif	O
avec	O
la	O
maitrise	O
et	O
l'ancienneté	O
.	O
Equipe	O
jeune	O
et	O
dynamique	O
dans	O
une	O
structure	O
familiale	O
,	O
rigueur	O
et	O
bonne	O
humeur	O
.	O
Au	O
plaisir	O
de	O
recevoir	O
vos	O
candidatures	O
.	O
Type	O
d'emploi	O
:	O
CDI	O
Salaire	O
:	O
1	O
900	O
$	O
/	O
mois	O
