Pâtissier	position
H/F	O
LE	company
PARFUM	company
DU	company
PAIN	company
-	O
Gières	localisation
-LRB-	O
38	O
-RRB-	O
1	O
747	O
$	O
par	O
mois	O
Vous	O
fabriquez	O
les	O
patisseries	O
pour	O
le	O
magasin	O
et	O
sur	O
commande	O
.	O
Vous	O
pouvez	O
avoir	O
un	O
peu	O
de	O
polyvalence	O
dans	O
l'établissement	O
.	O
Horaires	O
5h30	O
-	O
13h	O
du	O
mardi	O
au	O
samedi	O
et	O
le	O
dimanche	O
de	O
manière	O
occasionnelle	O
.	O
Prise	O
de	O
poste	O
le	O
1er	O
décembre	O
2017	O
.	O
CDI	contract_type
37.5	O
h	O
Expérience	O
souhaitée	O
,	O
2	experience
ans	experience
après	O
le	O
CAP	O
Type	O
d'emploi	O
:	O
Temps	O
plein	O
Salaire	O
:	O
1	salary
747	salary
$	salary
/	O
mois	O
Expérience	O
exigée	O
:	O
tant	O
que	O
patissier	O
qualifié	O
:	O
2	experience
ans	experience
