Ergothérapeute	position
-LRB-	O
H/F	O
-RRB-	O
ALLP	company
-	O
Lyon	city
8e	city
-LRB-	O
69	code_postal
-RRB-	O
1	salary
880	salary
$	salary
-	O
2	salary
0	salary
$	salary
par	salary
mois	salary
-	O
CDD	contrat_type
ALLP	company
SANTE	company
SOCIAL	company
a	O
pour	O
but	O
d'apporter	O
aux	O
patients	O
,	O
aux	O
usagers	O
et	O
leur	O
entourage	O
ainsi	O
qu'aux	O
soignants	O
des	O
prestations	O
concourant	O
au	O
maintien	O
de	O
leur	O
santé	O
dans	O
le	O
respect	O
des	O
normes	O
de	O
qualité	O
en	O
vigueur	O
dans	O
le	O
but	O
essentiel	O
de	O
pouvoir	O
quitter	O
les	O
structures	O
hospitalières	O
classiques	O
.	O
Prestation	O
:	O
Le	O
Service	O
d'accompagnement	O
médico-social	O
pour	O
adulte	O
handicapé	O
-LRB-	O
SAMSAH	O
-RRB-	O
,	O
le	O
service	O
Hospitalisation	O
à	O
domicile	O
pédiatrique	O
-LRB-	O
HAD	O
-RRB-	O
le	O
Service	O
d'évaluation	O
des	O
situations	O
complexes	O
-LRB-	O
SESCO	O
-RRB-	O
.	O
Au	O
sein	O
du	O
Service	O
d'Accompagnement	O
Médico-Social	O
pour	O
Adultes	O
Handicapés	O
-LRB-	O
SAMSAH	O
-RRB-	O
,	O
vous	hard_skills
réalisez	hard_skills
l'évaluation	hard_skills
et	hard_skills
l'analyse	hard_skills
des	hard_skills
incapacités	hard_skills
,	O
des	hard_skills
inconvénients	hard_skills
,	O
de	hard_skills
l'indépendance	hard_skills
et	hard_skills
de	hard_skills
l'autonomie	hard_skills
de	hard_skills
l'usager	hard_skills
pour	hard_skills
permettre	hard_skills
la	hard_skills
construction	hard_skills
du	hard_skills
projet	hard_skills
de	hard_skills
vie	hard_skills
.	O
Vous	hard_skills
recherchez	hard_skills
les	hard_skills
solutions	hard_skills
les	hard_skills
plus	hard_skills
adaptées	hard_skills
et	hard_skills
vous	hard_skills
réalisez	hard_skills
la	hard_skills
formation	hard_skills
des	hard_skills
professionnels	hard_skills
aux	hard_skills
techniques	hard_skills
nécessaires	hard_skills
.	O
Vous	hard_skills
mettez	hard_skills
en	hard_skills
œuvre	hard_skills
votre	hard_skills
plan	hard_skills
d'intervention	hard_skills
requis	hard_skills
à	hard_skills
la	hard_skills
récupération	hard_skills
et	hard_skills
l'adaptation	hard_skills
des	hard_skills
fonctions	hard_skills
physiques	hard_skills
et	hard_skills
cognitives	hard_skills
de	hard_skills
l'usager	hard_skills
dans	hard_skills
son	hard_skills
milieu	hard_skills
de	hard_skills
vie	hard_skills
.	O
Au	hard_skills
sein	hard_skills
d'une	hard_skills
équipe	hard_skills
pluridisciplinaire	hard_skills
,	O
vous	hard_skills
collaborez	hard_skills
et	hard_skills
transmettez	hard_skills
les	hard_skills
informations	hard_skills
aux	hard_skills
différents	hard_skills
intervenants	hard_skills
,	O
vous	hard_skills
participez	hard_skills
à	hard_skills
l'élaboration	hard_skills
et	hard_skills
au	hard_skills
développement	hard_skills
du	hard_skills
projet	hard_skills
individuel	hard_skills
de	hard_skills
l'usager	hard_skills
et	hard_skills
intervenez	hard_skills
dans	hard_skills
le	hard_skills
développement	hard_skills
du	hard_skills
service	hard_skills
.	O
CDD	contrat_type
de	O
5	O
mois	O
-LRB-	O
remplacement	O
congé	O
maternité	O
-RRB-	O
-	O
Temps	O
partiel	O
de	O
80	O
%	O
-	O
Permis	hard_skills
B	hard_skills
obligatoire	hard_skills
-	O
déplacement	hard_skills
quotidien	hard_skills
au	hard_skills
niveau	hard_skills
de	hard_skills
l'agglomération	hard_skills
Lyonnaise	hard_skills
Type	O
d'emploi	O
:	O
CDD	contrat_type
Salaire	O
:	O
1	salary
880	salary
$	salary
à	O
2	salary
0	salary
$	salary
/	O
mois	salary
