Assistant	O
-LRB-	O
e	O
-RRB-	O
PAO	O
et	O
production	O
print	O
PaperMint	O
-	O
Paris	city
-LRB-	O
75	O
-RRB-	O
Temps	O
partiel	O
PaperMint	company
est	O
une	O
jeune	O
marque	O
de	O
papier	O
peint	O
au	O
style	O
ludique	O
,	O
joyeux	O
et	O
coloré	O
.	O
Avec	O
ses	O
décors	O
graphiques	O
,	O
la	O
marque	O
offre	O
une	O
vision	O
moderne	O
et	O
dynamique	O
du	O
papier	O
peint	O
à	O
la	O
française	O
!	O
L'atelier	O
de	O
fabrication	O
est	O
basé	O
à	O
Paris	O
10e	O
.	O
Pour	O
en	O
savoir	O
plus	O
réf	O
compte	O
Instagram	O
Le	O
poste	O
:	O
Dans	O
le	O
cadre	O
de	O
son	O
développement	O
,	O
PaperMint	O
recrute	O
un	O
-LRB-	O
e	O
-RRB-	O
assistant	position
-LRB-	O
e	O
-RRB-	O
infographiste	position
/	O
PAO	O
également	O
chargé	O
-LRB-	O
e	O
-RRB-	O
de	O
production	O
print	O
.	O
Le	O
poste	O
est	O
proposé	O
dans	O
le	O
cadre	O
d'un	O
CDI	contract_type
mi-temps	O
Votre	O
mission	O
:	O
Vous	O
assisterez	O
le	O
responsable	O
de	O
production	O
.	O
Vous	O
travaillerez	O
sur	O
nos	O
outils	O
d'impression	O
-LRB-	O
traceur	O
numérique	O
et	O
le	O
plotter	O
-RRB-	O
après	O
une	O
formation	O
à	O
nos	O
technologies	O
.	O
Vous	O
interviendrez	O
sur	O
nos	O
décors	O
muraux	O
et	O
stickers	O
ainsi	O
que	O
sur	O
des	O
projets	O
sur-mesure	O
pour	O
nos	O
clients	O
.	O
Vos	O
activités	O
:	O
-	O
Réaliser	O
des	O
tests	O
et	O
des	O
démonstrations	O
clients	O
avec	O
préparation	O
et	O
retouches	O
de	O
fichiers	O
-	O
Concevoir	O
des	O
outils	O
de	O
communication	O
-LRB-	O
fiches	O
,	O
plans	O
de	O
pose	O
,	O
packaging	O
...	O
-RRB-	O
-	O
Concevoir	O
et	O
contrôler	O
des	O
fichiers	O
d'impression	O
-	O
Réaliser	O
des	O
découpes	O
vectorielles	O
-	O
Participer	O
à	O
la	O
production	O
-LRB-	O
impression	O
,	O
découpe	O
,	O
façonnage	O
-RRB-	O
et	O
à	O
la	O
préparation	O
des	O
commandes	O
Profil	O
recherché	O
:	O
-	O
Vous	O
avez	O
une	O
première	O
expérience	O
professionnelle	O
ou	O
un	O
stage	O
significatif	O
dans	O
le	O
domaine	O
de	O
l	O
infographisme	experience
-	O
Vous	O
maîtrisez	O
les	O
outils	O
de	O
la	O
suite	O
Adobe	experience
Print	experience
Vous	O
êtes	O
familier	O
de	O
l'univers	O
de	O
l'impression	O
Vous	O
avez	O
envie	O
de	O
participer	O
au	O
développement	O
d	O
une	O
petite	O
entreprise	O
,	O
Vous	O
êtes	O
autonome	soft_skills
,	O
investi	soft_skills
,	O
attentif	soft_skills
et	O
rigoureux	O
Rémunération	O
brute	O
:	O
Smic	salary
horaire	O
+	O
prime	O
de	O
résultat	O
Type	O
d'emploi	O
:	O
Temps	O
partiel	O
Formation	O
-LRB-	O
s	O
-RRB-	O
exigée	O
-LRB-	O
s	O
-RRB-	O
:	O
DEUG	O
,	O
DUT	O
,	O
BTS	O
Expérience	O
-LRB-	O
s	O
-RRB-	O
exigée	O
-LRB-	O
s	O
-RRB-	O
:	O
imprimerie	O
:	O
1	experience
an	experience
pao	O
:	O
1	O
an	O
