Audioprothésiste	position
Mutualité	company
Française	company
Nord	company
Pas-de-Calais	company
-	O
Valenciennes	localisation
-LRB-	O
59	O
-RRB-	O
Nous	O
recherchons	O
3	O
*	O
*	O
audioprothésistes	O
diplômés	O
H/F	O
en	O
CDI	O
à	O
temps	O
plein	O
pour	O
nos	O
centres	O
d'	O
AUDITION	O
MUTUALISTE	O
de	O
:	O
DOUAI	O
VALENCIENNES	O
MAUBEUGE	O
Vous	O
serez	O
autonome	O
dans	O
la	O
gestion	O
du	O
centre	O
et	O
dans	O
le	O
choix	O
des	O
appareils	O
.	O
Nous	O
vous	O
offrons	O
un	O
statut	O
de	O
cadre	O
salarié	O
au	O
sein	O
d'un	O
organisme	O
à	O
taille	O
humaine	O
:	O
rémunération	O
motivante	O
,	O
attribution	O
de	O
chèques	O
déjeuner	O
,	O
participation	O
de	O
l'employeur	O
à	O
la	O
mutuelle	O
,	O
prestations	O
du	O
Comité	O
d'entreprise	O
,	O
convention	O
collective	O
Mutualité	O
.	O
Débutant	O
accepté	O
.	O
Vous	O
pouvez	O
adresser	O
votre	O
candidature	O
-LRB-	O
lettre	O
de	O
motivation	O
et	O
CV	O
à	O
Gaëtan	O
Fournier	O
en	O
ligne	O
ou	O
au	O
320581840	O
.	O
Type	O
d'emploi	O
:	O
Temps	contract_type
plein	contract_type
