Automaticien	position
H/F	O
ETS	company
REVERDY	company
-	O
Chassant	city
-LRB-	O
28	postal_code
-RRB-	O
35	salary
0	salary
$	salary
-	O
42	salary
0	salary
$	salary
par	salary
an	salary
-	O
CDI	contrat_type
Au	O
sein	O
du	O
bureau	O
d'études	O
,	O
vous	hard_skills
êtes	hard_skills
en	hard_skills
charge	hard_skills
de	hard_skills
l'automatisme	hard_skills
et	hard_skills
de	hard_skills
la	hard_skills
programmation	hard_skills
des	hard_skills
machines	hard_skills
et	hard_skills
des	hard_skills
schémas	hard_skills
électriques	hard_skills
.	O
Vos	hard_skills
missions	hard_skills
seront	hard_skills
les	hard_skills
suivantes	hard_skills
:	O
-	O
Analyse	hard_skills
fonctionnelle	hard_skills
à	hard_skills
partir	hard_skills
d'un	hard_skills
CDC	hard_skills
-	hard_skills
Réalisation	hard_skills
et/ou	hard_skills
modification	hard_skills
des	hard_skills
programmes	hard_skills
automates	hard_skills
-	hard_skills
Réalisation	hard_skills
des	hard_skills
essais	hard_skills
,	hard_skills
de	hard_skills
la	hard_skills
mise	hard_skills
au	hard_skills
point	hard_skills
et	hard_skills
de	hard_skills
la	hard_skills
mise	hard_skills
en	hard_skills
services	hard_skills
des	hard_skills
machines	hard_skills
-	hard_skills
Assistance	hard_skills
des	hard_skills
utilisateurs	hard_skills
lors	hard_skills
de	hard_skills
la	hard_skills
prise	hard_skills
en	hard_skills
main	hard_skills
Vous	hard_skills
pourriez	hard_skills
également	hard_skills
avoir	hard_skills
à	hard_skills
intervenir	hard_skills
en	hard_skills
électricité	hard_skills
,	hard_skills
en	hard_skills
réglage	hard_skills
de	hard_skills
mise	hard_skills
en	hard_skills
service	hard_skills
des	hard_skills
dispositifs	hard_skills
et	hard_skills
instruments	hard_skills
commandés	hard_skills
-LRB-	O
vérin	hard_skills
,	O
moteur	hard_skills
,	O
distribution	hard_skills
,	O
capteurs	hard_skills
,	O
régulateurs	hard_skills
,	O
...	O
-RRB-	O
.	O
Pour	O
ce	O
poste	O
vous	experience
devez	experience
être	experience
issu	experience
d'une	experience
formation	experience
BAC	experience
2	experience
minimum	experience
en	experience
``	experience
Automatismes	experience
Industriels	experience
''	experience
et	experience
disposez	experience
d'une	experience
expérience	experience
de	experience
5	experience
ans	experience
minimum	experience
dans	experience
le	experience
domaine	experience
de	experience
la	experience
machine	experience
spéciale	experience
.	O
La	hard_skills
connaissance	hard_skills
des	hard_skills
automates	hard_skills
et	hard_skills
interfaces	hard_skills
de	hard_skills
programmation	hard_skills
suivantes	hard_skills
est	hard_skills
nécessaire	hard_skills
:	O
-	O
Siemens	hard_skills
,	O
Shneider	hard_skills
,	O
Rockwelle	hard_skills
et	hard_skills
Proface	hard_skills
Ce	O
poste	O
nécessite	O
de	O
l'autonomie	soft_skills
de	soft_skills
la	soft_skills
polyvalent	soft_skills
et	soft_skills
une	soft_skills
aisance	soft_skills
relationnelle	soft_skills
.	O
Type	O
d'emploi	O
:	O
CDI	contrat_type
Salaire	O
:	O
35	salary
0	salary
$	salary
à	O
42	salary
0	salary
$	salary
/	O
an	salary
