Egrothérateute	position
APAJH	company
YVELINES	company
FOYER	company
DES	company
REAUX	company
-	O
Élancourt	localisation
-LRB-	O
78	O
-RRB-	O
CDI	contract_type
L'APAJH	O
78	O
-	O
Foyer	O
d'Accueil	O
Médicalisé	O
des	O
Réaux	O
à	O
Élancourt	O
recherche	O
:	O
Un/Une	O
Ergothérapeute	O
diplômé	O
-LRB-	O
e	O
-RRB-	O
d'État	O
H/F	O
en	O
CDI	O
à	O
mi-temps	O
.	O
Le	O
Foyer	O
accueille	O
33	O
adultes	O
polyhandicapés.Vous	O
intégrerez	O
l'équipe	O
pluridisciplinaire	O
du	O
foyer	O
en	O
qualité	O
d'ergothérapeute	O
.	O
Vous	O
interviendrez	O
en	O
lien	O
avecl	O
'	O
équipe	O
de	O
soins	O
et	O
les	O
équipes	O
d'encadrement	O
direct.Vous	O
apporterez	O
un	O
regard	O
sur	O
les	O
compensations	O
visant	O
l'amélioration	O
de	O
la	O
qualité	O
de	O
vie	O
ainsi	O
que	O
le	O
maintien	O
et	O
le	O
développement	O
de	O
l'autonomie	O
des	O
résidents.Vous	O
proposerez	O
les	O
outils	O
techniques	O
nécessaires	O
au	O
bien-être	O
et	O
à	O
la	O
sécurité	O
des	O
résidents	O
et	O
assurerez	O
évaluationde	O
l'utilisation	O
de	O
ces	O
outils	O
.0.50	O
ETP	O
,	O
CDI	O
,	O
salaire	O
selon	O
la	O
CCN	O
1966	O
Merci	O
d'adresser	O
votre	O
candidature	O
à	O
l'adresse	O
suivante	O
:	O
Mme	O
Isabelle	O
ALEXANDRE	O
-	O
Directrice	O
Foyer	O
des	O
Réaux	O
1	O
rue	O
Simone	O
de	O
Beauvoir	O
78990	postal_code
Elancourt	O
Type	O
d'emploi	O
:	O
CDI	O
