Graphiste/Illustrateur	position
H/F	O
FNAC	company
SA	company
-	O
Paris	localisation
1er	localisation
-LRB-	O
75	O
-RRB-	O
1	salary
700	salary
$	salary
-	salary
2	salary
0	salary
$	salary
par	O
mois	O
-	O
CDD	contract_type
Entité	O
de	O
rattachement	O
Envie	O
de	O
challenge	O
?	O
Intégrez	O
une	O
entreprise	O
innovante	O
:	O
rejoignez	O
le	O
groupe	O
Fnac	O
,	O
leader	O
sur	O
ses	O
marchés	O
avec	O
3,9	O
milliards	O
de	O
CA	O
,	O
199	O
magasins	O
présents	O
dans	O
8	O
pays	O
et	O
fnac.com	O
,	O
deuxième	O
site	O
retail	O
en	O
France	O
avec	O
12	O
millions	O
de	O
visiteurs	O
par	O
mois	O
.	O
Par	O
le	O
déploiement	O
de	O
sa	O
stratégie	O
omnicanale	O
,	O
le	O
développement	O
de	O
nouveaux	O
formats	O
de	O
magasins	O
,	O
et	O
son	O
expertise	O
reconnue	O
,	O
la	O
Fnac	O
crée	O
une	O
expérience	O
client	O
unique	O
et	O
renforce	O
sa	O
position	O
de	O
leader	O
.	O
L'innovation	O
est	O
votre	O
moteur	O
et	O
le	O
challenge	O
votre	O
leitmotiv	O
?	O
Rejoignez	O
les	O
14500	O
collaborateurs	O
du	O
groupe	O
qui	O
,	O
chaque	O
jour	O
,	O
inventent	O
la	O
plus	O
belle	O
des	O
relations	O
clients	O
!	O
Description	O
du	O
poste	O
Dans	O
le	O
cadre	O
du	O
développement	O
de	O
notre	O
activité	O
,	O
la	O
FNAC	O
recherche	O
actuellement	O
un	O
Graphiste	O
H/F	O
pour	O
contribuer	O
à	O
la	O
réussite	O
de	O
nos	O
différents	O
projets	O
.	O
Rejoins	O
ainsi	O
une	O
équipe	O
jeune	O
et	O
ambitieuse	O
qui	O
laissera	O
libre	O
court	O
à	O
ton	O
imagination	O
tout	O
en	O
développant	O
tes	O
compétences	O
en	O
graphisme	O
MISSIONS	O
:	O
Travaillant	O
en	O
équipe	O
mais	O
relativement	O
autonome	O
,	O
tu	O
devras	O
:	O
Participer	O
à	O
la	O
conception	O
et	O
à	O
la	O
réalisation	O
de	O
différents	O
illustrations	O
graphiques	O
tels	O
que	O
des	O
bannières	O
-LRB-	O
types	O
CSP	O
-RRB-	O
,	O
des	O
sites	O
web	O
,	O
des	O
interfaces	O
utilisateurs	O
,	O
et	O
des	O
logos	O
";"	O
Faire	O
preuve	O
de	O
proactivité	O
et	O
d'imagination	O
en	O
fonction	O
des	O
différents	O
projets	O
menés	O
";"	O
Trouver	O
les	O
solutions	O
efficaces	O
aux	O
différentes	O
demandes	O
tout	O
en	O
respectant	O
le	O
planning	O
imposé	O
.	O
PROFIL	O
:	O
Plus	O
qu'un	O
véritable	O
expert	O
en	O
graphisme	hard_skills
,	O
c’est	O
ta	O
passion	soft_skills
et	O
ta	O
personnalité	soft_skills
qui	O
feront	O
la	O
différence	O
pour	O
ce	O
poste	O
!	O
Le	O
bac	O
en	O
poche	O
,	O
tu	O
es	O
actuellement	O
dans	O
une	O
école	O
de	O
graphisme	O
-LRB-	O
idéalement	O
au	O
moins	O
en	O
2e	O
année	O
-RRB-	O
,	O
tu	O
fais	O
surtout	O
preuve	O
de	O
motivation	O
-LRB-	O
la	O
création	O
graphique	O
c’est	O
une	O
de	O
tes	O
passions	O
!	O
-RRB-	O
,	O
de	O
dynamisme	soft_skills
-LRB-	O
n'hésite	O
pas	O
à	O
être	O
proactif	soft_skills
!	O
-RRB-	O
,	O
et	O
de	O
rigueur	soft_skills
.	O
Aussi	O
,	O
tu	O
as	O
l'habitude	O
de	O
travailler	O
en	O
groupe	O
-LRB-	O
avec	O
