Automaticien	position
H/F	O
ETS	company
REVERDY	company
-	O
Chassant	city
-LRB-	O
28	postal code
-RRB-	O
35	salary
0	salary
$	salary
-	O
42	salary
0	salary
$	salary
par	salary
an	salary
-	O
CDI	contrat_type
Au	O
sein	O
du	O
bureau	O
d'études	O
,	O
vous	hard skills
êtes	hard skills
en	hard skills
charge	hard skills
de	hard skills
l'automatisme	hard skills
et	hard skills
de	hard skills
la	hard skills
programmation	hard skills
des	hard skills
machines	hard skills
et	hard skills
des	hard skills
schémas	hard skills
électriques	hard skills
.	
Vos	hard skills
missions	hard skills
seront	hard skills
les	hard skills
suivantes	hard skills
:	O
-	O
Analyse	hard skills
fonctionnelle	hard skills
à	hard skills
partir	hard skills
d'un	hard skills
CDC	hard skills
-	hard skills
Réalisation	hard skills
et/ou	hard skills
modification	hard skills
des	hard skills
programmes	hard skills
automates	hard skills
-	hard skills
Réalisation	hard skills
des	hard skills
essais	hard skills
,	hard skills
de	hard skills
la	hard skills
mise	hard skills
au	hard skills
point	hard skills
et	hard skills
de	hard skills
la	hard skills
mise	hard skills
en	hard skills
services	hard skills
des	hard skills
machines	hard skills
-	hard skills
Assistance	hard skills
des	hard skills
utilisateurs	hard skills
lors	hard skills
de	hard skills
la	hard skills
prise	hard skills
en	hard skills
main	hard skills
Vous	hard skills
pourriez	hard skills
également	hard skills
avoir	hard skills
à	hard skills
intervenir	hard skills
en	hard skills
électricité	hard skills
,	hard skills
en	hard skills
réglage	hard skills
de	hard skills
mise	hard skills
en	hard skills
service	hard skills
des	hard skills
dispositifs	hard skills
et	hard skills
instruments	hard skills
commandés	hard skills
-LRB-	
vérin	hard skills
,	O
moteur	hard skills
,	O
distribution	hard skills
,	O
capteurs	hard skills
,	O
régulateurs	hard skills
,	O
...	
-RRB-	O
.	O
Pour	O
ce	O
poste	O
vous	experience
devez	experience
être	experience
issu	experience
d'une	experience
formation	experience
BAC	experience
2	experience
minimum	experience
en	experience
``	experience
Automatismes	experience
Industriels	experience
''	experience
et	experience
disposez	experience
d'une	experience
expérience	experience
de	experience
5	experience
ans	experience
minimum	experience
dans	experience
le	experience
domaine	experience
de	experience
la	experience
machine	experience
spéciale	experience
.	O
La	hard skills
connaissance	hard skills
des	hard skills
automates	hard skills
et	hard skills
interfaces	hard skills
de	hard skills
programmation	hard skills
suivantes	hard skills
est	hard skills
nécessaire	hard skills
:	O
-	O
Siemens	hard skills
,	O
Shneider	hard skills
,	O
Rockwelle	hard skills
et	hard skills
Proface	hard skills
Ce	
poste	
nécessite	O
de	O
l'autonomie	soft skills
de	soft skills
la	soft skills
polyvalent	soft skills
et	soft skills
une	soft skills
aisance	soft skills
relationnelle	soft skills
.	
Type	O
d'emploi	O
:	
CDI	contrat_type
Salaire	O
:	O
35	salary
0	salary
$	salary
à	O
42	salary
0	salary
$	salary
/	O
an	salary
