Elagueur	position
H/F	O
Oasis	company
Developpement	company
/	O
RH	company
-	O
Grimaud	city
-LRB-	O
83	postal code
-RRB-	O
CDI	contrat_type
L'entreprise	O
d'élagage	O
,	O
dans	O
le	O
département	O
du	O
Var	city
-LRB-	O
83	postal code
-RRB-	O
,	O
située	O
à	O
proximité	O
du	O
Muy	O
,	O
est	O
spécialisée	O
dans	O
les	O
travaux	O
d'abattage	O
et	O
d'	O
élagage	O
des	O
arbres	O
,	O
la	O
taille	O
et	O
la	O
sauvegarde	O
des	O
palmiers	O
et	O
l'enlèvement	O
des	O
souches	O
:	O
-	O
Taille	O
de	O
palmiers	O
décoratifs	O
,	O
-	O
Enlèvement	O
de	O
déchets	O
par	O
broyage	O
,	O
-	O
Dessouchage	O
par	O
rognage	O
,	O
-	O
Élagage	O
et	O
abattage	O
de	O
palmiers	O
infestés	O
,	O
-	O
Abattage	O
délicat	O
,	O
-	O
Préventions	O
des	O
incendies	O
de	O
forêt	O
...	O
Missions	O
:	O
Rattaché	O
-LRB-	O
e	O
-RRB-	O
au	O
dirigeant	O
et	O
Intégré	O
-LRB-	O
e	O
-RRB-	O
au	O
sein	O
d'une	O
équipe	O
d'élagage	O
,	O
vous	hard skills
assurez	hard skills
les	hard skills
tailles	hard skills
de	hard skills
formation	hard skills
,	hard skills
tailles	hard skills
d'entretien	hard skills
,	
élagage	hard skills
,	
abattage	hard skills
,	
démontage	hard skills
et	hard skills
soins	hard skills
des	hard skills
arbres	hard skills
.	
Profil	O
:	O
De	experience
formation	experience
:	
Certification	experience
de	experience
spécialisation	experience
CS	experience
``	O
Taille	experience
et	experience
soins	experience
des	experience
arbres	experience
''	O
,	O
vous	experience
justifiez	experience
d'une	experience
expérience	experience
de	experience
4	experience
à	experience
5	experience
ans	experience
en	experience
élagage	experience
.	
Permis	hard skills
VL	hard skills
obligatoire	hard skills
Le	hard skills
permis	hard skills
remorque	hard skills
,	
le	hard skills
CACES	hard skills
,	O
nacelle	hard skills
et	hard skills
le	hard skills
permis	hard skills
poids-lourd	hard skills
sont	hard skills
un	hard skills
plus	hard skills
.	
Type	O
d'emploi	O
:	O
CDI	contrat_type
Salaire	O
:	O
selon	O
expérience	O
Formation	O
-LRB-	O
s	O
-RRB-	O
exigée	O
-LRB-	O
s	O
-RRB-	O
:	O
BEP	experience
,	O
BAC	experience
,	O
BTS	experience
Type	O
d'emploi	
:	O
CDI	contrat_type
