Vendeur	position
-LRB-	O
h/f	O
-RRB-	O
-	O
Caen	city
-	O
CDI	contract_type
Temps	O
Partiel	O
THE	company
KOOPLES	company
-	O
Caen	city
-LRB-	O
14	postal_code
-RRB-	O
Temps	O
partiel	O
Description	O
du	O
poste	O
Sous	O
la	O
direction	O
du	O
responsable	O
du	O
point	O
de	O
vente	O
,	O
vous	O
participez	hard_skills
à	hard_skills
la	hard_skills
réalisation	hard_skills
des	hard_skills
objectifs	hard_skills
commerciaux	hard_skills
de	hard_skills
la	hard_skills
boutique	hard_skills
.	O
Véritable	O
ambassadeur	O
de	O
la	O
Maison	company
The	company
Kooples	company
,	O
vos	O
missions	O
principales	O
seront	O
les	O
suivantes	O
:	O
1	O
/	O
Faire	hard_skills
vivre	hard_skills
à	hard_skills
nos	hard_skills
clients	hard_skills
l'expérience	hard_skills
unique	hard_skills
The	hard_skills
Kooples	hard_skills
:	hard_skills
Accueillir	hard_skills
et	hard_skills
accompagner	hard_skills
le	hard_skills
client	hard_skills
tout	hard_skills
au	hard_skills
long	hard_skills
de	hard_skills
son	hard_skills
parcours	hard_skills
shopping	hard_skills
en	hard_skills
assurant	hard_skills
un	hard_skills
service	hard_skills
personnalisé	hard_skills
";"	hard_skills
Conseiller	hard_skills
le	hard_skills
client	hard_skills
en	hard_skills
valorisant	hard_skills
notre	hard_skills
savoir-faire	hard_skills
traditionnel	hard_skills
et	hard_skills
les	hard_skills
caractéristiques	hard_skills
de	hard_skills
nos	hard_skills
produits	hard_skills
grâce	hard_skills
à	hard_skills
un	hard_skills
argumentaire	hard_skills
maîtrisé	hard_skills
";"	hard_skills
Fidéliser	hard_skills
et	hard_skills
garantir	hard_skills
la	hard_skills
satisfaction	hard_skills
de	hard_skills
notre	hard_skills
clientèle	hard_skills
.	O
2	O
/	O
Contribuer	hard_skills
au	hard_skills
développement	hard_skills
du	hard_skills
chiffre	hard_skills
d'affaires	hard_skills
de	hard_skills
votre	hard_skills
point	hard_skills
de	hard_skills
vente	hard_skills
:	hard_skills
Maitriser	hard_skills
et	hard_skills
optimiser	hard_skills
les	hard_skills
indicateurs	hard_skills
de	hard_skills
performance	hard_skills
";"	hard_skills
Assurer	hard_skills
le	hard_skills
suivi	hard_skills
des	hard_skills
stocks	hard_skills
et	hard_skills
en	hard_skills
garantir	hard_skills
la	hard_skills
fiabilité	hard_skills
";"	hard_skills
Réceptionner	hard_skills
les	hard_skills
marchandises	hard_skills
et	hard_skills
effectuer	hard_skills
le	hard_skills
réassort	hard_skills
.	O
3	O
/	O
Mettre	hard_skills
en	hard_skills
avant	hard_skills
nos	hard_skills
collections	hard_skills
à	hard_skills
travers	hard_skills
un	hard_skills
visuel	hard_skills
merchandising	hard_skills
inspirant	hard_skills
:	hard_skills
Réaliser	hard_skills
le	hard_skills
visuel	hard_skills
merchandising	hard_skills
dans	hard_skills
le	hard_skills
respect	hard_skills
des	hard_skills
directives	hard_skills
de	hard_skills
notre	hard_skills
Maison	hard_skills
";"	hard_skills
Veillez	hard_skills
à	hard_skills
la	hard_skills
bonne	hard_skills
tenue	hard_skills
de	hard_skills
point	hard_skills
de	hard_skills
vente	hard_skills
.	O
Profil	O
recherché	O
De	O
formation	O
commerciale	O
Bac	experience
à	experience
Bac	experience
2	experience
,	O
vous	O
justifiez	O
d'une	O
première	experience
expérience	experience
dans	experience
la	experience
vente	experience
,	experience
idéalement	experience
dans	experience
le	experience
secteur	experience
du	experience
prêt	experience
à	experience
porter	experience
ou	experience
du	experience
service	experience
haut	experience
de	experience
gamme	experience
.	O
Passionné	soft_skills
par	soft_skills
la	soft_skills
mode	soft_skills
,	O
vous	O
disposez	O
d'une	O
forte	soft_skills
sensibilité	soft_skills
produit	soft_skills
et	O
avez	O
de	O
bonnes	hard_skills
connaissances	hard_skills
du	hard_skills
secteur	hard_skills
et	hard_skills
de	hard_skills
ses	hard_skills
tendances	hard_skills
.	O
D'un	O
tempérament	soft_skills
commercial	soft_skills
développé	soft_skills
,	O
vous	O
avez	O
la	O
culture	soft_skills
du	soft_skills
résultat	soft_skills
et	soft_skills
le	soft_skills
goût	soft_skills
du	soft_skills
travail	soft_skills
en	soft_skills
équipe	soft_skills
.	O
La	O
maîtrise	hard_skills
du	hard_skills
pack	hard_skills
Office	hard_skills
et	hard_skills
de	hard_skills
l'anglais	hard_skills
est	O
fortement	O
appréciée	O
.	O
La	O
pratique	hard_skills
d'une	hard_skills
autre	hard_skills
langue	hard_skills
constituerait	O
un	O
véritable	O
atout	O
-LRB-	O
mandarin	hard_skills
,	hard_skills
arabe	hard_skills
littéraire	hard_skills
,	hard_skills
russe	hard_skills
-RRB-	O
.	O
Type	O
d'emploi	O
:	O
Temps	contract_type
partiel	contract_type
Localisation	O
du	O
poste	O
:	O
Caen	city
Expérience	O
exigée	O
:	O
vente	experience
:	experience
1	experience
an	experience
