Ergothérapeute	position
-LRB-	O
h/f	O
-RRB-	O
Association	company
OEUVRE	company
FALRET	company
/	company
Bipol	company
FALRET	company
-	O
Saint-Ouen	city
-LRB-	O
93	postal_code
-RRB-	O
24	salary
0	salary
$	salary
-	salary
28	salary
0	salary
$	salary
par	salary
an	salary
-	O
CDI	contract_type
L'Œuvre	company
FALRET	company
a	O
été	O
créée	O
en	O
1841	O
par	O
Jean-Pierre	O
FALRET	O
,	O
psychiatre	O
novateur	O
qui	O
a	O
consacré	O
sa	O
vie	O
à	O
défendre	O
la	O
cause	O
des	O
malades	O
mentaux	O
et	O
notamment	O
leurs	O
droits	O
,	O
leur	O
dignité	O
,	O
leur	O
possibilité	O
de	O
guérison	O
,	O
pour	O
en	O
faire	O
des	O
citoyens	O
à	O
part	O
entière	O
.	O
L'Association	O
fait	O
vivre	O
cette	O
vision	O
et	O
accompagne	O
aujourd	O
'	O
hui	O
près	O
de	O
2900	O
personnes	O
en	O
souffrance	O
psychique	O
et	O
difficulté	O
psycho-sociale	O
dans	O
32	O
structures	O
en	O
Ile	O
de	O
France	O
avec	O
l'appui	O
de	O
près	O
de	O
600	O
salariés	O
.	O
Nous	O
rejoindre	O
,	O
c’est	O
intégrer	O
une	O
structure	O
qui	O
défend	O
les	O
valeurs	O
de	O
respect	O
des	O
personnes	O
quels	O
que	O
soient	O
leurs	O
fragilités	O
ou	O
leur	O
parcours	O
,	O
de	O
solidarité	O
et	O
d'épanouissement	O
notamment	O
par	O
le	O
lien	O
social	O
,	O
le	O
travail	O
ou	O
la	O
culture	O
.	O
C'est	O
intégrer	O
une	O
structure	O
dynamique	O
et	O
en	O
pleine	O
croissance	O
qui	O
favorise	O
la	O
réflexion	O
et	O
la	O
construction	O
commune	O
.	O
C'est	O
intégrer	O
une	O
structure	O
qui	O
place	O
la	O
valeur	O
humaine	O
,	O
la	O
qualité	O
du	O
travail	O
,	O
la	O
construction	O
de	O
parcours	O
professionnels	O
et	O
le	O
bien	O
être	O
des	O
salariés	O
au	O
cœur	O
de	O
ses	O
préoccupations	O
.	O
Le	O
Centre	O
de	O
jour	O
BIPOL	company
FALRET	company
accompagne	O
des	O
adultes	O
souffrant	O
de	O
troubles	O
récurrents	O
de	O
l'humeur	O
et	O
plus	O
spécifiquement	O
de	O
troubles	O
bipolaires	O
.	O
Il	O
a	O
pour	O
objectif	O
de	O
développer	O
la	O
prévention	O
et	O
l'accompagnement	O
des	O
personnes	O
touchées	O
par	O
des	O
troubles	O
bipolaires	O
et	O
de	O
promouvoir	O
leur	O
inclusion	O
,	O
notamment	O
par	O
le	O
retour	O
et	O
le	O
maintien	O
au	O
travail	O
.	O
Les	O
dispositifs	O
de	O
soins	O
,	O
de	O
prévention	O
et	O
de	O
conseil	O
proposés	O
par	O
son	O
équipe	O
pluridisciplinaire	O
de	O
professionnels	O
ont	O
vocation	O
à	O
améliorer	O
l'état	O
de	O
santé	O
et	O
les	O
conditions	O
de	O
vie	O
en	O
