Téléconseiller	position
-LRB-	O
H/F	O
-RRB-	O
Interflora	company
-	O
Lyon	city
3e	city
-LRB-	O
69	code postal
-RRB-	O
1	salary
480	salary
$	salary
par	salary
mois	salary
-	O
CDI	contrat_type
Pour	O
notre	O
service	O
clients	O
,	O
vous	O
assurerez	O
les	O
missions	O
suivantes	O
:	O
-	O
Réception	hard skills
des	hard skills
appels	hard skills
clients	hard skills
BtoC	hard skills
pour	hard skills
la	hard skills
prise	hard skills
de	hard skills
commande	hard skills
,	O
-	O
Suivi	hard skills
des	hard skills
commande	hard skills
du	hard skills
site	hard skills
internet	hard skills
,	
-	O
Traitement	hard skills
des	hard skills
courriels	hard skills
,	O
-	hard skills
Réception	hard skills
des	hard skills
appels	hard skills
fleuristes	hard skills
pour	hard skills
les	hard skills
livraisons	hard skills
,	O
-	O
Traduction	hard skills
des	hard skills
commandes	hard skills
internationales	hard skills
.	
Compétences	
:	O
Maîtrise	hard skills
de	hard skills
l'écrit	hard skills
/	O
mails	hard skills
>	O
cette	hard skills
compétence	hard skills
est	hard skills
indispensable	hard skills
Conseiller	hard skills
un	hard skills
client	hard skills
Principes	hard skills
de	hard skills
la	hard skills
relation	hard skills
client	hard skills
Présenter	hard skills
ou	hard skills
identifier	hard skills
l'objet	hard skills
de	hard skills
l'appel	hard skills
-LRB-	O
commande	hard skills
,	O
vente	hard skills
,	O
information	hard skills
,	O
réclamation	hard skills
,	O
assistance	hard skills
,	O
...	O
-RRB-	O
Réaliser	hard skills
un	hard skills
suivi	hard skills
d'appel	hard skills
Techniques	hard skills
de	hard skills
vente	hard skills
par	hard skills
téléphone	hard skills
Formation	
BAC	experience
-	O
commerce	experience
Vous	soft skills
êtes	soft skills
polyvalent	soft skills
-LRB-	O
e	soft skills
-RRB-	O
et	soft skills
vous	soft skills
démontrez	soft skills
une	soft skills
forte	soft skills
motivation	soft skills
commerciale	soft skills
.	
Vous	soft skills
maîtrisez	soft skills
l'écrit	soft skills
et	soft skills
l'orthographe	soft skills
.	O
Expérience	experience
souhaitée	experience
d'un	experience
mois	experience
,	O
en	experience
relation	experience
clients	experience
chez	experience
l'annonceur	experience
ou	experience
chez	experience
un	experience
prestataire	experience
.	O
Horaire	O
selon	O
un	O
planning	O
tournant	O
:	O
35h	O
hebdomadaire	O
réparti	O
sur	O
6	O
jours	O
du	O
lundi	O
au	O
dimanche	O
.	O
Plateau	O
ouvert	O
de	O
8h	O
à	O
19h	O
.	O
Rémunération	O
à	O
1480,27	salary
$	salary
avec	O
épargne	O
salariale	O
équivalente	O
en	O
moyenne	O
à	O
3	O
mois	O
de	O
salaire	O
.	O
Interflora	company
est	O
le	O
leader	O
Français	O
de	O
la	O
transmission	O
florale	O
avec	O
un	O
réseau	O
de	O
plus	O
de	O
5200	O
fleuristes	O
partenaires	O
en	O
France	O
et	O
plus	O
de	O
45	
0	
à	O
travers	O
le	O
monde	O
.	O
Notre	O
marque	O
est	O
en	O
évolution	O
constante	O
,	O
avec	O
sans	O
cesse	O
de	O
nouveaux	O
projets	O
,	O
développement	O
et	O
innovation	O
.	O
Type	O
d'emploi	O
:	O
CDI	contrat_type
