Animateur	position	p
sportif	position	
INTERVAL	company	
-	O	
Salle	company	
de	company	
Sport	company	
-	O	
Toulouse	city	
-LRB-	O	
31	postal code	
-RRB-	O	
1	salary	
600	salary	
$	salary	
par	salary	
mois	salary	
-	O	
CDI	contrat_type	
Pour	O	
l'un	O	
de	O	
ses	O	
centres	O	
Toulousain	city	
-LRB-	O	
31	postal code	
-RRB-	O	
INTERVAL	company	
recherche	O	
un	position	
Animateur	position	
sportif	position	
-LRB-	O	
H/F	O	
-RRB-	O	
.	O	
Véritable	O	
ambassadeur	O	
,	O	
vous	hard skills	
serez	hard skills	
responsable	hard skills	
de	hard skills	
l'animation	hard skills	
sportive	hard skills	
de	hard skills	
nos	hard skills	
clubs	hard skills	
de	hard skills	
sport	hard skills	
en	hard skills	
véhiculant	hard skills	
des	hard skills	
valeurs	hard skills	
fortes	hard skills	
dans	hard skills	
un	hard skills	
environnement	hard skills	
exigeant	hard skills	
.	O	
Sous	hard skills	
la	hard skills	
direction	hard skills	
du	hard skills	
Manager	hard skills	
Commercial	hard skills	
,	O	
vous	hard skills	
serez	hard skills	
en	hard skills	
charge	hard skills	
de	hard skills	
:		
-		
conseiller	hard skills	
et	hard skills	
accompagner	hard skills	
les	hard skills	
adhérents	hard skills	
dans	hard skills	
leur	hard skills	
pratique	hard skills	
afin	hard skills	
de	hard skills	
les	hard skills	
aider	hard skills	
à	hard skills	
atteindre	hard skills	
leurs	hard skills	
objectifs	hard skills	
,	hard skills	
-	O	
animer	hard skills	
des	hard skills	
premières	hard skills	
séances	hard skills	
,		
-	hard skills	
fidéliser	hard skills	
la	hard skills	
clientèle	hard skills	
,	O	
-		
l'accueil	hard skills	
des	hard skills	
prospects	hard skills	
et	hard skills	
des	hard skills	
adhérents	hard skills	
,	O	
ainsi	hard skills	
que	hard skills	
de	hard skills	
la	hard skills	
vente	hard skills	
des	hard skills	
abonnements	hard skills	
en	hard skills	
l'absence	hard skills	
du	hard skills	
commercial	hard skills	
,	O	
-	O	
le	hard skills	
reporting	hard skills	
-	hard skills	
la	hard skills	
tenue	hard skills	
des	hard skills	
stocks	hard skills	
de	hard skills	
consommables	hard skills	
du	hard skills	
centre	hard skills	
,		
-	hard skills	
veiller	hard skills	
au	hard skills	
respect	hard skills	
du	hard skills	
règlement	hard skills	
intérieur	hard skills	
-	hard skills	
la	hard skills	
surveillance	hard skills	
de	hard skills	
la	hard skills	
propreté	hard skills	
de	hard skills	
la	hard skills	
salle	hard skills	
Profil	hard skills	
recherché	hard skills	
:		
Vous	experience	
êtes	experience	
titulaire	experience	
du	experience	
BPJEPS	experience	
Activités	experience	
Gymniques	experience	
de	experience	
la	experience	
forme	experience	
et	experience	
de	experience	
la	experience	
force	experience	
,		
mention	experience	
D	experience	
-LRB-	O	
idéale	experience	
-RRB-	O	
ou	experience	
mention	experience	
C	experience	
ou	experience	
titulaire	experience	
du	experience	
DEUST	experience	
métiers	experience	
de	experience	
la	experience	
forme	experience	
ou	experience	
titulaire	experience	
d'une	experience	
carte	experience	
professionnelle	experience	
.		
Vous	soft skills	
êtes	soft skills	
dynamique	soft skills	
,		
enthousiaste	soft skills	
,	O	
souriant	soft skills	
,		
ouvert	soft skills	
aux	soft skills	
autres	soft skills	
.	O	
Vous	soft skills	
êtes	soft skills	
en	soft skills	
plus	soft skills	
doté	soft skills	
-LRB-	O	
e	soft skills	
-RRB-	O	
d'un	soft skills	
excellent	soft skills	
relationnel	soft skills	
client	soft skills	
,	O	
savez	soft skills	
faire	soft skills	
preuve	soft skills	
de	soft skills	
pédagogie	soft skills	
et	soft skills	
diplomatie	soft skills	
.	O	
Vous	soft skills	
savez	soft skills	
travailler	soft skills	
en	soft skills	
autonomie	soft skills	
.		
Permis	hard skills	
B	hard skills	
+	hard skills	
véhicule	hard skills	
personnel	hard skills	
exigé	hard skills	
-LRB-	O	
dans	O	
le	O	
cadre	O	
de	O	
remplacements	O	
ponctuels	O	
sur	O	
la	O	
région	O	
-RRB-	O	
.	O	
Carte	O	
professionnelle	O	
obligatoire	O	
.	O	
Rémunération	O	
:	O	
1600	salary	
euros	salary	
bruts	salary	
+		
primes	O	
Vous	soft skills	
êtes	soft skills	
sensible	soft skills	
à	soft skills	
nos	soft skills	
valeurs	soft skills	
et	soft skills	
souhaitez	soft skills	
être	soft skills	
au	soft skills	
cœur	soft skills	
du	soft skills	
développement	soft skills	
et	soft skills	
de	soft skills	
la	soft skills	
réussite	soft skills	
de	soft skills	
notre	soft skills	
enseigne	soft skills	
,	O	
adressez-nous	O	
votre	O	
candidature	O	
.	O	
Type	O	
d'emploi	O	
:	O	
CDI	contrat_type	
