Serveur	position
H/F	O
CDI	contrat_type
Temps	O
partiel	O
Boulettes	company
Chef	O
Comptoir	O
75002	O
-	O
Paris	city
-LRB-	O
75	code postal
-RRB-	O
9,52	salary
$	salary
par	salary
heure	salary
-	O
Temps	O
partiel	O
Employé	hard skills
polyvalent	hard skills
,	O
chargé	hard skills
autant	hard skills
de	hard skills
l'accueil	hard skills
des	hard skills
clients	hard skills
,	O
que	hard skills
de	hard skills
conseil	hard skills
,	O
vous	hard skills
veillez	hard skills
à	hard skills
leur	hard skills
satisfaction	hard skills
durant	hard skills
leur	hard skills
repas	hard skills
,	
débarrasser	hard skills
et	hard skills
redresser	hard skills
les	hard skills
tables	hard skills
afin	hard skills
de	hard skills
permettre	hard skills
un	hard skills
second	hard skills
service	hard skills
.	O
Vous	hard skills
assurez	hard skills
l'entretient	hard skills
des	hard skills
lieux	hard skills
.	
Vous	
êtes	
étudiant	
et	O
recherchez	O
un	O
revenu	O
complémentaire	O
pendant	O
l'année	O
scolaire	O
2017-2018	O
.	O
Vous	soft skills
êtes	soft skills
disponible	soft skills
entre	O
12h	O
et	O
15h	O
du	O
lundi	O
au	O
vendredi	O
ou	O
samedi	O
.	O
Vous	soft skills
êtes	soft skills
autonome	soft skills
et	soft skills
sérieux	soft skills
,	O
le	soft skills
garant	soft skills
de	soft skills
l'image	soft skills
de	soft skills
marque	soft skills
du	soft skills
restaurant	soft skills
,	O
l'interlocuteur	soft skills
privilégié	soft skills
de	soft skills
la	soft skills
clientèle	soft skills
,	O
toujours	soft skills
courtois	soft skills
et	soft skills
souriant	soft skills
,	O
aux	soft skills
qualités	soft skills
relationnelles	soft skills
et	soft skills
à	soft skills
la	soft skills
présentation	soft skills
excellente	soft skills
.	O
La	hard skills
maitrise	hard skills
de	hard skills
l'anglais	hard skills
sera	O
un	O
atout	O
de	O
poids	O
.	O
Type	O
d'emploi	O
:	O
Temps	O
partiel	O
/	O
CDI	contrat_type
Salaire	O
:	O
9,52	salary
$	salary
/	O
heure	salary
Type	O
d'emploi	O
:	O
Temps	O
partiel	O
Salaire	O
:	O
9,52	salary
$	salary
/	O
heure	salary
