Audioprothésiste	poqition
-	O
H/F	O
Mutualité	company
Française	company
Bourguignonne	company
SSAM	company
-	
Dijon	city
-LRB-	O
21	code postal
-RRB-	O
CDI	contrat_type
Avec	O
140	O
établissements	O
et	O
plus	O
de	O
4000	O
salariés	O
,	O
la	company
Mutualité	company
Française	company
Bourguignonne	company
,	O
-	O
Services	O
de	O
Soins	O
et	O
d'Accompagnement	O
Mutualiste	O
est	O
un	O
acteur	O
majeur	O
de	O
l'Economie	O
Sociale	O
et	O
Solidaire	O
.	O
Nous	O
offrons	O
de	O
nombreux	O
services	O
en	O
établissement	O
et	O
à	O
domicile	O
,	O
de	O
l'enfance	O
au	O
grand	O
âge	O
,	O
garantissant	O
un	O
accès	O
aux	O
soins	O
au	O
plus	O
grand	O
nombre	O
.	O
Intégré	O
-LRB-	O
e	O
-RRB-	O
au	O
sein	O
du	O
Pôle	O
Santé	O
notamment	O
représenté	O
sur	O
le	O
secteur	O
de	O
l'audition	O
avec	O
13	O
centres	O
Audio	O
répartis	O
sur	O
3	O
départements	O
-LRB-	O
Côte	O
d'Or	O
,	O
Yonne	O
et	O
Nièvre	O
-RRB-	O
,	O
nous	O
recherchons	O
des	position
:	O
AUDIOPROTHESISTE	position
--	O
H/F	O
Missions	O
principales	O
:	O
Vous	hard skills
avez	hard skills
en	hard skills
charge	hard skills
le	hard skills
développement	hard skills
de	hard skills
l'activité	hard skills
et	hard skills
le	hard skills
suivi	hard skills
de	hard skills
la	hard skills
clientèle	hard skills
du	hard skills
centre	hard skills
,	O
Vous	hard skills
réalisez	hard skills
les	hard skills
tests	hard skills
audiométriques	hard skills
,	O
les	hard skills
prises	hard skills
d'empreintes	hard skills
et	hard skills
les	hard skills
différents	hard skills
réglages	hard skills
des	hard skills
appareils	hard skills
,	O
Vous	hard skills
conseillez	hard skills
les	hard skills
patients	hard skills
dans	hard skills
le	hard skills
choix	hard skills
,	O
l'utilisation	hard skills
et	hard skills
l'entretien	hard skills
de	hard skills
l'appareillage	hard skills
,	
Vous	hard skills
réalisez	hard skills
l'entretien	hard skills
et	hard skills
la	hard skills
vérification	hard skills
des	hard skills
appareillages	hard skills
réalisés	hard skills
,	
Vous	hard skills
êtes	hard skills
responsable	hard skills
de	hard skills
la	hard skills
gestion	hard skills
des	hard skills
stocks	hard skills
et	hard skills
des	hard skills
commandes	hard skills
de	hard skills
votre	hard skills
centre	hard skills
,	O
Poste	O
en	O
CDI	contrat_type
à	O
pourvoir	O
dès	O
que	O
possible	O
.	O
Tous	O
nos	O
centres	O
sont	O
équipés	O
avec	O
du	O
matériel	O
de	O
pointe	O
:	O
chaîne	O
de	O
mesure	O
dernière	O
génération	O
,	O
audiométrie	O
aux	O
inserts	O
,	O
matériel	O
de	O
mesure	O
équipé	O
de	O
la	O
technologie	O
in	O
vivo	O
,	O
Tous	O
nos	O
centres	O
sont	O
engagés	O
dans	O
une	O
démarche	O
de	O
certification	O
qualité	O
,	O
Vous	
bénéficiez	
d'un	
statut	
salarié	
cadre	
de	
27	
jours	
de	
congés	
payés	
ainsi	
que	
de	
23	
jours	O
de	O
RTT	O
,	O
Vous	O
disposez	O
d'une	O
voiture	O
de	O
fonction	O
,	O
Statut	O
cadre	O
--	O
Rémunération	O
selon	O
profil	O
et	O
expérience	O
Vous	hard skills
travaillez	hard skills
en	hard skills
autonomie	hard skills
au	hard skills
sein	hard skills
d'un	hard skills
centre	hard skills
d'audition	hard skills
disposant	hard skills
d'équipements	hard skills
techniques	hard skills
performants	hard skills
,	O
Vous	hard skills
bénéficiez	hard skills
du	hard skills
support	hard skills
d'une	hard skills
Assistante	hard skills
audio	hard skills
ainsi	hard skills
que	hard skills
du	hard skills
support	hard skills
administratif	hard skills
et	hard skills
technique	hard skills
du	hard skills
pôle	hard skills
.	O
Profil	O
recherché	O
:	O
Vous	O
êtes	O
impérativement	O
titulaire	experience
du	experience
Diplôme	experience
d'Etat	experience
d'Audioprothésiste	experience
,	O
Vous	experience
avez	experience
une	experience
première	experience
expérience	experience
pratique	experience
et	experience
maitrisez	experience
les	experience
techniques	experience
de	experience
moulage	experience
,	O
de	experience
réglage	experience
et	experience
d'ajustage	experience
des	experience
appareils	experience
auditifs	experience
,	
Vous	soft skills
avez	soft skills
le	soft skills
sens	soft skills
du	soft skills
service	soft skills
et	soft skills
possédez	soft skills
une	soft skills
certaine	soft skills
aisance	soft skills
relationnelle	soft skills
,	O
Vous	soft skills
appréciez	soft skills
le	soft skills
travail	soft skills
en	soft skills
équipe	soft skills
et	soft skills
vous	soft skills
vous	soft skills
retrouvez	soft skills
dans	soft skills
les	soft skills
valeurs	soft skills
mutualistes	soft skills
,	O
à	O
savoir	O
l'accès	O
pour	O
TOUS	O
à	O
des	O
soins	O
de	O
qualité	O
,	O
Rejoignez-nous	O
!	O
Type	O
d'emploi	O
:	O
CDI	contrat_type
