Vendeur	position
-LRB-	O
h/f	O
-RRB-	O
-	O
Caen	city
-	O
CDI	contrat_type
Temps	contrat_type
Partiel	contrat_type
THE	company
KOOPLES	company
-	O
Caen	city
-LRB-	O
14	postal code
-RRB-	O
Temps	contrat_type
partiel	contrat_type
Description	O
du	O
poste	O
Sous	O
la	O
direction	O
du	O
responsable	O
du	O
point	O
de	O
vente	O
,	O
vous	hard skills
participez	hard skills
à	hard skills
la	hard skills
réalisation	hard skills
des	hard skills
objectifs	hard skills
commerciaux	hard skills
de	hard skills
la	hard skills
boutique	hard skills
.	hard skills
Véritable	hard skills
ambassadeur	hard skills
de	hard skills
la	hard skills
Maison	hard skills
The	hard skills
Kooples	hard skills
,	hard skills
vos	hard skills
missions	hard skills
principales	hard skills
seront	hard skills
les	hard skills
suivantes	hard skills
:	O
1	hard skills
/	O
Faire	hard skills
vivre	hard skills
à	hard skills
nos	hard skills
clients	hard skills
l'expérience	hard skills
unique	hard skills
The	hard skills
Kooples	hard skills
:	hard skills
Accueillir	hard skills
et	hard skills
accompagner	hard skills
le	hard skills
client	hard skills
tout	hard skills
au	hard skills
long	hard skills
de	hard skills
son	hard skills
parcours	hard skills
shopping	hard skills
en	hard skills
assurant	hard skills
un	hard skills
service	hard skills
personnalisé	hard skills
";"	O
Conseiller	hard skills
le	hard skills
client	hard skills
en	hard skills
valorisant	hard skills
notre	hard skills
savoir-faire	hard skills
traditionnel	hard skills
et	hard skills
les	hard skills
caractéristiques	hard skills
de	hard skills
nos	hard skills
produits	hard skills
grâce	hard skills
à	hard skills
un	hard skills
argumentaire	hard skills
maîtrisé	hard skills
";"	
Fidéliser	hard skills
et	hard skills
garantir	hard skills
la	hard skills
satisfaction	hard skills
de	hard skills
notre	hard skills
clientèle	hard skills
.	O
2	hard skills
/	O
Contribuer	hard skills
au	hard skills
développement	hard skills
du	hard skills
chiffre	hard skills
d'affaires	hard skills
de	hard skills
votre	hard skills
point	hard skills
de	hard skills
vente	hard skills
:	
Maitriser	hard skills
et	hard skills
optimiser	hard skills
les	hard skills
indicateurs	hard skills
de	hard skills
performance	hard skills
";"	
Assurer	hard skills
le	hard skills
suivi	hard skills
des	hard skills
stocks	hard skills
et	hard skills
en	hard skills
garantir	hard skills
la	hard skills
fiabilité	hard skills
";"	O
Réceptionner	hard skills
les	hard skills
marchandises	hard skills
et	hard skills
effectuer	hard skills
le	hard skills
réassort	hard skills
.	hard skills
3	hard skills
/	O
Mettre	hard skills
en	hard skills
avant	hard skills
nos	hard skills
collections	hard skills
à	hard skills
travers	hard skills
un	hard skills
visuel	hard skills
merchandising	hard skills
inspirant	hard skills
:	
Réaliser	hard skills
le	hard skills
visuel	hard skills
merchandising	hard skills
dans	hard skills
le	hard skills
respect	hard skills
des	hard skills
directives	hard skills
de	hard skills
notre	hard skills
Maison	hard skills
";"	
Veillez	hard skills
à	hard skills
la	hard skills
bonne	hard skills
tenue	hard skills
de	hard skills
point	hard skills
de	hard skills
vente	hard skills
.	
Profil	O
recherché	O
De	experience
formation	experience
commerciale	experience
Bac	experience
à	experience
Bac	experience
2	experience
,	experience
vous	experience
justifiez	experience
d'une	experience
première	experience
expérience	experience
dans	experience
la	experience
vente	experience
,	experience
idéalement	experience
dans	experience
le	experience
secteur	experience
du	experience
prêt	experience
à	experience
porter	experience
ou	experience
du	experience
service	experience
haut	experience
de	experience
gamme	experience
.	
Passionné	soft skills
par	soft skills
la	soft skills
mode	soft skills
,	
vous	soft skills
disposez	soft skills
d'une	soft skills
forte	soft skills
sensibilité	soft skills
produit	soft skills
et	soft skills
avez	soft skills
de	soft skills
bonnes	soft skills
connaissances	soft skills
du	soft skills
secteur	soft skills
et	soft skills
de	soft skills
ses	soft skills
tendances	soft skills
.	O
D'un	soft skills
tempérament	soft skills
commercial	soft skills
développé	soft skills
,	soft skills
vous	soft skills
avez	soft skills
la	soft skills
culture	soft skills
du	soft skills
résultat	soft skills
et	soft skills
le	soft skills
goût	soft skills
du	soft skills
travail	soft skills
en	soft skills
équipe	soft skills
.	O
La	hard skills
maîtrise	hard skills
du	hard skills
pack	hard skills
Office	hard skills
et	hard skills
de	hard skills
l'anglais	hard skills
est	hard skills
fortement	hard skills
appréciée	hard skills
.	O
La	hard skills
pratique	hard skills
d'une	hard skills
autre	hard skills
langue	hard skills
constituerait	hard skills
un	hard skills
véritable	hard skills
atout	hard skills
-LRB-	
mandarin	hard skills
,	O
arabe	hard skills
littéraire	hard skills
,	O
russe	hard skills
-RRB-	O
.	O
Type	O
d'emploi	O
:	O
Temps	contrat_type
partiel	contrat_type
Localisation	O
du	O
poste	O
:	O
Caen	city
Expérience	O
exigée	O
:	O
vente	experience
:	
1	experience
an	experience
