EMPLOYE	position
POLYVALENT	position
DE	position
RESTAURATION	position
H/F	O
EPIGO	company
-	O
Roissy-en-France	localisation
-LRB-	O
95	O
-RRB-	O
1	salary
480	salary
$	salary
par	O
mois	O
-	O
CDI	contract_type
Entreprise	O
:	O
Leader	O
de	O
la	O
restauration	category
commerciale	O
concédée	O
,	O
notre	O
société	O
invite	O
à	O
diverses	O
escales	O
culinaires	O
,	O
audacieuses	O
et	O
raffinées	O
,	O
en	O
offrant	O
aux	O
voyageurs	O
une	O
halte	O
épicurienne	O
inoubliable	O
avant	O
leur	O
envol	O
...	O
Dans	O
le	O
cadre	O
de	O
l'ouverture	O
prochaine	O
de	O
notre	O
futur	O
restaurant	O
Prêt	O
à	O
Manger	O
,	O
nous	O
recherchons	O
des	O
employé	O
-LRB-	O
e	O
-RRB-	O
s	O
polyvalents	O
de	O
restauration	O
H/F	O
.	O
*	O
Missions	O
:	O
*	O
Vous	O
êtes	O
un	O
-LRB-	O
e	O
-RRB-	O
lève	O
tôt	O
et	O
le	O
travail	O
ne	O
vous	O
fait	O
pas	O
peur	O
.	O
Vous	O
participez	O
à	O
la	O
préparation	O
de	O
délicieux	O
sandwichs	O
et	O
salades	O
à	O
partir	O
de	O
légumes	O
frais	O
et	O
d'ingrédients	O
de	O
qualité	O
tout	O
au	O
long	O
de	O
la	O
journée	O
,	O
dans	O
le	O
respect	O
des	O
standards	O
de	O
la	O
marque	O
et	O
des	O
normes	O
d'hygiène	O
.	O
Vous	O
veillez	O
au	O
bon	O
fonctionnement	O
du	O
restaurant	O
,	O
à	O
la	O
qualité	O
et	O
à	O
l'efficacité	O
du	O
service	O
et	O
à	O
la	O
satisfaction	O
de	O
vos	O
clients	O
.	O
Vous	O
assurez	O
la	O
prise	O
des	O
commandes	O
et	O
procédez	O
aux	O
opérations	O
d'encaissement	O
.	O
Vous	O
intégrez	O
une	O
équipe	O
ultra	O
dynamique	O
dans	O
une	O
ambiance	O
de	O
travail	O
enjouée	O
et	O
motivante	O
.	O
*	O
Profil	O
et	O
Expérience	O
:	O
*	O
Dynamique	soft_skills
,	O
curieux	soft_skills
-LRB-	O
se	O
-RRB-	O
,	O
volontaire	soft_skills
,	O
rigoureux	soft_skills
-LRB-	O
se	O
-RRB-	O
et	O
organisé	soft_skills
-LRB-	O
e	O
-RRB-	O
,	O
vous	O
véhiculez	O
une	O
image	O
sympathique	O
et	O
vous	O
savez	O
captez	O
votre	O
clientèle	O
.	O
Vous	O
êtes	O
passionné	soft_skills
-LRB-	O
e	O
-RRB-	O
par	O
le	O
service	O
et	O
le	O
conseil	O
à	O
la	O
clientèle	O
.	O
Vous	O
aimez	O
travailler	O
en	O
équipe	O
et	O
dans	O
la	O
bonne	O
humeur	O
.	O
Vous	O
êtes	O
polyvalent	soft_skills
-LRB-	O
e	O
-RRB-	O
et	O
à	O
l'écoute	soft_skills
des	O
consignes	O
de	O
votre	O
hiérarchie	O
.	O
*	O
Autres	O
informations	O
:	O
*	O
Grande	O
disponibilité	O
exigée	O
-LRB-	O
amplitude	O
horaire	O
:	O
2	O
heures	O
du	O
matin	O
/	O
minuit	O
-RRB-	O
Ouverture	O
tous	O
les	O
jours	O
de	O
la	O
semaine	O
,	O
week-end	O
et	O
jours	O
fériés	O
.	O
Obtention	O
du	O
badge	O
rouge	O
:	O
casier	O
judiciaire	O
vierge	O
Véhicule	O
souhaité	O
ou	O
résider	O
en	O
zone	O
desservie	O
par	O
le	O
Filéo	O
-LRB-	O
bus	O
de	O
nuit	O
-RRB-	O
Type	O
d'emploi	O
:	O
Temps	O
plein	O
Type	O
d'emploi	O
:	O
CDI	contract_type
Salaire	O
:	O
1	O
480,3	O
$	O
/	O
mois	O
