Boulanger	position
-	O
viennoisier	company
Kirn	company
traiteur	company
-	O
Strasbourg	localisation
-LRB-	O
67	O
-RRB-	O
CDI	contract_type
L'entreprise	O
:	O
Kirn	O
traiteur	O
recherche	O
un	O
boulanger-viennoisier	O
pour	O
compléter	O
son	O
équipe	O
!	O
Vous	O
voulez	O
faire	O
partie	O
d'une	O
équipe	O
dynamique	O
?	O
Rejoingnez-nous	O
!	O
Entreprise	O
familiale	O
créée	O
en	O
1904	O
,	O
Kirn	O
traiteur	O
est	O
un	O
traiteur	O
de	O
quartier	O
spécialisée	O
en	O
boucherie	O
,	O
charcuteries	O
,	O
traiteur	O
,	O
restauration	O
et	O
snacking	O
.	O
On	O
y	O
vient	O
toute	O
la	O
journée	O
pour	O
faire	O
ses	O
courses	O
,	O
déguster	O
son	O
sandwich	O
ou	O
se	O
poser	O
à	O
table	O
et	O
manger	O
des	O
spécialités	O
.	O
Nous	O
avons	O
également	O
une	O
activité	O
de	O
traiteur	O
événementiel	O
pour	O
les	O
professionnels	O
,	O
les	O
entreprises	O
et	O
les	O
particuliers	O
.	O
Description	O
du	O
poste	O
:	O
-	O
Nous	O
recherchons	O
un	O
boulanger	O
viennoisier	O
-LRB-	O
H/F	O
-RRB-	O
qui	O
ait	O
10	experience
ans	experience
d'expériences	O
minimum.Le	O
boulanger	O
viennoisier	O
aura	O
pour	O
mission	O
de	O
choisir	O
les	O
ingrédients	O
et	O
leur	O
quantité	O
,	O
effectuer	O
le	O
pétrissage	O
,	O
abaisser	O
la	O
pâte	O
,	O
séparer	O
la	O
masse	O
de	O
pâte	O
en	O
pâtons	O
,	O
contrôler	O
les	O
étapes	O
de	O
fermentation	O
.	O
Le	O
boulanger	O
viennoisier	O
devra	O
s	O
`	O
occuper	O
de	O
la	O
cuisson	O
et	O
pré-cuisson	O
des	O
pâtons	O
.	O
Nettoyer	O
et	O
veiller	O
à	O
la	O
propreté	O
et	O
à	O
l'hygiène	O
du	O
plan	O
de	O
travail	O
,	O
des	O
locaux	O
et	O
des	O
outils	O
.	O
Le	O
boulanger	O
viennoisier	O
devra	O
assurer	O
la	O
fabrication	O
en	O
autonomie	O
de	O
la	O
viennoiserie	O
pure	O
beurre	O
.	O
Une	O
maîtrise	O
du	O
levain	hard_skills
est	O
recommandé	O
.	O
A	O
propos	O
des	O
boutiques	O
:	O
-	O
3	O
à	O
Strasbourg	O
-	O
1	O
à	O
Saverne	O
-	O
1	O
à	O
Obernai	O
-	O
1	O
restaurant	O
Profil	O
recherché	O
:	O
-	O
savoir	O
façonner	O
";"	O
-	O
gérer	O
la	O
cuisson	O
sur	O
un	O
four	O
à	O
sole	O
";"	O
-	O
savoir	O
s	O
`	O
adapter	O
aux	O
processus	O
de	O
fabrication	O
";"	O
-	O
être	O
autonome	soft_skills
";"	O
-	O
avoir	O
un	O
esprit	soft_skills
d'équipe	soft_skills
.	O
Lieu	O
de	O
travail	O
:	O
Strasbourg	O
Type	O
d'emploi	O
:	O
CDD	O
Type	O
d'emploi	O
:	O
CDI	O
Type	O
d'emploi	O
:	O
Temps	O
plein	O
Type	O
d'emploi	O
:	O
CDI	O
