Automaticien	position
H/F	O
ETS	company
REVERDY	company
-	O
Chassant	localisation
-LRB-	O
28	O
-RRB-	O
35	salary
0	salary
$	salary
-	salary
42	salary
0	salary
$	salary
par	O
an	O
-	O
CDI	contract_type
Au	O
sein	O
du	O
bureau	O
d'études	O
,	O
vous	O
êtes	O
en	O
charge	O
de	O
l'automatisme	O
et	O
de	O
la	O
programmation	O
des	O
machines	O
et	O
des	O
schémas	O
électriques	O
.	O
Vos	O
missions	O
seront	O
les	O
suivantes	O
:	O
-	O
Analyse	O
fonctionnelle	O
à	O
partir	O
d'un	O
CDC	O
-	O
Réalisation	O
et/ou	O
modification	O
des	O
programmes	O
automates	O
-	O
Réalisation	O
des	O
essais	O
,	O
de	O
la	O
mise	O
au	O
point	O
et	O
de	O
la	O
mise	O
en	O
services	O
des	O
machines	O
-	O
Assistance	O
des	O
utilisateurs	O
lors	O
de	O
la	O
prise	O
en	O
main	O
Vous	O
pourriez	O
également	O
avoir	O
à	O
intervenir	O
en	O
électricité	O
,	O
en	O
réglage	O
de	O
mise	O
en	O
service	O
des	O
dispositifs	O
et	O
instruments	O
commandés	O
-LRB-	O
vérin	O
,	O
moteur	O
,	O
distribution	O
,	O
capteurs	O
,	O
régulateurs	O
,	O
...	O
-RRB-	O
.	O
Pour	O
ce	O
poste	O
vous	O
devez	O
être	O
issu	O
d'une	O
formation	O
BAC	experience
2	experience
minimum	O
en	O
``	O
Automatismes	O
Industriels	O
''	O
et	O
disposez	O
d'une	O
expérience	O
de	O
5	O
ans	O
minimum	O
dans	O
le	O
domaine	O
de	O
la	O
machine	O
spéciale	O
.	O
La	O
connaissance	O
des	O
automates	O
et	O
interfaces	O
de	O
programmation	O
suivantes	O
est	O
nécessaire	O
:	O
-	O
Siemens	hard_skills
,	O
Shneider	hard_skills
,	O
Rockwelle	hard_skills
et	O
Proface	hard_skills
Ce	O
poste	O
nécessite	O
de	O
l'autonomie	O
de	O
la	O
polyvalent	so
et	O
une	O
aisance	O
relationnelle	O
.	O
Type	O
d'emploi	O
:	O
CDI	O
Salaire	O
:	O
35	O
0	O
$	O
à	O
42	O
0	O
$	O
/	O
an	O
