Serveur	position
Le	company
Génie	company
sous	company
les	company
Etoiles	company
-	O
Paris	localisation
11e	localisation
-LRB-	O
75	O
-RRB-	O
Restaurant	O
&	O
Bar	O
à	O
cocktails	O
Le	O
Génie	O
Sous	O
Les	O
Etoiles	O
15	O
rue	O
Bréguet	O
75011	postal_code
PARIS	O
Design	O
Stella	O
Cadente	O
-	O
nouvellement	O
ouvert	O
Carte	O
de	O
plats	O
Fait	O
maison	O
,	O
type	O
bistronomique	O
-	O
Potager	O
sur	O
le	O
toit	O
-	O
Cocktails	O
création	O
Recrute	O
H/F	O
1	O
serveur	O
Tes	O
atouts	O
:	O
ta	O
personnalité	O
et	O
ton	O
envie	O
Rejoins	O
nous	O
au	O
Génie	O
Sous	O
les	O
Etoiles	O
Type	O
d'emploi	O
:	O
Temps	contract_type
plein	contract_type
