Cuisinier	position
-LRB-	O
H/F	O
-RRB-	O
AUBERGE	company
DU	company
CHÂTEAU	company
BLEU	company
-	O
Tremblay-en-France	localisation
-LRB-	O
93	O
-RRB-	O
2	salary
0	salary
$	salary
par	O
mois	O
Restaurant	O
CUISINE	O
TRADITIONNELLE	O
HAUT	O
DE	O
GAMME	O
situé	O
à	O
Tremblay	O
en	O
France	O
-LRB-	O
93	O
-RRB-	O
entre	O
la	O
parc	O
des	O
expositions	O
de	O
Villepinte	O
et	O
l'aéroport	O
CDG	O
,	O
recevant	O
une	O
clientèle	O
exigeante	O
,	O
recherche	O
pour	O
son	O
développement	O
un	O
CUISINIER	O
-LRB-	O
H/F	O
-RRB-	O
ayant	O
un	O
CAP	O
+	O
un	O
Bac	O
pro	O
en	O
cuisine	O
et	O
une	O
expérience	O
de	O
2	experience
ans	experience
minimum	O
dans	O
établissement	O
-LRB-	O
s	O
-RRB-	O
similaire	O
-LRB-	O
s	O
-RRB-	O
.	O
VOTRE	O
MISSION	O
:	O
Participer	O
à	O
l'élaboration	O
des	O
menus	O
Préparer	O
les	O
plats	O
chauds/froids	O
Fournir	O
de	O
l'entrée	O
au	O
dessert	O
Assure	O
la	O
présentation	O
pour	O
le	O
service	O
Respecter	O
strictement	O
les	O
règles	O
d'hygiène	O
et	O
de	O
sécurité	O
alimentaires	O
Gérer	O
les	O
stocks	O
Contrôler	O
la	O
réception	O
des	O
denrées	O
VOTRE	O
PROFIL	O
:	O
Être	O
méthodique	soft_skills
et	O
organisé	soft_skills
-LRB-	O
e	O
-RRB-	O
Être	O
dynamique	soft_skills
et	O
passionné	soft_skills
-LRB-	O
e	O
-RRB-	O
par	O
le	O
métier	O
Avoir	O
de	O
l'expérience	O
dans	O
la	O
tenue	O
d'un	O
service	O
et	O
de	O
sa	O
cadence	O
Être	O
créatif	soft_skills
-LRB-	O
ve	O
-RRB-	O
dans	O
les	O
réalisations	O
culinaires	O
Allier	O
rapidité	O
et	O
exécution	O
parfaite	O
Savoir	O
se	O
faire	O
assister	O
par	O
un	O
ou	O
des	O
commis	O
.	O
CONTRAT	O
PROPOSE	O
:	O
CDI	O
à	O
temps	O
complet	O
Salaire	O
BRUT	O
:	O
environ	O
2000	O
$	O
selon	O
vos	O
compétences	O
Possibilité	O
d'hébergement	O
après	O
la	O
période	O
d'essai	O
.	O
Type	O
de	O
contrat	O
CDI	O
Secteur	O
d'activité	O
Hôtellerie	O
/	O
Restauration	category
Fonction	O
Hôtellerie	O
/	O
Restauration	O
Expérience	O
2	O
à	O
5	O
ans	O
Niveau	O
d'études	O
Employé	O
/	O
Ouvrier	O
spécialisé	O
/	O
Bac	O
Type	O
d'emploi	O
:	O
Temps	contract_type
plein	contract_type
Salaire	O
:	O
2	O
0	O
$	O
/	O
mois	O
Formation	O
-LRB-	O
s	O
-RRB-	O
exigée	O
-LRB-	O
s	O
-RRB-	O
:	O
Études	O
secondaires	O
-LRB-	O
niveau	O
Bac	O
-RRB-	O
Expérience	O
exigée	O
:	O
poste	O
similaire	O
:	O
2	O
ans	O
