TELEPROSPECTEUR	position
TEMPS	contrat_type
PARTIEL	contrat_type
-LRB-	O
H/F	O
-RRB-	O
PRESTICER	company
-	O
Clichy	city
-LRB-	O
92	code postal
-RRB-	O
9,76	salary
$	salary
par	salary
heure	salary
-	O
Temps	contrat_type
partiel	contrat_type
,	O
Intérim	O
Le	company
Groupe	company
Mobile	O
propose	O
à	O
travers	O
ses	O
différentes	O
identités	O
une	O
offre	O
globale	O
en	O
matière	O
de	O
gestion	O
des	O
ressources	O
humaines	O
:	O
intérim	O
,	O
CDD	O
,	O
CDI	O
,	O
formation	O
.	O
Son	company
agence	company
Presticer	company
,	O
spécialisée	O
dans	O
les	O
secteurs	O
du	O
tertiaire	O
et	O
du	O
technique	O
,	O
recherche	O
pour	O
l'un	O
de	O
ses	O
clients	O
,	O
société	O
de	O
Télémarketing	O
:	O
Téléconseiller	O
-LRB-	O
H/F	O
-RRB-	O
Votre	hard skills
rôle	hard skills
sera	hard skills
de	hard skills
démarcher	hard skills
et	hard skills
de	hard skills
convaincre	hard skills
par	hard skills
téléphone	hard skills
des	hard skills
prospects	hard skills
et	hard skills
des	hard skills
donateurs	hard skills
permanents	hard skills
pour	hard skills
le	hard skills
compte	hard skills
d'associations	hard skills
caritatives	hard skills
sous	hard skills
la	hard skills
supervision	hard skills
des	hard skills
chefs	hard skills
de	hard skills
groupe	hard skills
afin	hard skills
de	hard skills
récolter	hard skills
des	hard skills
dons	hard skills
:	
Prospection	hard skills
téléphonique	hard skills
,	
démarcher	hard skills
des	hard skills
nouveaux	hard skills
donateurs	hard skills
pour	hard skills
les	hard skills
convaincre	hard skills
de	hard skills
faire	hard skills
un	hard skills
don	hard skills
Fidéliser	hard skills
le	hard skills
donateur	hard skills
ayant	hard skills
déjà	hard skills
donné	hard skills
plusieurs	hard skills
fois	hard skills
et	hard skills
le	hard skills
conduire	hard skills
à	hard skills
renouveler	hard skills
son	hard skills
don	hard skills
par	hard skills
prélèvement	hard skills
automatique	hard skills
ou	hard skills
ponctuellement	hard skills
Profil	
:	O
Excellente	experience
expression	experience
orale	experience
avec	experience
un	experience
vocabulaire	experience
adapté	experience
Dynamique	soft skills
,	O
aisance	soft skills
relationnelle	soft skills
,	O
vous	soft skills
avez	soft skills
de	soft skills
la	soft skills
répartie	soft skills
Vous	experience
possédez	experience
idéalement	experience
une	experience
expérience	experience
en	experience
télémarketing	experience
,	O
les	O
profils	O
débutants	O
sont	O
acceptés	O
Conditions	O
du	O
poste	O
:	O
Poste	O
en	O
intérim	O
de	O
3	O
à	O
4	O
mois	O
En	O
semaine	O
paire	O
du	O
lundi	O
au	O
vendredi	O
de	O
17h30	O
à	O
20h15	O
En	O
semaine	O
impaire	O
du	O
mardi	O
au	O
vendredi	O
de	O
17h30	O
à	O
20h15	O
Taux	O
horaire	O
de	O
9.76	O
$	O
bruts	O
+	O
prime	O
sur	O
objectifs	O
jusqu	O
'	O
à	O
150	salary
$	salary
par	salary
mois	salary
Ticket	O
restaurant	O
d'un	O
montant	O
de	O
7	O
$	O
Poste	O
basé	O
à	O
Clichy	city
-LRB-	O
92	code postal
-RRB-	O
*	O
*	O
Type	O
d'emploi	O
:	O
Intérim	O
Salaire	O
:	O
9,76	salary
$	salary
/	O
heure	salary
