Serveur	position
-LRB-	O
h/f	O
-RRB-	O
,	O
bar	company
à	company
vin	company
,	O
3	O
à	O
4	O
soirs/semaine	O
Le	O
Barav	O
-	O
Paris	localisation
3e	localisation
-LRB-	O
75	O
-RRB-	O
10	salary
$	salary
-	salary
11	salary
$	salary
par	O
heure	O
-	O
CDI	contract_type
URGENT	O
!	O
Notre	O
Bar	O
à	O
Vin-Restaurant	O
de	O
Paris	O
3ème	O
recrute	O
1	O
serveur	O
-LRB-	O
h/f	O
-RRB-	O
à	O
temps	O
partiel	O
les	O
soirs	O
-LRB-	O
3	O
à	O
4	O
services/semaine	O
-RRB-	O
.	O
Etre	O
disponible	O
les	O
soirs	O
entre	O
17h	O
et	O
1h	O
Amateur	O
de	O
Vin	O
mais	O
débutant	O
acceptés	O
Anglais	O
obligatoire	O
1ere	O
expérience	O
en	O
restauration	category
traditionnelle	O
exigée	O
Proximité	O
géographique	O
recommandée	O
Sourire	O
et	O
bonne	O
humeur	O
indispensables	O
Type	O
d'emploi	O
:	O
CDI	O
Salaire	O
:	O
10	O
$	O
à	O
11	O
$	O
/	O
heure	O
Expérience	O
exigée	O
:	O
restauration	O
traditionnelle	O
:	O
1	experience
an	experience
Langue	O
exigée	O
:	O
anglais	hard_skills
