Coiffeur/coiffeuse	position
-LRB-	O
H/F	O
-RRB-	O
Salon	company
Delphine	company
THOMAS	company
-	O
Lège-Cap-Ferret	localisation
-LRB-	O
33	O
-RRB-	O
1	salary
500	salary
$	salary
-	salary
1	salary
800	salary
$	salary
par	O
mois	O
-	O
CDI	contract_type
Salon	O
de	O
coiffure	O
Sur	O
la	O
Presqu	O
'	O
île	O
du	O
Cap	O
Ferret	O
,	O
recherche	O
un	O
coiffeur	O
-LRB-	O
homme	O
ou	O
femme	O
-RRB-	O
confirmé	O
,	O
avec	O
BP	O
.	O
Une	O
expérience	O
de	O
plus	O
de	O
5ans	O
est	O
exigée	O
.	O
Nous	O
cherchons	O
une	O
personne	O
appliquée	soft_skills
,	O
investie	soft_skills
,	O
motivée	soft_skills
et	O
passionnée	soft_skills
par	O
son	O
métier	O
afin	O
de	O
partager	O
nos	O
différentes	O
connaissances	O
.	O
Nous	O
vous	O
offrons	O
un	O
salaire	O
motivant	O
avec	O
des	O
primes	O
sur	O
votre	O
chiffre	O
d'affaires	O
et	O
vente	O
,	O
des	O
formations	O
,	O
un	O
travail	O
dans	O
un	O
salon	O
de	O
qualité	O
avec	O
des	O
produits	O
haut	O
de	O
gamme	O
.	O
Possibilité	O
d'évolution	O
vers	O
un	O
poste	O
de	O
manager	O
.	O
Une	O
équipe	O
dynamique	O
et	O
conviviale	O
et	O
une	O
clientèle	O
fidèle	O
toute	O
l'année	O
.	O
Poste	O
à	O
pourvoir	O
à	O
partir	O
début	O
octobre	O
2017	O
.	O
Merci	O
de	O
nous	O
adresser	O
votre	O
CV	O
par	O
mail	O
,	O
contact	O
téléphonique	O
,	O
Facebook	O
ou	O
se	O
présenter	O
au	O
salon	O
.	O
Type	O
d'emploi	O
:	O
CDI	O
Salaire	O
:	O
1	O
500	O
$	O
à	O
1	O
800	O
$	O
/	O
mois	O
Expérience	O
exigée	O
:	O
Coiffure	O
:	O
5	experience
ans	experience
