Cuisinier	position
-LRB-	O
H/F	O
-RRB-	O
LA	company
MARMITE	company
-	O
Rungis	localisation
-LRB-	O
94	O
-RRB-	O
1	salary
500	salary
$	salary
par	O
mois	O
Nous	O
recherchons	O
pour	O
notre	O
restaurant	O
situe	O
au	O
cœur	O
du	O
Marché	O
International	O
de	O
Rungis	O
un	O
-LRB-	O
e	O
-RRB-	O
cuisinier	O
-LRB-	O
ère	O
-RRB-	O
expérimenté	O
-LRB-	O
e	O
-RRB-	O
pour	O
effectuer	O
un	O
CDI	contract_type
,	O
nous	O
recherchons	O
une	O
personne	O
sérieuse	soft_skills
dynamique	soft_skills
et	O
passionné	soft_skills
-LRB-	O
e	O
-RRB-	O
par	O
son	O
travaille	O
qui	O
avec	O
ses	O
collaborateurs	O
pourras	O
enrichir	O
et	O
diversifiée	O
notre	O
carte	O
quotidiennement	O
.	O
Vous	O
serais	O
amener	O
à	O
travaillé	O
-LRB-	O
e	O
-RRB-	O
du	O
Lundi	O
au	O
Vendredi	O
de	O
8h	O
à	O
16h	O
.	O
le	O
salaire	O
pourras	O
être	O
évolutif	O
en	O
fonction	O
de	O
votre	O
implication	O
.	O
Pour	O
tout	O
renseignement	O
Supplémentaire	O
merci	O
de	O
bien	O
vouloir	O
contacter	O
le	O
06-25-40-77-39	O
-LRB-	O
entre	O
8h	O
et	O
18h30	O
-RRB-	O
Type	O
d'emploi	O
:	O
Temps	O
plein	O
Salaire	O
:	O
1	O
500	O
$	O
/	O
mois	O
Formation	O
-LRB-	O
s	O
-RRB-	O
exigée	O
-LRB-	O
s	O
-RRB-	O
:	O
Études	O
secondaires	O
-LRB-	O
niveau	O
Bac	experience
-RRB-	O
