aides-soignants	position
temps	O
partiel	O
-LRB-	O
H/F	O
-RRB-	O
La	company
Vie	company
a	company
Domicile	company
-	O
Paris	city
-LRB-	O
75	O
-RRB-	O
Temps	contract_type
partiel	contract_type
Vous	O
êtes	O
sous	O
la	O
responsabilité	O
d'un	O
infirmier	O
coordinateur	O
-LRB-	O
IDEC	O
-RRB-	O
qui	O
établit	O
les	O
plannings	O
et	O
les	O
protocoles	O
de	O
soins	O
.	O
Les	O
tournées	O
,	O
sectorisées	O
,	O
se	O
réalisent	O
à	O
pied	O
.	O
Votre	O
présence	O
à	O
la	O
réunion	O
hebdomadaire	O
est	O
obligatoire	O
.	O
Vous	O
accompagnez	O
des	O
personnes	O
âgées	O
de	O
plus	O
de	O
soixante	O
ans	O
,	O
malades	O
ou	O
en	O
perte	O
d'autonomie	O
à	O
leur	O
domicile	O
.	O
Activités	O
:	O
Dispenser	O
les	O
soins	O
délégués	O
par	O
l'IDEC	O
ou	O
les	O
infirmiers	O
,	O
S'exprimer	O
et	O
échanger	O
en	O
adaptant	O
son	O
niveau	O
de	O
langage	O
,	O
dans	O
le	O
respect	O
des	O
personnes	O
et	O
avec	O
discrétion	O
,	O
Identifier	O
et	O
rechercher	O
les	O
informations	O
nécessaires	O
sur	O
les	O
précautions	O
particulières	O
à	O
respecter	O
lors	O
d'un	O
soin	O
,	O
Transmettre	O
les	O
informations	O
liées	O
à	O
la	O
réalisation	O
du	O
soin	O
et	O
alerter	O
en	O
cas	O
d'anomalie	O
par	O
oral	O
et	O
par	O
écrit	O
en	O
utilisant	O
les	O
outils	O
papiers	O
et	O
informatisés	O
,	O
S'exprimer	O
au	O
sein	O
de	O
l'équipe	O
de	O
soin	O
en	O
utilisant	O
un	O
langage	O
et	O
un	O
vocabulaire	O
professionnels	O
,	O
Discerner	O
les	O
informations	O
à	O
transmettre	O
dans	O
le	O
respect	O
des	O
règles	O
de	O
déontologiques	O
et	O
du	O
secret	O
professionnel	O
,	O
Participer	O
à	O
l'évaluation	O
des	O
besoins	O
et	O
des	O
attentes	O
du	O
patient	O
,	O
Participer	O
à	O
la	O
surveillance	O
de	O
l'état	O
général	O
-LRB-	O
physique	O
,	O
psychique	O
et	O
social	O
-RRB-	O
et	O
transmettre	O
l'information	O
par	O
écrit	O
et	O
par	O
oral	O
à	O
l'équipe	O
pluridisciplinaire	O
,	O
et	O
particulièrement	O
aux	O
IDE	O
et	O
à	O
l'IDEC	O
,	O
Participer	O
à	O
la	O
qualité	O
de	O
la	O
prise	O
en	O
charge	O
globale	O
des	O
patients	O
,	O
en	O
assurant	O
au	O
client	O
et	O
à	O
son	O
entourage	O
la	O
possibilité	O
d'être	O
un	O
partenaire	O
actif	O
dans	O
le	O
projet	O
de	O
soins	O
,	O
Identifier	O
les	O
limites	O
de	O
son	O
champs	O
d'intervention	O
dans	O
des	O
situations	O
de	O
crise	O
,	O
de	O
violence	O
en	O
prenant	O
du	O
recul	O
par	O
rapport	O
à	O
la	O
personne	O
et	O
à	O
sa	O
situation	O
,	O
Participer	O
au	O
projet	O
de	O
service	O
,	O
à	O
la	O
démarche	O
qualité	O
,	O
aux	O
projets	O
institutionnels	O
,	O
aux	O
différents	O
groupes	O
de	O
travail	O
et	O
aux	O
formations	O
organisés	O
par	O
l'Association	O
.	O
Profil	O
:	O
Diplôme	experience
d'État	experience
d'Aide-soignant	experience
exigé	O
,	O
Expérience	O
de	O
la	O
personne	hard_skills
âgée	hard_skills
,	O
Capacité	O
à	O
travailler	O
au	O
sein	O
d'une	O
équipe	O
pluridisciplinaire	O
,	O
Ponctualité	soft_skills
et	O
Organisation	soft_skills
,	O
Communication	soft_skills
,	O
et	O
notamment	O
écoute	soft_skills
active	soft_skills
.	O
Poste	O
:	O
CDI	O
à	O
temps	O
partiel	O
-LRB-	O
104	O
heures	O
/	O
mois	O
-RRB-	O
Horaires	O
de	O
semaine	O
:	O
8h-12h30	O
dont	O
une	O
journée	O
jusqu	O
'	O
à	O
14h	O
pour	O
la	O
réunion	O
hebdomadaire	O
Certains	O
week-ends	O
travaillés	O
en	O
fonction	O
des	O
besoins	O
du	O
service	O
Rémunération	O
selon	O
la	O
Convention	O
Collective	O
Nationale	O
de	O
la	O
Branche	O
de	O
l'aide	O
,	O
de	O
l'accompagnement	O
,	O
des	O
soins	O
et	O
des	O
services	O
à	O
domicile	O
du	O
21	O
mai	O
2010	O
Reprise	O
d'ancienneté	O
Remboursement	O
à	O
100	O
%	O
de	O
la	O
carte	O
de	O
transport	O
Contact	O
:	O
envoyer	O
CV	O
et	O
Lettre	O
de	O
Motivation	O
au	O
Directeur	O
des	O
soins	O
Poste	O
à	O
pourvoir	O
immédiatement	O
.	O
Type	O
d'emploi	O
:	O
Temps	O
partiel	O
