Cuisinier	position
-LRB-	O
H/F	O
-RRB-	O
Maisons	company
de	company
Famille	company
Montpellier	company
-	O
Montpellier	localisation
-LRB-	O
34	O
-RRB-	O
1	salary
650	salary
$	salary
par	O
mois	O
-	O
CDI	contact_type
À	O
propos	O
Maisons	O
de	O
Famille	O
est	O
un	O
groupe	O
privé	O
européen	O
,	O
ayant	O
en	O
France	O
16	O
établissements	O
spécialisé	O
dans	O
l'hébergement	O
de	O
personnes	O
âgées	O
dépendantes	O
,	O
et	O
près	O
de	O
1000	O
salariés	O
.	O
Spécialiste	O
du	O
grand	O
âge	O
et	O
des	O
maladies	O
associées	O
,	O
Maisons	O
de	O
Famille	O
organise	O
un	O
accompagnement	O
et	O
des	O
soins	O
de	O
haut	O
niveau	O
.	O
Résolument	O
haut	O
de	O
gamme	O
,	O
les	O
maisons	O
du	O
groupe	O
proposent	O
toutes	O
des	O
cadres	O
de	O
vie	O
magnifiques	O
,	O
avec	O
de	O
véritables	O
prestations	O
hôtelières	O
.	O
Descriptif	O
du	O
poste	O
Le	O
Groupe	O
Maisons	O
De	O
Famille	O
,	O
spécialisé	O
dans	O
le	O
secteur	O
de	O
l'hébergement	O
haut	O
de	O
gamme	O
des	O
personnes	O
âgées	O
dépendantes	O
,	O
recherche	O
un	O
cuisinier	O
-LRB-	O
h/f	O
-RRB-	O
pour	O
sa	O
Maison	O
de	O
Famille	O
de	O
Montpellier	O
.	O
Vous	O
serez	O
sous	O
la	O
responsabilité	O
directe	O
du	O
chef	O
de	O
cuisine	O
,	O
vous	O
assurez	O
la	O
préparation	O
des	O
repas	O
des	O
résidents	O
en	O
respectant	O
les	O
régimes	O
alimentaires	O
,	O
ainsi	O
que	O
les	O
règles	O
HACCP	O
.	O
Vous	O
êtes	O
en	O
relation	O
avec	O
tout	O
le	O
personnel	O
de	O
l'établissement	O
ainsi	O
qu'avec	O
les	O
résidents	O
.	O
Profil	O
recherché	O
Vous	O
aimez	O
travailler	soft_skills
en	soft_skills
équipe	soft_skills
et	O
avez	O
un	O
bon	soft_skills
sens	soft_skills
relationnel	soft_skills
.	O
Vous	O
êtes	O
dynamique	soft_skills
et	O
capable	O
de	O
prendre	O
des	O
initiatives.Vous	O
êtes	O
titulaire	O
d'un	O
CAP/BEP	experience
cuisine	experience
,	O
avec	O
deux	experience
ans	experience
d'expérience	O
en	O
collectivité	O
.	O
Poste	O
à	O
pourvoir	O
dès	O
que	O
possible	O
.	O
Rémunération	O
entre	O
1650	O
euros	O
brut	O
mensuel	O
Ce	O
poste	O
est	O
ouvert	O
aux	O
personnes	O
en	O
situation	O
de	O
handicap	O
et	O
aux	O
travailleurs	O
handicapés	O
.	O
Type	O
d'emploi	O
:	O
CDI	O
Salaire	O
:	O
1	O
650	O
$	O
/	O
mois	O
