Psychologue	position
-LRB-	O
H/F	O
-RRB-	O
Ministère	company
des	company
armées	company
-	O
Paris	city
-LRB-	O
75	O
-RRB-	O
Au	O
sein	O
du	O
service	O
en	O
charge	O
des	O
ressources	O
humaines	O
,	O
le	O
Ministère	O
des	O
armées	O
recherche	O
un	O
-LRB-	O
e	O
-RRB-	O
psychologue	O
de	O
spécialité	O
Clinique	O
ou	O
Travail	O
,	O
pour	O
renforcer	O
ses	O
équipes	O
.	O
Vous	O
serez	O
chargé	O
-LRB-	O
e	O
-RRB-	O
d'organiser	O
et	O
d'effectuer	O
des	O
évaluations	O
psychologiques	O
dans	O
le	O
cadre	O
de	O
sélections	O
,	O
d'orientations	O
professionnelles	O
et	O
d'un	O
suivi	O
.	O
Dans	O
ce	O
cadre	O
,	O
vous	O
serez	O
impliqué	O
-LRB-	O
e	O
-RRB-	O
dans	O
les	O
missions	O
suivantes	O
:	O
Réaliser	O
des	O
évaluations	O
,	O
des	O
bilans	O
psychologiques	O
";"	O
Conseiller	O
et	O
formuler	O
des	O
avis	O
psychologiques	O
et	O
des	O
propositions	O
autour	O
de	O
problématiques	O
professionnelles	O
";"	O
Effectuer	O
une	O
prise	O
en	O
charge	O
individuelle	O
et	O
collective	O
-LRB-	O
suivi	O
d'équipes	O
-RRB-	O
Établir	O
un	O
diagnostic	O
et	O
orienter	O
les	O
agents	O
vers	O
l'aide	O
ou	O
la	O
thérapie	O
appropriée	O
adaptée	O
";"	O
Animer	O
la	O
réflexion	O
et	O
les	O
échanges	O
avec	O
les	O
professionnels	O
du	O
domaine	O
et	O
les	O
partenaires	O
interdisciplinaires	O
";"	O
Effectuer	O
une	O
veille	O
sectorielle	O
,	O
développer	O
et	O
entretenir	O
les	O
réseaux	O
professionnels	O
.	O
Et	O
serez	O
associé	O
-LRB-	O
e	O
-RRB-	O
aux	O
activités	O
spécifiques	O
liées	O
au	O
poste	O
de	O
travail	O
:	O
Conseil	O
psychologique	O
et	O
aide	O
à	O
l'encadrement	O
auprès	O
des	O
autorités	O
.	O
Suivi	O
et	O
accompagnement	O
psychologiques	O
des	O
agents	O
dans	O
le	O
cadre	O
de	O
leurs	O
affectations	O
extérieures	O
et	O
missions	O
.	O
Aide	O
à	O
la	O
mobilité	O
.	O
Aide	O
à	O
la	O
sélection	O
des	O
candidats	O
pressentis	O
pour	O
occuper	O
des	O
postes	O
spécifiques	O
.	O
Soutien	O
aux	O
agents	O
et	O
aux	O
autorités	O
dans	O
le	O
cadre	O
de	O
réorganisation	O
et/ou	O
restructuration	O
.	O
*	O
Vous	O
êtes	O
reconnu	O
-LRB-	O
e	O
-RRB-	O
pour	O
les	O
compétences	O
suivantes	O
*	O
Maîtrise	O
des	O
techniques	hard_skills
d'entretien	hard_skills
Bonne	O
compréhension	O
des	O
enjeux	O
métier	O
Qualités	O
d'analyse	O
Aisance	O
orale	O
et	O
rédactionnelle	O
.	O
Votre	O
personnalité	O
fera	O
la	O
différence	O
Vous	O
êtes	O
dynamique	soft_skills
et	O
doté	O
-LRB-	O
e	O
-RRB-	O
d'un	O
grand	O
sens	O
de	O
l'écoute	soft_skills
.	O
Vous	O
faites	O
preuve	O
de	O
qualités	O
relationnelles	O
et	O
vous	O
êtes	O
intéressé	O
-LRB-	O
e	O
-RRB-	O
par	O
le	O
suivi	O
professionnel	O
et	O
l'évaluation	O
.	O
Fort	O
d'une	O
excellente	O
capacité	O
d'adaptation	O
et	O
de	O
réactivité	soft_skills
,	O
votre	O
sens	O
du	O
travail	O
en	O
équipe	O
et	O
votre	O
implication	O
seront	O
les	O
conditions	O
de	O
votre	O
réussite	O
dans	O
l'exercice	O
de	O
vos	O
fonctions	O
.	O
Organisé	soft_skills
-LRB-	O
e	O
-RRB-	O
,	O
vous	O
êtes	O
capable	O
de	O
piloter	O
plusieurs	O
tâches	O
simultanément	O
.	O
Vous	O
recherchez	O
un	O
métier	O
d'engagement	O
dans	O
lequel	O
vous	O
êtes	O
prêt	O
-LRB-	O
e	O
-RRB-	O
à	O
vous	O
investir	O
pour	O
une	O
durée	O
minimum	O
de	O
5	O
ans	O
.	O
De	O
formation	O
Master	experience
2	experience
spécialité	O
clinique	O
ou	O
travail	O
,	O
vous	O
justifiez	O
d'une	O
première	O
expérience	O
auprès	O
d'une	O
population	O
adulte	O
.	O
Conformément	O
à	O
la	O
loi	O
,	O
la	O
détention	O
de	O
la	O
nationalité	O
française	O
est	O
impérative	O
.	O
Type	O
d'emploi	O
:	O
Temps	contract_type
plein	contract_type
