INFIRMIERE	position
Groupe	company
Ysiis	company
-	O
Montsoult	localisation
-LRB-	O
95	O
-RRB-	O
35	salary
0	salary
$	salary
-	salary
65	salary
0	salary
$	salary
par	O
an	O
-	O
CDI	contract_type
Infirmière	O
Polyvalente	O
PosteDans	O
le	O
cadre	O
du	O
développement	O
du	O
groupe	O
Ysiis	O
,	O
nous	O
recherchons	O
:	O
Un	O
Infirmier	O
-LRB-	O
e	O
-RRB-	O
coordinateur	O
-LRB-	O
rice	O
-RRB-	O
-	O
H/F	O
-LRB-	O
Ref	O
.	O
Val	O
d'Oise	O
-RRB-	O
L'infirmière	O
coordinatrice	O
devra	O
un	O
rôle	O
d'organisation	O
et	O
d'assistance	O
médico-technique	O
:	O
relation	O
avec	O
les	O
prescripteurs	O
,	O
recherche	O
de	O
l'infirmière	O
libérale	O
qui	O
effectuera	O
les	O
soins	O
à	O
domicile	O
,	O
fourniture	O
,	O
installation	O
et	O
formation	O
des	O
dispositifs	O
médicaux	O
prescrits	O
,	O
suivi	O
du	O
patient	O
dans	O
le	O
cadre	O
d'une	O
prise	O
en	O
charge	O
globale	O
de	O
l'hôpital	O
à	O
domicile	O
.	O
Profil	O
recherché	O
:	O
Infirmier	O
-LRB-	O
e	O
-RRB-	O
diplômé	experience
-LRB-	O
e	O
-RRB-	O
d'Etat	experience
,	O
l'infirmier	O
-LRB-	O
e	O
-RRB-	O
coordinateur	O
-LRB-	O
rice	O
-RRB-	O
devra	O
être	O
dotée	O
d'une	O
double	O
compétence	O
:	O
-	O
Infirmière	O
experte	O
:	O
vous	O
avez	O
une	O
excellente	O
connaissance	O
des	O
divers	O
traitements	O
et	O
des	O
dispositifs	O
médicaux	O
associés	O
dans	O
le	O
domaine	O
de	O
la	O
perfusion	O
,	O
de	O
l'assistance	O
nutritionnelle	O
.	O
-	O
Infirmière	O
active	O
:	O
de	O
par	O
votre	O
expérience	O
réussie	O
,	O
vous	O
vous	O
distinguez	O
par	O
vos	O
excellentes	O
qualités	O
relationnelles	O
avec	O
les	O
établissements	O
hospitaliers	O
et	O
les	O
infirmiers	O
libéraux	O
.	O
AVANTAGES	O
:	O
-	O
CDI	O
avec	O
période	O
d'essai	O
-	O
Mutuelle	O
-	O
Véhicule	O
de	O
fonction	O
-	O
Primes	O
en	O
fin	O
d'année	O
selon	O
objectifs	O
Type	O
d'emploi	O
:	O
CDI	O
Certificat	O
ou	O
accréditation	O
exigés	O
:	O
Infirmier	O
-LRB-	O
H-F	O
-RRB-	O
DE	O
avec	O
minimum	O
2	experience
ans	experience
d'expérience	O
Envoyer	O
CV	O
et	O
lettre	O
de	O
motivation	O
Type	O
d'emploi	O
:	O
CDI	O
Salaire	O
:	O
35	O
0	O
$	O
à	O
65	O
0	O
$	O
/	O
an	O
Expérience	O
exigée	O
:	O
Infirmière	O
:	O
2	O
ans	O
