ergotherapeuthe	position
ASSOCIATION	company
AURORE	company
-	O
Septèmes-les-Vallons	localisation
-LRB-	O
13	O
-RRB-	O
1	salary
28	salary
$	salary
-	salary
1	salary
800	salary
$	salary
par	O
mois	O
-	O
Temps	O
partiel	O
L'association	O
l'Aurore	O
,	O
créée	O
en	O
1992	O
,	O
accueille	O
50	O
résidents	O
adultes	O
handicapés	O
à	O
Septèmes	O
les	O
Vallons	O
-LRB-	O
13	O
-RRB-	O
.	O
Pour	O
notre	O
service	O
de	O
rééducation	O
nous	O
recrutons	O
un	O
ergothérapeute	O
-LRB-	O
H/F	O
-RRB-	O
.	O
Atelier	O
pour	O
confection	O
d'adaptations	O
,	O
Elaboration	O
d'ortho	O
prothèses	O
-LRB-	O
corsets	O
sièges	O
et	O
chaussures	O
-RRB-	O
et	O
recherche	O
de	O
matériels	O
médical	O
-LRB-	O
fauteuils	O
,	O
lits	O
...	O
-RRB-	O
,	O
repas	O
thérapeutiques	O
.	O
Travail	O
en	O
collaboration	O
avec	O
l'équipe	O
éducative	O
.	O
Ce	O
poste	O
est	O
à	O
pourvoir	O
immédiatement	O
à	O
temps	O
plein	O
ou	O
à	O
temps	O
partiel	O
avec	O
des	O
horaires	O
modulables	O
.	O
Condition	O
:	O
C.C.N.	O
1966	O
-LRB-	O
9	O
semaines	O
de	O
congés	O
-RRB-	O
Les	O
candidatures	O
sont	O
à	O
envoyer	O
à	O
Mme	O
MOUROU	O
-	O
RH	O
-	O
Association	O
l'Aurore	O
-	O
29	O
,	O
chemin	O
de	O
la	O
bédoule	O
-	O
13240	postal_code
SEPTEMES	O
LES	O
VALLONS	O
.	O
Type	O
d'emploi	O
:	O
Temps	contract_type
partiel	contract_type
Salaire	O
:	O
1	O
28	O
$	O
à	O
1	O
800	O
$	O
/	O
mois	O
